"index","name","size","offset","extension"
"34","Data\Levels\FinalAlbion\StartOakVale_Filler_03.lev","618516","23527424",".lev"
"35","Data\Levels\FinalAlbion\StartOakVale_Sea_04.lev","1822740","24147968",".lev"
"36","Data\Levels\FinalAlbion\StartOakVale_Filler_05.lev","1017876","25972736",".lev"
"37","Data\Levels\FinalAlbion\StartOakValeWest.lev","5062798","26992640",".lev"
"38","Data\Levels\FinalAlbion\StartOakvaleMemorialGarden.lev","1176085","32057344",".lev"
"39","Data\Levels\FinalAlbion\StartOakValeEast.lev","2011017","33234944",".lev"
"40","Data\Levels\FinalAlbion\DemonDoor_BanditCampPath_Filler_03.lev","770068","35246080",".lev"
"41","Data\Levels\FinalAlbion\DemonDoor_BanditCampPath_Filler_02.lev","796692","36018176",".lev"
"42","Data\Levels\FinalAlbion\DemonDoor_BanditCampPath_Filler_04.lev","825364","36816896",".lev"
"43","Data\Levels\FinalAlbion\DemonDoor_BanditCampPath.lev","572642","37644288",".lev"
"44","Data\Levels\FinalAlbion\DemonDoor_BanditCampPath_Filler_01.lev","868372","38217728",".lev"
"45","Data\Levels\FinalAlbion\BanditCampPath_Filler_02.lev","2024337","39088128",".lev"
"46","Data\Levels\FinalAlbion\BanditCampPath_Filler_13.lev","3635966","41113600",".lev"
"47","Data\Levels\FinalAlbion\BanditCampPath_Filler_01.lev","1900579","44750848",".lev"
"48","Data\Levels\FinalAlbion\OakVale_Sea_02.lev","225300","46653440",".lev"
"49","Data\Levels\FinalAlbion\OakVale_Sea_03.lev","1239060","46880768",".lev"
"50","Data\Levels\FinalAlbion\OakVale_Sea_04.lev","1503252","48121856",".lev"
"51","Data\Levels\FinalAlbion\OakVale_Sea_05.lev","1478676","49627136",".lev"
"52","Data\Levels\FinalAlbion\OakVale_Sea_06.lev","3258604","51107840",".lev"
"53","Data\Levels\FinalAlbion\OakVale_Sea_01.lev","1148948","54368256",".lev"
"54","Data\Levels\FinalAlbion\OakVale_Filler_01.lev","2699284","55519232",".lev"
"55","Data\Levels\FinalAlbion\BanditCampPathEntrance.lev","1841083","58220544",".lev"
"56","Data\Levels\FinalAlbion\OakValeWest_v2.lev","4978616","60061696",".lev"
"57","Data\Levels\FinalAlbion\OakValeEast_v2.lev","2833283","65040384",".lev"
"58","Data\Levels\FinalAlbion\OakvaleMemorialGarden_v2.lev","2464998","67874816",".lev"
"59","Data\Levels\FinalAlbion\DemonDoor_Barrowfields.lev","1126429","70340608",".lev"
"60","Data\Levels\FinalAlbion\DemonDoor_Barrowfields_Filler_04.lev","1304596","71469056",".lev"
"61","Data\Levels\FinalAlbion\DemonDoor_Barrowfields_Filler_01.lev","1601556","72775680",".lev"
"62","Data\Levels\FinalAlbion\DemonDoor_Barrowfields_Filler_02.lev","862228","74379264",".lev"
"63","Data\Levels\FinalAlbion\DemonDoor_Barrowfields_Filler_03.lev","1054740","75243520",".lev"
"64","Data\Levels\FinalAlbion\OakVale_Filler_03.lev","630804","76300288",".lev"
"65","Data\Levels\FinalAlbion\DemonDoor_HauntedHouse.lev","745546","76933120",".lev"
"66","Data\Levels\FinalAlbion\DemonDoor_HauntedHouse_Filler_03.lev","966676","77680640",".lev"
"67","Data\Levels\FinalAlbion\DemonDoor_HauntedHouse_Filler_04.lev","956436","78649344",".lev"
"68","Data\Levels\FinalAlbion\DemonDoor_HauntedHouse_Filler_01.lev","870420","79607808",".lev"
"69","Data\Levels\FinalAlbion\DemonDoor_HauntedHouse_Filler_02.lev","1052692","80480256",".lev"
"70","Data\Levels\FinalAlbion\Bordello_Filler_01.lev","2276943","81534976",".lev"
"71","Data\Levels\FinalAlbion\BanditCamp_Filler_06.lev","2418708","83812352",".lev"
"72","Data\Levels\FinalAlbion\BanditCampBoss.lev","2959424","86233088",".lev"
"73","Data\Levels\FinalAlbion\BanditCamp_Filler_03.lev","2261012","89194496",".lev"
"74","Data\Levels\FinalAlbion\BanditCamp_Filler_02.lev","1345556","91457536",".lev"
"75","Data\Levels\FinalAlbion\BanditCamp_Filler_01.lev","847892","92805120",".lev"
"76","Data\Levels\FinalAlbion\BanditCampResidential.lev","3161707","93655040",".lev"
"77","Data\Levels\FinalAlbion\BanditCampMain.lev","2787535","96817152",".lev"
"78","Data\Levels\FinalAlbion\HookCoast_Sea_01.lev","2199572","99606528",".lev"
"79","Data\Levels\FinalAlbion\HookCoast_Sea_02.lev","1343508","101808128",".lev"
"80","Data\Levels\FinalAlbion\DemonDoor_KnotholeGlade.lev","719724","103153664",".lev"
"81","Data\Levels\FinalAlbion\DemonDoor_KnotholeGlade_Filler_04.lev","1114548","103874560",".lev"
"82","Data\Levels\FinalAlbion\DemonDoor_KnotholeGlade_Filler_01.lev","999444","104990720",".lev"
"83","Data\Levels\FinalAlbion\DemonDoor_KnotholeGlade_Filler_03.lev","800788","105992192",".lev"
"84","Data\Levels\FinalAlbion\DemonDoor_KnotholeGlade_Filler_02.lev","823316","106795008",".lev"
"85","Data\Levels\FinalAlbion\Witchwood_Filler_13.lev","210797","107620352",".lev"
"86","Data\Levels\FinalAlbion\Witchwood_Filler_12.lev","1672068","107831296",".lev"
"87","Data\Levels\FinalAlbion\Witchwood_Filler_07.lev","1307720","109504512",".lev"
"88","Data\Levels\FinalAlbion\Witchwood_Filler_25.lev","431090","110813184",".lev"
"89","Data\Levels\FinalAlbion\Witchwood_Filler_11.lev","902888","111245312",".lev"
"90","Data\Levels\FinalAlbion\Witchwood_2.lev","1109406","112148480",".lev"
"91","Data\Levels\FinalAlbion\Witchwood.lev","527022","113258496",".lev"
"92","Data\Levels\FinalAlbion\Witchwood_Leadout_01.lev","101272","113786880",".lev"
"93","Data\Levels\FinalAlbion\Witchwood_Filler_15.lev","2014119","113889280",".lev"
"94","Data\Levels\FinalAlbion\Witchwood_Filler_14.lev","933220","115904512",".lev"
"95","Data\Levels\FinalAlbion\Witchwood_Filler_26.lev","212964","116838400",".lev"
"96","Data\Levels\FinalAlbion\Witchwood_Filler_24.lev","141849","117051392",".lev"
"97","Data\Levels\FinalAlbion\Witchwood_Leadout_02.lev","241374","117194752",".lev"
"98","Data\Levels\FinalAlbion\WitchwoodCavern.lev","722425","117436416",".lev"
"99","Data\Levels\FinalAlbion\Witchwood_Filler_06.lev","387814","118159360",".lev"
"100","Data\Levels\FinalAlbion\Witchwood_Filler_03.lev","466829","118548480",".lev"
"101","Data\Levels\FinalAlbion\Witchwood_Filler_01.lev","301972","119015424",".lev"
"102","Data\Levels\FinalAlbion\Witchwood_3.lev","604624","119318528",".lev"
"103","Data\Levels\FinalAlbion\Witchwood_4.lev","1182084","119924736",".lev"
"104","Data\Levels\FinalAlbion\Witchwood_Leadout_03.lev","101070","121108480",".lev"
"105","Data\Levels\FinalAlbion\Witchwood_Filler_18.lev","99048","121210880",".lev"
"106","Data\Levels\FinalAlbion\Witchwood_Filler_05.lev","1175142","121311232",".lev"
"107","Data\Levels\FinalAlbion\Witchwood_Filler_04.lev","207666","122486784",".lev"
"108","Data\Levels\FinalAlbion\BanditCampPath_Filler_04.lev","1280136","122695680",".lev"
"109","Data\Levels\FinalAlbion\BanditCampPath_1.lev","3465272","123977728",".lev"
"110","Data\Levels\FinalAlbion\BanditCampPath_Filler_06.lev","813516","127444992",".lev"
"111","Data\Levels\FinalAlbion\BanditCampPath_Filler_05.lev","1348056","128260096",".lev"
"112","Data\Levels\FinalAlbion\BanditCampPath_Filler_08.lev","327700","129609728",".lev"
"113","Data\Levels\FinalAlbion\BanditCampPath_Filler_07.lev","346132","129939456",".lev"
"114","Data\Levels\FinalAlbion\BanditCampPath_Filler_09.lev","233492","130287616",".lev"
"115","Data\Levels\FinalAlbion\BanditCampPath_Filler_10.lev","172052","130523136",".lev"
"116","Data\Levels\FinalAlbion\BanditCampPath_Filler_11.lev","55316","130697216",".lev"
"117","Data\Levels\FinalAlbion\BanditCampPath_Filler_12.lev","69652","130754560",".lev"
"118","Data\Levels\FinalAlbion\OakVale_Filler_04.lev","663572","130826240",".lev"
"119","Data\Levels\FinalAlbion\BarrowFields.lev","3438170","131491840",".lev"
"120","Data\Levels\FinalAlbion\OakVale_Filler_02.lev","2251045","134930432",".lev"
"121","Data\Levels\FinalAlbion\BarrowFields_Filler_01.lev","2082836","137183232",".lev"
"122","Data\Levels\FinalAlbion\BarrowFields_Filler_07.lev","49172","139268096",".lev"
"123","Data\Levels\FinalAlbion\OakvaleFiller_07.lev","847256","139319296",".lev"
"124","Data\Levels\FinalAlbion\HauntedHouse.lev","2207500","140167168",".lev"
"125","Data\Levels\FinalAlbion\BarrowFields_Filler_05.lev","1251046","142374912",".lev"
"126","Data\Levels\FinalAlbion\BarrowFields_Filler_03.lev","739348","143626240",".lev"
"127","Data\Levels\FinalAlbion\BarrowFields_Filler_02.lev","560076","144367616",".lev"
"128","Data\Levels\FinalAlbion\BarrowFields_Filler_04.lev","593390","144928768",".lev"
"129","Data\Levels\FinalAlbion\HauntedHouse_Filler_01.lev","2007060","145522688",".lev"
"130","Data\Levels\FinalAlbion\HauntedHouse_Filler_02.lev","403476","147531776",".lev"
"131","Data\Levels\FinalAlbion\Darkwood_Filler_03.lev","1260629","147937280",".lev"
"132","Data\Levels\FinalAlbion\HauntedHouseCellar.lev","338862","149198848",".lev"
"133","Data\Levels\FinalAlbion\Darkwood_Filler_04.lev","1433889","149538816",".lev"
"134","Data\Levels\FinalAlbion\Darkwood_Filler_17.lev","1102257","150974464",".lev"
"135","Data\Levels\FinalAlbion\Darkwood_11.lev","1488591","152078336",".lev"
"136","Data\Levels\FinalAlbion\Darkwood_10.lev","1872770","153567232",".lev"
"137","Data\Levels\FinalAlbion\Darkwood_Filler_02.lev","121438","155441152",".lev"
"138","Data\Levels\FinalAlbion\Darkwood10_Leadout_01.lev","143215","155564032",".lev"
"139","Data\Levels\FinalAlbion\Darkwood_Filler_16.lev","1978966","155707392",".lev"
"140","Data\Levels\FinalAlbion\Darkwood_Filler_01.lev","971880","157687808",".lev"
"141","Data\Levels\FinalAlbion\Darkwood9_Leadout_01.lev","132632","158660608",".lev"
"142","Data\Levels\FinalAlbion\Darkwood_9.lev","1156842","158793728",".lev"
"143","Data\Levels\FinalAlbion\Darkwood_Filler_05.lev","598924","159950848",".lev"
"144","Data\Levels\FinalAlbion\Darkwood_Filler_06.lev","1077517","160550912",".lev"
"145","Data\Levels\FinalAlbion\Darkwood_Filler_07.lev","1189974","161630208",".lev"
"146","Data\Levels\FinalAlbion\Darkwood_8.lev","2192839","162822144",".lev"
"147","Data\Levels\FinalAlbion\Darkwood8_Leadout_01.lev","198571","165015552",".lev"
"148","Data\Levels\FinalAlbion\Darkwood7_Leadout_01.lev","188139","165214208",".lev"
"149","Data\Levels\FinalAlbion\Darkwood_Filler_15.lev","1154543","165402624",".lev"
"150","Data\Levels\FinalAlbion\Darkwood_Filler_14.lev","584179","166557696",".lev"
"151","Data\Levels\FinalAlbion\Darkwood_Filler_18.lev","1063342","167143424",".lev"
"152","Data\Levels\FinalAlbion\Darkwood_Filler_19.lev","476646","168208384",".lev"
"153","Data\Levels\FinalAlbion\Darkwood_Filler_31.lev","237005","168685568",".lev"
"154","Data\Levels\FinalAlbion\Darkwood6_Leadout_01.lev","215672","168923136",".lev"
"155","Data\Levels\FinalAlbion\Darkwood7_Leadout_02.lev","173010","169140224",".lev"
"156","Data\Levels\FinalAlbion\Darkwood_6.lev","1165534","169314304",".lev"
"157","Data\Levels\FinalAlbion\Darkwood.lev","1360004","170481664",".lev"
"158","Data\Levels\FinalAlbion\Darkwood_Leadout_01.lev","175450","171843584",".lev"
"159","Data\Levels\FinalAlbion\Darkwood_Leadout_02.lev","208053","172019712",".lev"
"160","Data\Levels\FinalAlbion\Darkwood4_Leadout_01.lev","158469","172228608",".lev"
"161","Data\Levels\FinalAlbion\Darkwood_4.lev","835455","172388352",".lev"
"162","Data\Levels\FinalAlbion\Darkwood_3.lev","811136","173223936",".lev"
"163","Data\Levels\FinalAlbion\Darkwood3_Leadout_01.lev","315642","174036992",".lev"
"164","Data\Levels\FinalAlbion\Darkwood_5.lev","1003074","174354432",".lev"
"165","Data\Levels\FinalAlbion\Darkwood5_Leadout_01.lev","159773","175357952",".lev"
"166","Data\Levels\FinalAlbion\Darkwood_7.lev","1047126","175519744",".lev"
"167","Data\Levels\FinalAlbion\Darkwood7_Leadout_03.lev","169981","176568320",".lev"
"168","Data\Levels\FinalAlbion\DarkwoodChapel_Leadout_01.lev","170305","176738304",".lev"
"169","Data\Levels\FinalAlbion\DarkwoodChapel.lev","752890","176910336",".lev"
"170","Data\Levels\FinalAlbion\Darkwood_Filler_09.lev","1244122","177664000",".lev"
"171","Data\Levels\FinalAlbion\Darkwood_Filler_08.lev","133140","178909184",".lev"
"172","Data\Levels\FinalAlbion\Darkwood_Filler_20.lev","1039423","179044352",".lev"
"173","Data\Levels\FinalAlbion\Darkwood_Filler_21.lev","926724","180084736",".lev"
"174","Data\Levels\FinalAlbion\Darkwood_Filler_24.lev","1108751","181012480",".lev"
"175","Data\Levels\FinalAlbion\Darkwood_Filler_22.lev","612707","182122496",".lev"
"176","Data\Levels\FinalAlbion\Darkwood_Filler_23.lev","1003771","182736896",".lev"
"177","Data\Levels\FinalAlbion\Darkwood_Filler_25.lev","1744654","183742464",".lev"
"178","Data\Levels\FinalAlbion\Darkwood_Filler_26.lev","1746142","185487360",".lev"
"179","Data\Levels\FinalAlbion\Darkwood_Filler_27.lev","591502","187234304",".lev"
"180","Data\Levels\FinalAlbion\Darkwood_Filler_28.lev","244717","187826176",".lev"
"181","Data\Levels\FinalAlbion\Darkwood_Filler_32.lev","510859","188071936",".lev"
"182","Data\Levels\FinalAlbion\Greatwood_Filler_05.lev","1050434","188583936",".lev"
"183","Data\Levels\FinalAlbion\Filler_GrannysHouse_02.lev","524126","189634560",".lev"
"184","Data\Levels\FinalAlbion\GreatwoodHobbeCave.lev","817659","190158848",".lev"
"185","Data\Levels\FinalAlbion\Greatwood_Filler_06.lev","482432","190978048",".lev"
"186","Data\Levels\FinalAlbion\GrannysHouse.lev","1218588","191461376",".lev"
"187","Data\Levels\FinalAlbion\Greatwood_Filler_07.lev","1003230","192681984",".lev"
"188","Data\Levels\FinalAlbion\Filler_GrannysHouse_01.lev","584765","193685504",".lev"
"189","Data\Levels\FinalAlbion\Filler01.lev","440411","194271232",".lev"
"190","Data\Levels\FinalAlbion\Greatwood_Filler_01.lev","1562776","194713600",".lev"
"191","Data\Levels\FinalAlbion\Greatwood_Filler_02.lev","1548445","196278272",".lev"
"192","Data\Levels\FinalAlbion\Greatwood_Filler_08.lev","946794","197828608",".lev"
"193","Data\Levels\FinalAlbion\Greatwood_Filler_03.lev","170896","198776832",".lev"
"194","Data\Levels\FinalAlbion\GreatwoodTeleport.lev","3931251","198948864",".lev"
"195","Data\Levels\FinalAlbion\TeleporterGreatwood.lev","1092496","202881024",".lev"
"196","Data\Levels\FinalAlbion\GreatwoodBanditToll.lev","758646","203974656",".lev"
"197","Data\Levels\FinalAlbion\Greatwood_4.lev","5486055","204734464",".lev"
"198","Data\Levels\FinalAlbion\Bordello_Filler_04.lev","583487","210221056",".lev"
"199","Data\Levels\FinalAlbion\Bordello_Filler_03.lev","1476266","210804736",".lev"
"200","Data\Levels\FinalAlbion\Bordello.lev","1102767","212281344",".lev"
"201","Data\Levels\FinalAlbion\Bordello_Filler_02.lev","1038715","213385216",".lev"
"202","Data\Levels\FinalAlbion\Darkwood_Filler_29.lev","699481","214425600",".lev"
"203","Data\Levels\FinalAlbion\Darkwood_Filler_10.lev","815553","215126016",".lev"
"204","Data\Levels\FinalAlbion\Darkwood_Filler_11.lev","808732","215943168",".lev"
"205","Data\Levels\FinalAlbion\Darkwood_Filler_12.lev","986709","216752128",".lev"
"206","Data\Levels\FinalAlbion\Darkwood_Filler_13.lev","435465","217739264",".lev"
"207","Data\Levels\FinalAlbion\Darkwood_Filler_30.lev","630416","218175488",".lev"
"208","Data\Levels\FinalAlbion\DemonDoor_Bordello.lev","433546","218806272",".lev"
"209","Data\Levels\FinalAlbion\DemonDoor_Bordello_Filler_04.lev","1164927","219240448",".lev"
"210","Data\Levels\FinalAlbion\DemonDoor_Bordello_Filler_02.lev","647232","220405760",".lev"
"211","Data\Levels\FinalAlbion\DemonDoor_Bordello_Filler_01.lev","819219","221054976",".lev"
"212","Data\Levels\FinalAlbion\DemonDoor_Bordello_Filler_03.lev","1445329","221876224",".lev"
"213","Data\Levels\FinalAlbion\DemonDoor_DarkwoodSporeSwamp.lev","672484","223322112",".lev"
"214","Data\Levels\FinalAlbion\DemonDoor_DarkwoodSporeSwamp_Filler_04.lev","888852","223995904",".lev"
"215","Data\Levels\FinalAlbion\DemonDoor_DarkwoodSporeSwamp_Filler_01.lev","845844","224886784",".lev"
"216","Data\Levels\FinalAlbion\DemonDoor_DarkwoodSporeSwamp_Filler_02.lev","862228","225734656",".lev"
"217","Data\Levels\FinalAlbion\DemonDoor_DarkwoodSporeSwamp_Filler_03.lev","905236","226598912",".lev"
"218","Data\Levels\FinalAlbion\DemonDoor_GreatwoodGrannysHouse.lev","219156","227506176",".lev"
"219","Data\Levels\FinalAlbion\DemonDoor_GreatwoodBanditToll.lev","1015534","227727360",".lev"
"220","Data\Levels\FinalAlbion\DemonDoor_GreatwoodBanditTol_Filler_03.lev","1015828","228743168",".lev"
"221","Data\Levels\FinalAlbion\DemonDoor_GreatwoodBanditTol_Filler_02.lev","1054740","229761024",".lev"
"222","Data\Levels\FinalAlbion\DemonDoor_GreatwoodBanditTol_Filler_01.lev","1288506","230817792",".lev"
"223","Data\Levels\FinalAlbion\DemonDoor_GreatwoodBanditTol_Filler_04.lev","1249861","232108032",".lev"
"224","Data\Levels\FinalAlbion\DemonDoor_GreatwoodCaves.lev","828224","233359360",".lev"
"225","Data\Levels\FinalAlbion\DemonDoor_GreatwoodCaves_Filler_04.lev","1205532","234188800",".lev"
"226","Data\Levels\FinalAlbion\DemonDoor_GreatwoodCaves_Filler_01.lev","982240","235395072",".lev"
"227","Data\Levels\FinalAlbion\DemonDoor_GreatwoodCaves_Filler_02.lev","1030653","236378112",".lev"
"228","Data\Levels\FinalAlbion\DemonDoor_GreatwoodCaves_Filler_03.lev","1006076","237410304",".lev"
"229","Data\Levels\FinalAlbion\KnotholeGlade_Filler_01.lev","1912797","238417920",".lev"
"230","Data\Levels\FinalAlbion\Witchwood_Filler_30.lev","1465182","240330752",".lev"
"231","Data\Levels\FinalAlbion\Witchwood_Filler_31.lev","221025","241797120",".lev"
"232","Data\Levels\FinalAlbion\KnotholeGlade_Filler_02.lev","1017717","242018304",".lev"
"233","Data\Levels\FinalAlbion\KnotholeGlade_Filler_03.lev","2589607","243036160",".lev"
"234","Data\Levels\FinalAlbion\KnotholeGlade.lev","1759775","245626880",".lev"
"235","Data\Levels\FinalAlbion\KnotholeGladeMainTown.lev","4070783","247388160",".lev"
"236","Data\Levels\FinalAlbion\KnotholeGlade_Leadout_02.lev","242690","251459584",".lev"
"237","Data\Levels\FinalAlbion\Witchwood_Filler_16.lev","684480","251703296",".lev"
"238","Data\Levels\FinalAlbion\KnotholeGlade_Leadout_01.lev","338811","252389376",".lev"
"239","Data\Levels\FinalAlbion\Witchwood_Filler_22.lev","358147","252729344",".lev"
"240","Data\Levels\FinalAlbion\Witchwood_5.lev","731132","253087744",".lev"
"241","Data\Levels\FinalAlbion\Witchwood_Leadout_05.lev","111304","253818880",".lev"
"242","Data\Levels\FinalAlbion\Witchwood_Leadout_04.lev","105635","253931520",".lev"
"243","Data\Levels\FinalAlbion\Witchwood_Leadout_06.lev","120669","254038016",".lev"
"244","Data\Levels\FinalAlbion\Witchwood_Filler_10.lev","251966","254158848",".lev"
"245","Data\Levels\FinalAlbion\Witchwood_Filler_09.lev","1488870","254412800",".lev"
"246","Data\Levels\FinalAlbion\Witchwood_Filler_21.lev","816714","255901696",".lev"
"247","Data\Levels\FinalAlbion\Witchwood_Filler_27.lev","3918354","256718848",".lev"
"248","Data\Levels\FinalAlbion\Witchwood_Filler_28.lev","1795872","260638720",".lev"
"249","Data\Levels\FinalAlbion\Witchwood_Filler_29.lev","1284350","262434816",".lev"
"250","Data\Levels\FinalAlbion\Witchwood_7.lev","1851330","263720960",".lev"
"251","Data\Levels\FinalAlbion\Witchwood_9.lev","1275308","265572352",".lev"
"252","Data\Levels\FinalAlbion\Witchwood_6.lev","502708","266848256",".lev"
"253","Data\Levels\FinalAlbion\Witchwood_Leadout_08.lev","341759","267352064",".lev"
"254","Data\Levels\FinalAlbion\Arena_Leadout_01.lev","453190","267694080",".lev"
"255","Data\Levels\FinalAlbion\ArenaExterior.lev","1565653","268148736",".lev"
"256","Data\Levels\FinalAlbion\BanditTollFiller_01.lev","1289464","269715456",".lev"
"257","Data\Levels\FinalAlbion\Greatwood_Filler_09.lev","1414423","271005696",".lev"
"258","Data\Levels\FinalAlbion\PicnicArea_Filler_01.lev","6997116","272420864",".lev"
"259","Data\Levels\FinalAlbion\Arena_Filler_02.lev","820335","279418880",".lev"
"260","Data\Levels\FinalAlbion\Arena_Filler_01.lev","231444","280240128",".lev"
"261","Data\Levels\FinalAlbion\ArenaHallOfHeroes.lev","493588","280473600",".lev"
"262","Data\Levels\FinalAlbion\ArenaCells.lev","151572","280969216",".lev"
"263","Data\Levels\FinalAlbion\Arena.lev","714772","281122816",".lev"
"264","Data\Levels\FinalAlbion\BowerstoneSlums_Filler_03.lev","446484","281839616",".lev"
"265","Data\Levels\FinalAlbion\BowerstoneSlums_Filler_02.lev","2628261","282288128",".lev"
"266","Data\Levels\FinalAlbion\BowerstoneSlums_Filler_01.lev","155668","284917760",".lev"
"267","Data\Levels\FinalAlbion\Bowerstone_Filler_03.lev","2275348","285075456",".lev"
"268","Data\Levels\FinalAlbion\Greatwood_3.lev","5374381","287352832",".lev"
"269","Data\Levels\FinalAlbion\OrchardFarmFiller_01.lev","708040","292728832",".lev"
"270","Data\Levels\FinalAlbion\OrchardFarm.lev","2673074","293437440",".lev"
"271","Data\Levels\FinalAlbion\OrchardFarmEast.lev","5067653","296112128",".lev"
"272","Data\Levels\FinalAlbion\OrchardFarm_Filler_01.lev","1719711","301180928",".lev"
"273","Data\Levels\FinalAlbion\OrchardFarm_Filler_02.lev","2406462","302901248",".lev"
"274","Data\Levels\FinalAlbion\Greatwood_Filler_04.lev","1123518","305309696",".lev"
"275","Data\Levels\FinalAlbion\GreatwoodLakeFiller_01.lev","575508","306434048",".lev"
"276","Data\Levels\FinalAlbion\PicnicArea.lev","2661013","307011584",".lev"
"277","Data\Levels\FinalAlbion\Fisherman.lev","1851207","309673984",".lev"
"278","Data\Levels\FinalAlbion\Greatwood_1.lev","3357180","311525376",".lev"
"279","Data\Levels\FinalAlbion\Greatwood_2.lev","3709500","314884096",".lev"
"280","Data\Levels\FinalAlbion\PicnicArea_Filler_03.lev","407572","318595072",".lev"
"281","Data\Levels\FinalAlbion\LookoutPoint.lev","3090776","319004672",".lev"
"282","Data\Levels\FinalAlbion\GuildExterior.lev","4746916","322097152",".lev"
"283","Data\Levels\FinalAlbion\DemonDoor_LookoutPoint.lev","202772","326844416",".lev"
"284","Data\Levels\FinalAlbion\PicnicArea_Filler_02.lev","2681727","327049216",".lev"
"285","Data\Levels\FinalAlbion\BowerstoneBridge.lev","3311077","329732096",".lev"
"286","Data\Levels\FinalAlbion\LookoutPoint_Filler_06.lev","1507348","333043712",".lev"
"287","Data\Levels\FinalAlbion\LookoutPoint_Filler_01.lev","3079180","334553088",".lev"
"288","Data\Levels\FinalAlbion\LookoutPoint_Filler_05.lev","2171649","337633280",".lev"
"289","Data\Levels\FinalAlbion\LookoutPoint_Filler_07.lev","2117652","339806208",".lev"
"290","Data\Levels\FinalAlbion\LookoutPoint_Filler_04.lev","22548","341925888",".lev"
"291","Data\Levels\FinalAlbion\LookoutPoint_Filler_03.lev","28692","341950464",".lev"
"292","Data\Levels\FinalAlbion\LookoutPoint_Filler_02.lev","43028","341981184",".lev"
"293","Data\Levels\FinalAlbion\BowerstoneSlumsWarehouses.lev","5828667","342026240",".lev"
"294","Data\Levels\FinalAlbion\Bowerstone_Filler_05.lev","1333268","347856896",".lev"
"295","Data\Levels\FinalAlbion\HobbeCaveMainChamber.lev","123418","349192192",".lev"
"296","Data\Levels\FinalAlbion\HobbeCaveLarder.lev","90132","349317120",".lev"
"297","Data\Levels\FinalAlbion\HobbeCaveNymphChamber.lev","581230","349409280",".lev"
