index	definition	name	length	hex
2826	OBJECT_FAMILY	REWARD_BANDIT_01	77	0100010000112ACBE00800000026120000000016432712000000004842C210000000004842C310000000001643BC10000000009642B410000000009642000000000000C842000000000000C843
2827	OBJECT_FAMILY	REWARD_BANDIT_02	77	0100010000112ACBE00800000027120000000016432812000000004842C210000000007042C31000000000C842BC1000000000F042C11000000000A041000000000000C842000000000000C843
2828	OBJECT_FAMILY	REWARD_BANDIT_03	77	0100010000112ACBE00800000028120000000016432912000000004842C210000000007042C310000000004842BC1000000000C842C110000000002042000000000000C842000000000000C843
2829	OBJECT_FAMILY	REWARD_BANDIT_LEADER_01	61	0100010000112ACBE00600000028120000000016432912000000004842C210000000001643C310000000001643000000000000C842000000000000C843
2830	OBJECT_FAMILY	REWARD_BANDIT_LEADER_02	61	0100010000112ACBE00600000029120000000016432A12000000004842C210000000004843C31000000000C842000000000000C842000000000000C843
2831	OBJECT_FAMILY	REWARD_BANDIT_LEADER_03	61	0100010000112ACBE0060000002A120000000016432B12000000004842C210000000007A43C310000000004842000000000000C842000000000000C843
2832	OBJECT_FAMILY	REWARD_WASP_01	37	0100010000112ACBE003000000C210000000004842000000000000AF43000000000000C843
2833	OBJECT_FAMILY	REWARD_WASP_02	37	0100010000112ACBE003000000C210000000004842000000000000AF43000000000000C843
2834	OBJECT_FAMILY	REWARD_WASP_03	37	0100010000112ACBE003000000C210000000004842000000000000AF43000000000000C843
2835	OBJECT_FAMILY	REWARD_BEETLE_01	37	0100010000112ACBE003000000C210000000004842000000000000AF43000000000000C843
2836	OBJECT_FAMILY	REWARD_BEETLE_02	37	0100010000112ACBE003000000C210000000004842000000000000AF43000000000000C843
2837	OBJECT_FAMILY	REWARD_BALVERINE_01	53	0100010000112ACBE005000000C210000000002042C31000000000C842BC10000000002043000000000000C842000000000000C843
2838	OBJECT_FAMILY	REWARD_BALVERINE_02	45	0100010000112ACBE004000000C210000000004842C31000000000C842BC1000000000AF43000000000000C843
2839	OBJECT_FAMILY	REWARD_NYMPH_01	45	0100010000112ACBE004000000C21000000000BE43C31000000000C8425A1100000000A041000000000000C843
2840	OBJECT_FAMILY	REWARD_NYMPH_02	45	0100010000112ACBE004000000C21000000000B443C31000000000C8425C11000000002042000000000000C843
2841	OBJECT_FAMILY	REWARD_NYMPH_03	45	0100010000112ACBE004000000C21000000000AF43C31000000000C8425D11000000004842000000000000C843
2842	OBJECT_FAMILY	REWARD_TROLL_01	29	0100010000112ACBE002000000C21000000000C8425B11000000004843
2843	OBJECT_FAMILY	REWARD_TROLL_02	37	0100010000112ACBE003000000C21000000000C8425B110000000048435D11000000004842
2844	OBJECT_FAMILY	REWARD_TROLL_03	29	0100010000112ACBE002000000C21000000000C8425911000000004843
2845	OBJECT_FAMILY	REWARD_HOBBE_01	69	0100010000112ACBE00700000026120000000016432712000000004842C210000000004842C310000000001643BC10000000001643000000000000C842000000000000C843
2846	OBJECT_FAMILY	REWARD_HOBBE_02	77	0100010000112ACBE00800000026120000000016432712000000004842C210000000004842C510000000004842C310000000001643B71000000000C842000000000000C842000000000000C843
2847	OBJECT_FAMILY	REWARD_HOBBE_03	69	0100010000112ACBE00700000027120000000016432812000000004842C210000000004842C31000000000C842BC10000000001643000000000000C842000000000000C843
2848	OBJECT_FAMILY	REWARD_HOBBE_04	77	0100010000112ACBE008000000271200000000C842281200000000C842C210000000004842C510000000004842C31000000000C842B71000000000C842000000000000C842000000000000C843
2849	OBJECT_FAMILY	REWARD_HOBBE_05	69	0100010000112ACBE00700000028120000000016432912000000004842C210000000007042C31000000000C842BC10000000000C43000000000000C842000000000000C843
2850	OBJECT_FAMILY	REWARD_UNDEAD_01	61	0100010000112ACBE00600000027120000000016432812000000004842C210000000004842C31000000000C8420000000000007A43000000000000C843
2851	OBJECT_FAMILY	REWARD_UNDEAD_02	61	0100010000112ACBE00600000028120000000016432912000000004842C210000000007042C3100000000096420000000000007043000000000000C843
2852	OBJECT_FAMILY	REWARD_UNDEAD_03	61	0100010000112ACBE00600000029120000000016432A12000000004842C21000000000C842C3100000000048420000000000004843000000000000C843
2853	OBJECT_FAMILY	REWARD_MINION_01	53	0100010000112ACBE00500000029120000000016432A12000000004842C21000000000C842C310000000001643000000000000C843
2854	OBJECT_FAMILY	REWARD_MINION_02	61	0100010000112ACBE00600000029120000000016432A12000000004842C210000000001643C510000000004842C31000000000C842000000000000C843
2855	OBJECT_FAMILY	REWARD_SCORPION_01	21	0100010000112ACBE001000000000000000000803F
