"id","region_name","display_name","region_def","minimap","minimap_scale","appear_on_world_map","contains_count","sees_count","contains_maps","sees_maps"
"11","Graveyard","TXT_REGION_LYCHFIELD_CEMETARY","REGION_GRAVEYARD","MINIMAP_GRAVEYARD","1.0","","2","12","FinalAlbion\Graveyard_1.lev;FinalAlbion\GraveyardEntrance.lev","FinalAlbion\GraveyardFiller01.lev;FinalAlbion\ExecutionTree_Filler_02.lev;FinalAlbion\ExecutionTree_Filler_01.lev;FinalAlbion\ExecutionTree.lev;FinalAlbion\GibbetWoods.lev;FinalAlbion\GibbetWoodsFiller01.lev;FinalAlbion\GibbetWoodsFiller02.lev;FinalAlbion\GraveyardFiller03.lev;FinalAlbion\GraveyardFiller02.lev;FinalAlbion\GraveyardPathFiller01.lev;FinalAlbion\GraveyardPath.lev;FinalAlbion\GraveyardPathFiller03.lev"
"12","HeroDualAreaCave","TXT_REGION_HEADSMANS_CAVE","REGION_HEADSMANS_CAVE","MINIMAP_HERODUALAREACAVE","1.0","","1","0","FinalAlbion\HeroDualAreaCave.lev",""
"13","Darkwood1","TXT_REGION_DARKWOOD_ENTRANCE","REGION_DARKWOOD","MINIMAP_DARKWOOD1","1.0","","3","54","FinalAlbion\Darkwood.lev;FinalAlbion\Darkwood_Leadout_01.lev;FinalAlbion\Darkwood_Leadout_02.lev","FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Filler_27.lev;FinalAlbion\Darkwood_Filler_28.lev;FinalAlbion\Darkwood_Filler_23.lev;FinalAlbion\Darkwood_Filler_22.lev;FinalAlbion\Darkwood_Filler_21.lev;FinalAlbion\Darkwood_Filler_20.lev;FinalAlbion\Darkwood_Filler_24.lev;FinalAlbion\Darkwood_Filler_31.lev;FinalAlbion\Darkwood_Filler_19.lev;FinalAlbion\Darkwood_Filler_18.lev;FinalAlbion\Darkwood_Filler_15.lev;FinalAlbion\Darkwood_Filler_16.lev;FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\Darkwood_10.lev;FinalAlbion\Darkwood_11.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\Darkwood_Filler_02.lev;FinalAlbion\Darkwood10_Leadout_01.lev;FinalAlbion\Darkwood9_Leadout_01.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\Darkwood_9.lev;FinalAlbion\Darkwood_8.lev;FinalAlbion\Darkwood_Filler_14.lev;FinalAlbion\Darkwood_6.lev;FinalAlbion\Darkwood_5.lev;FinalAlbion\Darkwood6_Leadout_01.lev;FinalAlbion\Darkwood_Filler_09.lev;FinalAlbion\Darkwood5_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_02.lev;FinalAlbion\Darkwood_Filler_05.lev;FinalAlbion\Darkwood8_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_01.lev;FinalAlbion\Darkwood_7.lev;FinalAlbion\Darkwood4_Leadout_01.lev;FinalAlbion\Darkwood_Filler_08.lev;FinalAlbion\Darkwood_4.lev;FinalAlbion\Darkwood_Filler_06.lev;FinalAlbion\Darkwood_Filler_10.lev;FinalAlbion\DarkwoodChapel_Leadout_01.lev;FinalAlbion\Darkwood7_Leadout_03.lev;FinalAlbion\Darkwood_3.lev;FinalAlbion\Darkwood3_Leadout_01.lev;FinalAlbion\Darkwood_Filler_07.lev;FinalAlbion\DarkwoodChapel.lev;FinalAlbion\Darkwood_Filler_11.lev;FinalAlbion\Darkwood_Filler_13.lev;FinalAlbion\Darkwood_Filler_29.lev;FinalAlbion\Darkwood_Filler_12.lev;FinalAlbion\Darkwood_Filler_30.lev"
"14","Witchwood1","TXT_REGION_WITCHWOOD_TELEPORT","REGION_WITCHWOOD","MINIMAP_WITCHWOOD1","1.0","","3","10","FinalAlbion\Witchwood_2.lev;FinalAlbion\Witchwood.lev;FinalAlbion\Witchwood_Leadout_01.lev","FinalAlbion\Witchwood_Filler_14.lev;FinalAlbion\Witchwood_Filler_12.lev;FinalAlbion\Witchwood_Filler_13.lev;FinalAlbion\Witchwood_Filler_25.lev;FinalAlbion\Witchwood_Filler_11.lev;FinalAlbion\Witchwood_Filler_26.lev;FinalAlbion\Witchwood_Filler_24.lev;FinalAlbion\Witchwood_Leadout_02.lev;FinalAlbion\Witchwood_Filler_15.lev;FinalAlbion\Witchwood_Filler_07.lev"
"15","Arena","TXT_REGION_ARENA","REGION_ARENA","MINIMAP_ARENA","1.0","","1","0","FinalAlbion\Arena.lev",""
"16","KnotholeGlade","TXT_REGION_KNOTHOLE_GLADE","REGION_KNOTHOLE_GLADE","MINIMAP_KNOTHOLEGLADE","1.0","","3","7","FinalAlbion\KnotholeGlade.lev;FinalAlbion\KnotholeGladeMainTown.lev;FinalAlbion\KnotholeGlade_Leadout_02.lev","FinalAlbion\Witchwood_Filler_16.lev;FinalAlbion\KnotholeGlade_Leadout_01.lev;FinalAlbion\KnotholeGlade_Filler_02.lev;FinalAlbion\KnotholeGlade_Filler_03.lev;FinalAlbion\KnotholeGlade_Filler_01.lev;FinalAlbion\Witchwood_Filler_30.lev;FinalAlbion\Witchwood_Filler_31.lev"
"17","HookCoast","TXT_REGION_HOOK_COAST","REGION_HOOK_COAST","MINIMAP_HOOKCOAST","1.0","","1","5","FinalAlbion\HookCoast.lev","FinalAlbion\Hookcoast_Filler_01.lev;FinalAlbion\Hookcoast_Filler_02.lev;FinalAlbion\HookCoast_Sea_01.lev;FinalAlbion\HookCoast_Sea_02.lev;FinalAlbion\HookCoast_Filler_03.lev"
"18","BarrowFields","TXT_REGION_BARROW_FIELDS","REGION_BARROW_FIELDS","MINIMAP_BARROWFIELDS","0.8","","1","34","FinalAlbion\BarrowFields.lev","FinalAlbion\OakVale_Filler_02.lev;FinalAlbion\OakVale_Sea_05.lev;FinalAlbion\OakVale_Sea_06.lev;FinalAlbion\HauntedHouse_Filler_01.lev;FinalAlbion\BarrowFields_Filler_05.lev;FinalAlbion\HauntedHouse.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_Filler_04.lev;FinalAlbion\BarrowFields_Filler_02.lev;FinalAlbion\BarrowFields_Filler_03.lev;FinalAlbion\BarrowFields_Filler_01.lev;FinalAlbion\Darkwood_Filler_17.lev;FinalAlbion\BarrowFields_Filler_07.lev;FinalAlbion\BanditCampPath_Filler_09.lev;FinalAlbion\BanditCampPath_Filler_07.lev;FinalAlbion\OakVale_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_10.lev;FinalAlbion\BanditCampPath_1.lev;FinalAlbion\BanditCampPath_Filler_02.lev;FinalAlbion\BanditCampPath_Filler_08.lev;FinalAlbion\BanditCampPath_Filler_11.lev;FinalAlbion\BanditCampPath_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_05.lev;FinalAlbion\OakVale_Sea_02.lev;FinalAlbion\OakVale_Sea_03.lev;FinalAlbion\OakVale_Sea_01.lev;FinalAlbion\OakVale_Filler_01.lev;FinalAlbion\BanditCampPath_Filler_06.lev;FinalAlbion\BanditCampPathEntrance.lev;FinalAlbion\BanditCampPath_Filler_01.lev;FinalAlbion\BanditCampPath_Filler_12.lev;FinalAlbion\OakvaleFiller_07.lev"
"19","WitchwoodCavern","TXT_REGION_WITCHWOOD_CAVERN","REGION_WITCHWOOD_CAVERN","MINIMAP_WITCHWOODCAVERN","1.0","","1","0","FinalAlbion\WitchwoodCavern.lev",""
"20","HauntedHouse","TXT_REGION_HAUNTED_HOUSE","REGION_HAUNTED_HOUSE","MINIMAP_HAUNTEDHOUSE","1.0","","1","13","FinalAlbion\HauntedHouse.lev","FinalAlbion\HauntedHouse_Filler_02.lev;FinalAlbion\HauntedHouse_Filler_01.lev;FinalAlbion\BarrowFields_Filler_05.lev;FinalAlbion\Darkwood_Filler_03.lev;FinalAlbion\Darkwood_Filler_01.lev;FinalAlbion\BarrowFields_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_10.lev;FinalAlbion\BanditCampPath_Filler_09.lev;FinalAlbion\BanditCampPath_Filler_12.lev;FinalAlbion\BarrowFields_Filler_07.lev;FinalAlbion\BarrowFields_Filler_01.lev;FinalAlbion\BarrowFields_Filler_03.lev;FinalAlbion\BarrowFields_Filler_02.lev"
"21","PrisonCells_1","TXT_REGION_PRISON_BLOCK_A","REGION_PRISON_INTERIOR_BLOCK_A","MINIMAP_PRISONCELLS","1.0","","1","0","FinalAlbion\PrisonCells_1.lev",""
"22","GrannysHouse","TXT_REGION_ROSE_COTTAGE","REGION_ROSE_COTTAGE","MINIMAP_GRANNYSHOUSE","1.0","","1","16","FinalAlbion\GrannysHouse.lev","FinalAlbion\Greatwood_Filler_07.lev;FinalAlbion\Greatwood_Filler_06.lev;FinalAlbion\Filler_GrannysHouse_02.lev;FinalAlbion\Greatwood_Filler_05.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\GreatwoodHobbeCave.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\TeleporterGreatwood.lev;FinalAlbion\GreatwoodTeleport.lev;FinalAlbion\Filler01.lev;FinalAlbion\Filler_GrannysHouse_01.lev;FinalAlbion\GreatwoodBanditToll.lev;FinalAlbion\BanditTollFiller_01.lev;FinalAlbion\Greatwood_Filler_01.lev;FinalAlbion\Greatwood_Filler_02.lev;FinalAlbion\Darkwood_Filler_32.lev"
"23","BanditCampPathEntrance","TXT_REGION_BANDIT_CAMP_PATH_ENTRANCE","REGION_BANDIT_CAMP_GATE","MINIMAP_BANDITCAMPPATHENTRANCE","1.0","","1","19","FinalAlbion\BanditCampPathEntrance.lev","FinalAlbion\OakVale_Sea_01.lev;FinalAlbion\OakVale_Filler_01.lev;FinalAlbion\BanditCampPath_Filler_06.lev;FinalAlbion\OakVale_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_07.lev;FinalAlbion\BanditCampPath_Filler_09.lev;FinalAlbion\BanditCampPath_Filler_10.lev;FinalAlbion\BanditCampPath_Filler_08.lev;FinalAlbion\BanditCampPath_Filler_05.lev;FinalAlbion\BanditCampPath_1.lev;FinalAlbion\BanditCampPath_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_11.lev;FinalAlbion\BanditCampPath_Filler_02.lev;FinalAlbion\BanditCampPath_Filler_01.lev;FinalAlbion\BanditCamp_Filler_01.lev;FinalAlbion\BanditCampMain.lev;FinalAlbion\BanditCampPath_Filler_03.lev;FinalAlbion\BanditCamp_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_13.lev"
"24","Fisherman","TXT_REGION_FISHER_CREEK","REGION_FISHER_CREEK","MINIMAP_FISHERMAN","1.0","","1","16","FinalAlbion\Fisherman.lev","FinalAlbion\PicnicArea_Filler_01.lev;FinalAlbion\PicnicArea.lev;FinalAlbion\PicnicArea_Filler_03.lev;FinalAlbion\Greatwood_2.lev;FinalAlbion\Greatwood_3.lev;FinalAlbion\Greatwood_Filler_09.lev;FinalAlbion\GreatwoodLakeFiller_01.lev;FinalAlbion\LookoutPoint.lev;FinalAlbion\Greatwood_1.lev;FinalAlbion\OrchardFarm.lev;FinalAlbion\OrchardFarmFiller_01.lev;FinalAlbion\PicnicArea_Filler_02.lev;FinalAlbion\BowerstoneBridge.lev;FinalAlbion\LookoutPoint_Filler_05.lev;FinalAlbion\LookoutPoint_Filler_01.lev;FinalAlbion\Greatwood_Filler_04.lev"
"25","ArenaCells","TXT_REGION_ARENA_PREPARATION_AREA","REGION_ARENA_PREPARATION_AREA","MINIMAP_ARENACELLS","1.0","","1","0","FinalAlbion\ArenaCells.lev",""
"26","ArenaHallOfHeroes","TXT_REGION_ARENA_HALL_OF_HEROES","REGION_ARENA_HALL_OF_HEROES","MINIMAP_ARENAHALLOFHEROES","1.0","","1","0","FinalAlbion\ArenaHallOfHeroes.lev",""
"27","ArenaExterior","TXT_REGION_ARENA_ENTRANCE","REGION_ARENA_ENTRANCE","MINIMAP_ARENAEXTERIOR","1.0","","2","5","FinalAlbion\ArenaExterior.lev;FinalAlbion\Arena_Leadout_01.lev","FinalAlbion\Witchwood_Filler_29.lev;FinalAlbion\Witchwood_Leadout_08.lev;FinalAlbion\Witchwood_Filler_28.lev;FinalAlbion\Arena_Filler_02.lev;FinalAlbion\Arena_Filler_01.lev"
"28","GreatwoodEntrance","TXT_REGION_GREATWOOD_ENTRANCE","REGION_GREATWOOD_LEAVES","MINIMAP_GREATWOODENTRANCE","1.0","","2","10","FinalAlbion\Greatwood_1.lev;FinalAlbion\Greatwood_2.lev","FinalAlbion\GreatwoodLakeFiller_01.lev;FinalAlbion\Greatwood_3.lev;FinalAlbion\OrchardFarmFiller_01.lev;FinalAlbion\OrchardFarm.lev;FinalAlbion\OrchardFarmEast.lev;FinalAlbion\Greatwood_Filler_04.lev;FinalAlbion\Fisherman.lev;FinalAlbion\PicnicArea_Filler_03.lev;FinalAlbion\LookoutPoint.lev;FinalAlbion\GuildExterior.lev"
"29","GraveyardPath","TXT_REGION_OLD_KINGDOM_GRAVEYARD_PATH","REGION_OLD_KINGDOM_GRAVEYARD","MINIMAP_GRAVEYARDPATH","1.0","","1","16","FinalAlbion\GraveyardPath.lev","FinalAlbion\GraveyardCircle.lev;FinalAlbion\GraveyardPathFiller02.lev;FinalAlbion\GraveyardPathFiller03.lev;FinalAlbion\GraveyardPathFiller01.lev;FinalAlbion\GraveyardFiller02.lev;FinalAlbion\Graveyard_1.lev;FinalAlbion\GraveyardFiller03.lev;FinalAlbion\GraveyardFiller01.lev;FinalAlbion\GraveyardEntrance.lev;FinalAlbion\GibbetWoodsFiller02.lev;FinalAlbion\GibbetWoodsFiller01.lev;FinalAlbion\GibbetWoods.lev;FinalAlbion\ExecutionTree_Filler_01.lev;FinalAlbion\ExecutionTree.lev;FinalAlbion\ExecutionTree_Filler_02.lev;FinalAlbion\GraveyardPathFiller04.lev"
"30","GraveyardCircle","TXT_REGION_OLD_KINGDOM_GRAVEYARD_CIRCLE","REGION_CIRCLE_DEAD","MINIMAP_GRAVEYARDCIRCLE","1.0","","1","13","FinalAlbion\GraveyardCircle.lev","FinalAlbion\GraveyardPathFiller02.lev;FinalAlbion\GraveyardPathFiller03.lev;FinalAlbion\GraveyardPathFiller01.lev;FinalAlbion\GraveyardPath.lev;FinalAlbion\GraveyardEntrance.lev;FinalAlbion\GraveyardFiller03.lev;FinalAlbion\Graveyard_1.lev;FinalAlbion\GraveyardFiller02.lev;FinalAlbion\ExecutionTree_Filler_01.lev;FinalAlbion\ExecutionTree.lev;FinalAlbion\GraveyardFiller01.lev;FinalAlbion\GibbetWoods.lev;FinalAlbion\GibbetWoodsFiller02.lev"
"31","GreatwoodCaves","TXT_REGION_GREATWOOD_CAVES","REGION_GREATWOOD","MINIMAP_GREATWOODCAVES","1.0","","1","12","FinalAlbion\GreatwoodHobbeCave.lev","FinalAlbion\Greatwood_Filler_01.lev;FinalAlbion\GreatwoodTeleport.lev;FinalAlbion\GreatwoodHobbeCave.lev;FinalAlbion\Darkwood_Filler_27.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Filler01.lev;FinalAlbion\Filler_GrannysHouse_02.lev;FinalAlbion\TeleporterGreatwood.lev;FinalAlbion\Filler_GrannysHouse_01.lev;FinalAlbion\BanditTollFiller_01.lev;FinalAlbion\Greatwood_4.lev"
"32","BowerstonePosh","TXT_REGION_BOWERSTONE_NORTH","REGION_BOWERSTONE_NORTH","MINIMAP_BOWERSTONEPOSH","1.0","","1","12","FinalAlbion\BowerstonePosh.lev","FinalAlbion\BowerstoneSlumsWarehouses.lev;FinalAlbion\Bowerstone_Filler_04.lev;FinalAlbion\Bowerstone_Filler_05.lev;FinalAlbion\Bowerstone_Filler_01.lev;FinalAlbion\Bowerstone_Filler_02.lev;FinalAlbion\BowerstoneSlums_Filler_02.lev;FinalAlbion\BowerstoneSlums_Filler_03.lev;FinalAlbion\BowerstoneJail.lev;FinalAlbion\DesertedFarm.lev;FinalAlbion\ExecutionTree.lev;FinalAlbion\GibbetWoods.lev;FinalAlbion\GibbetWoodsFiller01.lev"
"33","GreatwoodBanditToll","TXT_REGION_BANDIT_TOLL","REGION_GREATWOOD_BANDIT_TOLL","MINIMAP_GREATWOODBANDITTOLL","0.8","","2","16","FinalAlbion\GreatwoodBanditToll.lev;FinalAlbion\Greatwood_4.lev","FinalAlbion\BanditTollFiller_01.lev;FinalAlbion\Greatwood_Filler_08.lev;FinalAlbion\Greatwood_Filler_02.lev;FinalAlbion\Greatwood_Filler_09.lev;FinalAlbion\Greatwood_3.lev;FinalAlbion\Greatwood_Filler_03.lev;FinalAlbion\GreatwoodTeleport.lev;FinalAlbion\Greatwood_Filler_01.lev;FinalAlbion\PicnicArea_Filler_01.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Filler_GrannysHouse_01.lev;FinalAlbion\GreatwoodHobbeCave.lev;FinalAlbion\Filler_GrannysHouse_02.lev;FinalAlbion\Filler01.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Filler_27.lev"
"34","GreatwoodLake","TXT_REGION_GREATWOOD_LAKE","REGION_GREATWOOD_LAKE","MINIMAP_GREATWOODLAKE","0.75","","1","10","FinalAlbion\Greatwood_3.lev","FinalAlbion\Greatwood_Filler_09.lev;FinalAlbion\Greatwood_Filler_08.lev;FinalAlbion\Greatwood_4.lev;FinalAlbion\GreatwoodLakeFiller_01.lev;FinalAlbion\Greatwood_2.lev;FinalAlbion\OrchardFarmFiller_01.lev;FinalAlbion\Greatwood_Filler_03.lev;FinalAlbion\Greatwood_Filler_02.lev;FinalAlbion\PicnicArea_Filler_01.lev;FinalAlbion\Darkwood_Filler_25.lev"
"35","PrisonCourtyard","TXT_REGION_PRISON_COURTYARD","REGION_PRISON_EXTERIOR","MINIMAP_PRISONCOURTYARD1","2.0","","1","0","FinalAlbion\PrisonCourtyard.lev",""
"36","PrisonBarracks","TXT_REGION_PRISON_BARRACKS","REGION_PRISON_INTERIOR_BARRACKS","MINIMAP_PRISONBARRACKS","1.0","","1","0","FinalAlbion\PrisonBarracks.lev",""
"37","PrisonOffice","TXT_REGION_WARDENS_OFFICE","REGION_PRISON_INTERIOR_WARDENS_OFFICE","MINIMAP_PRISONOFFICE","1.0","","1","0","FinalAlbion\PrisonOffice.lev",""
"38","GraveyardSecretPassage_1","TXT_REGION_UNDERGROUND_TUNNEL","REGION_GRAVEYARD_SECRET_PASSAGE","MINIMAP_GRAVEYARDSECRETPASSAGE","1.0","","1","0","FinalAlbion\GraveyardSecretPassage_1.lev",""
"39","PrisonTortureChamber","TXT_REGION_PRISON_TORTURE_CHAMBER","REGION_TORTURE_CHAMBER","MINIMAP_PRISONTORTURECHAMBER","1.0","","1","0","FinalAlbion\PrisonTortureChamber.lev",""
"40","OakBay","TXT_REGION_OAKVALE","REGION_OAK_VALE","MINIMAP_OAKBAY","0.88","","2","14","FinalAlbion\OakValeWest_v2.lev;FinalAlbion\OakValeEast_v2.lev","FinalAlbion\OakVale_Filler_03.lev;FinalAlbion\OakVale_Sea_04.lev;FinalAlbion\OakVale_Sea_03.lev;FinalAlbion\OakVale_Sea_02.lev;FinalAlbion\OakVale_Filler_01.lev;FinalAlbion\OakVale_Sea_01.lev;FinalAlbion\BanditCampPathEntrance.lev;FinalAlbion\BanditCampPath_Filler_01.lev;FinalAlbion\OakVale_Filler_04.lev;FinalAlbion\OakVale_Filler_02.lev;FinalAlbion\BarrowFields.lev;FinalAlbion\OakVale_Sea_06.lev;FinalAlbion\OakVale_Sea_05.lev;FinalAlbion\OakvaleFiller_07.lev"
"41","HauntedHouseCellar","TXT_REGION_HAUNTED_HOUSE_CELLAR","REGION_HAUNTED_HOUSE_CELLAR","MINIMAP_HAUNTEDHOUSECELLAR","1.0","","1","0","FinalAlbion\HauntedHouseCellar.lev",""
"42","BowerstoneTavernCellar","TXT_REGION_BOWERSTONE_TAVERN_CELLAR","REGION_BOWERSTONE_TAVERN_CELLAR","MINIMAP_BOWERSTONECELLAR","1.0","","1","0","FinalAlbion\BowerstoneTavernCellar.lev",""
"43","MayorsHouseBedroom","TXT_REGION_MAYORS_HOUSE_BEDROOM","REGION_MAYORS_HOUSE_BEDROOM","MINIMAP_MAYORSHOUSEBEDROOM","1.0","","1","0","FinalAlbion\MayorsHouseBedroom.lev",""
