"id","level_script_name","level_name","has_wad_lev","has_wad_tng","has_stb_lev","has_loose_tng"
"68","PrisonOffice","FinalAlbion\PrisonOffice.lev","True","True","True","True"
"69","PrisonTortureChamber","FinalAlbion\PrisonTortureChamber.lev","True","True","True","True"
"70","HeroGuildComplex","FinalAlbion\HeroGuildComplexInside.lev","True","True","True","True"
"71","HauntedHouseCellar","FinalAlbion\HauntedHouseCellar.lev","True","True","True","True"
"72","MayorsHouseHallway","FinalAlbion\MayorsHouseHallway.lev","True","True","True","True"
"73","MayorsHouseBedroom","FinalAlbion\MayorsHouseBedroom.lev","True","True","True","True"
"74","BowerstoneTavernCellar","FinalAlbion\BowerstoneTavernCellar.lev","True","True","True","True"
"75","PrisonSecretPassageExterior","FinalAlbion\PrisonSecretPassageExterior.lev","True","True","True","True"
"76","BowerstoneJail","FinalAlbion\BowerstoneJail.lev","True","True","True","True"
"77","DesertedFarm","FinalAlbion\DesertedFarm.lev","True","True","True","True"
"78","GibbetWoods","FinalAlbion\GibbetWoods.lev","True","True","True","True"
"79","PrisonIsland","FinalAlbion\PrisonIsland.lev","True","True","True","True"
"80","GraveyardFiller02","FinalAlbion\GraveyardFiller02.lev","True","True","True","True"
"81","PrisonPath","FinalAlbion\PrisonPath.lev","True","True","True","True"
"82","PicnicArea_Filler_02","FinalAlbion\PicnicArea_Filler_02.lev","True","True","True","True"
"83","FrescoCaves","FinalAlbion\FrescoCaves.lev","True","True","True","True"
"84","GuildWoods","FinalAlbion\GuildWoods.lev","True","True","True","True"
"85","PicnicArea_Filler_01","FinalAlbion\PicnicArea_Filler_01.lev","True","True","True","True"
"86","GuildExterior","FinalAlbion\GuildExterior.lev","True","True","True","True"
"87","HobbeCaveEntranceTunnel","FinalAlbion\HobbeCaveEntranceTunnel.lev","True","True","True","True"
"88","HobbeCaveLarder","FinalAlbion\HobbeCaveLarder.lev","True","True","True","True"
"89","HobbeCaveSideRoom","FinalAlbion\HobbeCaveSideRoom.lev","True","True","True","True"
"90","HobbeCaveMainChamber","FinalAlbion\HobbeCaveMainChamber.lev","True","True","True","True"
"91","HobbeCaveNymphChamber","FinalAlbion\HobbeCaveNymphChamber.lev","True","True","True","True"
"92","OrchardFarmFiller_01","FinalAlbion\OrchardFarmFiller_01.lev","True","True","True","True"
"93","GreatwoodLakeFiller_01","FinalAlbion\GreatwoodLakeFiller_01.lev","True","True","True","True"
"94","BanditTollFiller_01","FinalAlbion\BanditTollFiller_01.lev","True","True","True","True"
"95","PicnicArea_Filler_03","FinalAlbion\PicnicArea_Filler_03.lev","True","True","True","True"
"96","Filler_GrannysHouse_01","FinalAlbion\Filler_GrannysHouse_01.lev","True","True","True","True"
"97","Filler_GrannysHouse_02","FinalAlbion\Filler_GrannysHouse_02.lev","True","True","True","True"
"98","OakVale_Filler_01","FinalAlbion\OakVale_Filler_01.lev","True","True","True","True"
"99","OakVale_Filler_02","FinalAlbion\OakVale_Filler_02.lev","True","True","True","True"
"100","OakVale_Filler_03","FinalAlbion\OakVale_Filler_03.lev","True","True","True","True"
"101","OakVale_Sea_01","FinalAlbion\OakVale_Sea_01.lev","True","True","True","True"
"102","OakVale_Sea_02","FinalAlbion\OakVale_Sea_02.lev","True","True","True","True"
"103","OakVale_Sea_03","FinalAlbion\OakVale_Sea_03.lev","True","True","True","True"
"104","OakVale_Sea_04","FinalAlbion\OakVale_Sea_04.lev","True","True","True","True"
"105","OakVale_Sea_05","FinalAlbion\OakVale_Sea_05.lev","True","True","True","True"
"106","OakVale_Sea_06","FinalAlbion\OakVale_Sea_06.lev","True","True","True","True"
"107","BanditCampPath_Filler_01","FinalAlbion\BanditCampPath_Filler_01.lev","True","True","True","True"
"108","BanditCampPath_Filler_02","FinalAlbion\BanditCampPath_Filler_02.lev","True","True","True","True"
"109","BanditCampPath_Filler_03","FinalAlbion\BanditCampPath_Filler_03.lev","True","True","True","True"
"110","BanditCampPath_Filler_04","FinalAlbion\BanditCampPath_Filler_04.lev","True","True","True","True"
"111","BanditCampPath_Filler_05","FinalAlbion\BanditCampPath_Filler_05.lev","True","True","True","True"
"112","BanditCampPath_Filler_06","FinalAlbion\BanditCampPath_Filler_06.lev","True","True","True","True"
"113","OakVale_Filler_04","FinalAlbion\OakVale_Filler_04.lev","True","True","True","True"
"114","BanditCampPath_Filler_07","FinalAlbion\BanditCampPath_Filler_07.lev","True","True","True","True"
"115","BanditCampPath_Filler_08","FinalAlbion\BanditCampPath_Filler_08.lev","True","True","True","True"
"116","BanditCamp_Filler_01","FinalAlbion\BanditCamp_Filler_01.lev","True","True","True","True"
"117","BarrowFields_Filler_01","FinalAlbion\BarrowFields_Filler_01.lev","True","True","True","True"
"118","BanditCamp_Filler_02","FinalAlbion\BanditCamp_Filler_02.lev","True","True","True","True"
"119","BanditCamp_Filler_03","FinalAlbion\BanditCamp_Filler_03.lev","True","True","True","True"
"120","BanditCamp_Filler_04","FinalAlbion\BanditCamp_Filler_04.lev","True","True","True","True"
"121","BanditCamp_Filler_05","FinalAlbion\BanditCamp_Filler_05.lev","True","True","True","True"
"122","BanditCamp_Filler_06","FinalAlbion\BanditCamp_Filler_06.lev","True","True","True","True"
"123","BarrowFields_Filler_02","FinalAlbion\BarrowFields_Filler_02.lev","True","True","True","True"
"124","BarrowFields_Filler_03","FinalAlbion\BarrowFields_Filler_03.lev","True","True","True","True"
"125","BarrowFields_Filler_04","FinalAlbion\BarrowFields_Filler_04.lev","True","True","True","True"
"126","BarrowFields_Filler_05","FinalAlbion\BarrowFields_Filler_05.lev","True","True","True","True"
"127","Witchwood_Filler_01","FinalAlbion\Witchwood_Filler_01.lev","True","True","True","True"
"128","Witchwood_Leadout_04","FinalAlbion\Witchwood_Leadout_04.lev","True","True","True","True"
"129","Witchwood_Filler_03","FinalAlbion\Witchwood_Filler_03.lev","True","True","True","True"
"130","Witchwood_Filler_04","FinalAlbion\Witchwood_Filler_04.lev","True","True","True","True"
"131","Witchwood_Filler_05","FinalAlbion\Witchwood_Filler_05.lev","True","True","True","True"
"132","Witchwood_Filler_06","FinalAlbion\Witchwood_Filler_06.lev","True","True","True","True"
"133","Witchwood_Leadout_02","FinalAlbion\Witchwood_Leadout_02.lev","True","True","True","True"
"134","Witchwood_Leadout_06","FinalAlbion\Witchwood_Leadout_06.lev","True","True","True","True"
"135","Witchwood_Filler_09","FinalAlbion\Witchwood_Filler_09.lev","True","True","True","True"
"136","Witchwood_Filler_10","FinalAlbion\Witchwood_Filler_10.lev","True","True","True","True"
"137","Witchwood_Filler_11","FinalAlbion\Witchwood_Filler_11.lev","True","True","True","True"
"138","Witchwood_Filler_12","FinalAlbion\Witchwood_Filler_12.lev","True","True","True","True"
"139","Witchwood_Filler_13","FinalAlbion\Witchwood_Filler_13.lev","True","True","True","True"
"140","BanditCampPath_Filler_09","FinalAlbion\BanditCampPath_Filler_09.lev","True","True","True","True"
"141","Witchwood_Filler_14","FinalAlbion\Witchwood_Filler_14.lev","True","True","True","True"
"142","Witchwood_Filler_16","FinalAlbion\Witchwood_Filler_16.lev","True","True","True","True"
"143","KnotholeGlade_Filler_01","FinalAlbion\KnotholeGlade_Filler_01.lev","True","True","True","True"
"144","KnotholeGlade_Filler_02","FinalAlbion\KnotholeGlade_Filler_02.lev","True","True","True","True"
"145","GraveyardFiller01","FinalAlbion\GraveyardFiller01.lev","True","True","True","True"
"146","GraveyardPathFiller01","FinalAlbion\GraveyardPathFiller01.lev","True","True","True","True"
"147","GraveyardPathFiller02","FinalAlbion\GraveyardPathFiller02.lev","True","True","True","True"
"148","GraveyardPathFiller03","FinalAlbion\GraveyardPathFiller03.lev","True","True","True","True"
"149","GibbetWoodsFiller01","FinalAlbion\GibbetWoodsFiller01.lev","True","True","True","True"
"150","GibbetWoodsFiller02","FinalAlbion\GibbetWoodsFiller02.lev","True","True","True","True"
"151","PrisonPathFiller01","FinalAlbion\PrisonPathFiller01.lev","True","True","True","True"
"152","Witchwood_Filler_15","FinalAlbion\Witchwood_Filler_15.lev","True","True","True","True"
"153","HauntedHouse_Filler_01","FinalAlbion\HauntedHouse_Filler_01.lev","True","True","True","True"
"154","Darkwood10_Leadout_01","FinalAlbion\Darkwood10_Leadout_01.lev","True","True","True","True"
"155","Darkwood9_Leadout_01","FinalAlbion\Darkwood9_Leadout_01.lev","True","True","True","True"
"156","Darkwood8_Leadout_01","FinalAlbion\Darkwood8_Leadout_01.lev","True","True","True","True"
"157","Darkwood7_Leadout_01","FinalAlbion\Darkwood7_Leadout_01.lev","True","True","True","True"
"158","Darkwood7_Leadout_02","FinalAlbion\Darkwood7_Leadout_02.lev","True","True","True","True"
"159","Darkwood7_Leadout_03","FinalAlbion\Darkwood7_Leadout_03.lev","True","True","True","True"
"160","DarkwoodChapel_Leadout_01","FinalAlbion\DarkwoodChapel_Leadout_01.lev","True","True","True","True"
"161","Darkwood6_Leadout_01","FinalAlbion\Darkwood6_Leadout_01.lev","True","True","True","True"
"162","Darkwood5_Leadout_01","FinalAlbion\Darkwood5_Leadout_01.lev","True","True","True","True"
"163","Darkwood4_Leadout_01","FinalAlbion\Darkwood4_Leadout_01.lev","True","True","True","True"
"164","Darkwood3_Leadout_01","FinalAlbion\Darkwood3_Leadout_01.lev","True","True","True","True"
"165","Darkwood_Leadout_01","FinalAlbion\Darkwood_Leadout_01.lev","True","True","True","True"
"166","Darkwood_Leadout_02","FinalAlbion\Darkwood_Leadout_02.lev","True","True","True","True"
"167","BanditCampPath_Filler_10","FinalAlbion\BanditCampPath_Filler_10.lev","True","True","True","True"
"168","BanditCampPath_Filler_11","FinalAlbion\BanditCampPath_Filler_11.lev","True","True","True","True"
"169","Witchwood_Filler_24","FinalAlbion\Witchwood_Filler_24.lev","True","True","True","True"
"170","Witchwood_Filler_18","FinalAlbion\Witchwood_Filler_18.lev","True","True","True","True"
"171","Witchwood_Leadout_03","FinalAlbion\Witchwood_Leadout_03.lev","True","True","True","True"
"172","Witchwood_Leadout_05","FinalAlbion\Witchwood_Leadout_05.lev","True","True","True","True"
"173","Witchwood_Filler_21","FinalAlbion\Witchwood_Filler_21.lev","True","True","True","True"
"174","Witchwood_Filler_22","FinalAlbion\Witchwood_Filler_22.lev","True","True","True","True"
"175","Darkwood_Filler_01","FinalAlbion\Darkwood_Filler_01.lev","True","True","True","True"
"176","Darkwood_Filler_02","FinalAlbion\Darkwood_Filler_02.lev","True","True","True","True"
"177","Darkwood_Filler_03","FinalAlbion\Darkwood_Filler_03.lev","True","True","True","True"
"178","Darkwood_Filler_04","FinalAlbion\Darkwood_Filler_04.lev","True","True","True","True"
"179","Darkwood_Filler_05","FinalAlbion\Darkwood_Filler_05.lev","True","True","True","True"
"180","Darkwood_Filler_06","FinalAlbion\Darkwood_Filler_06.lev","True","True","True","True"
"181","Darkwood_Filler_07","FinalAlbion\Darkwood_Filler_07.lev","True","True","True","True"
"182","Darkwood_Filler_08","FinalAlbion\Darkwood_Filler_08.lev","True","True","True","True"
"183","Darkwood_Filler_09","FinalAlbion\Darkwood_Filler_09.lev","True","True","True","True"
"184","Darkwood_Filler_10","FinalAlbion\Darkwood_Filler_10.lev","True","True","True","True"
"185","Darkwood_Filler_11","FinalAlbion\Darkwood_Filler_11.lev","True","True","True","True"
"186","Darkwood_Filler_12","FinalAlbion\Darkwood_Filler_12.lev","True","True","True","True"
"187","Darkwood_Filler_13","FinalAlbion\Darkwood_Filler_13.lev","True","True","True","True"
"188","Darkwood_Filler_14","FinalAlbion\Darkwood_Filler_14.lev","True","True","True","True"
"189","Darkwood_Filler_15","FinalAlbion\Darkwood_Filler_15.lev","True","True","True","True"
"190","Darkwood_Filler_16","FinalAlbion\Darkwood_Filler_16.lev","True","True","True","True"
"191","Darkwood_Filler_17","FinalAlbion\Darkwood_Filler_17.lev","True","True","True","True"
"192","Darkwood_Filler_18","FinalAlbion\Darkwood_Filler_18.lev","True","True","True","True"
"193","Darkwood_Filler_19","FinalAlbion\Darkwood_Filler_19.lev","True","True","True","True"
"194","Darkwood_Filler_20","FinalAlbion\Darkwood_Filler_20.lev","True","True","True","True"
"195","Darkwood_Filler_21","FinalAlbion\Darkwood_Filler_21.lev","True","True","True","True"
"196","Darkwood_Filler_22","FinalAlbion\Darkwood_Filler_22.lev","True","True","True","True"
"197","Darkwood_Filler_23","FinalAlbion\Darkwood_Filler_23.lev","True","True","True","True"
"198","Darkwood_Filler_24","FinalAlbion\Darkwood_Filler_24.lev","True","True","True","True"
"199","Darkwood_Filler_25","FinalAlbion\Darkwood_Filler_25.lev","True","True","True","True"
"200","Darkwood_Filler_26","FinalAlbion\Darkwood_Filler_26.lev","True","True","True","True"
"201","Darkwood_Filler_27","FinalAlbion\Darkwood_Filler_27.lev","True","True","True","True"
"202","Darkwood_Filler_28","FinalAlbion\Darkwood_Filler_28.lev","True","True","True","True"
"203","StartOakValeWest","FinalAlbion\StartOakValeWest.lev","True","True","True","True"
"204","StartOakValeEast","FinalAlbion\StartOakValeEast.lev","True","True","True","True"
"205","StartOakvaleMemorialGarden","FinalAlbion\StartOakvaleMemorialGarden.lev","True","True","True","True"
"206","Witchwood_Filler_23","FinalAlbion\Witchwood_Leadout_01.lev","True","True","True","True"
"207","Witchwood_Leadout_07","FinalAlbion\Witchwood_Filler_26.lev","True","True","True","True"
"208","Witchwood_Filler_25","FinalAlbion\Witchwood_Filler_25.lev","True","True","True","True"
"209","Darkwood_Filler_29","FinalAlbion\Darkwood_Filler_29.lev","True","True","True","True"
"210","Darkwood_Filler_30","FinalAlbion\Darkwood_Filler_30.lev","True","True","True","True"
"211","KnotholeGlade_Leadout_01","FinalAlbion\KnotholeGlade_Leadout_01.lev","True","True","True","True"
"212","KnotholeGlade_Leadout_02","FinalAlbion\KnotholeGlade_Leadout_02.lev","True","True","True","True"
"213","Witchwood_Filler_27","FinalAlbion\Witchwood_Filler_27.lev","True","True","True","True"
"214","KnotholeGlade_Filler_03","FinalAlbion\KnotholeGlade_Filler_03.lev","True","True","True","True"
"215","Witchwood_Filler_28","FinalAlbion\Witchwood_Filler_28.lev","True","True","True","True"
"216","Witchwood_Filler_29","FinalAlbion\Witchwood_Filler_29.lev","True","True","True","True"
"217","Witchwood_Leadout_08","FinalAlbion\Witchwood_Leadout_08.lev","True","True","True","True"
"218","Arena_Leadout_01","FinalAlbion\Arena_Leadout_01.lev","True","True","True","True"
"219","Arena_Filler_02","FinalAlbion\Arena_Filler_02.lev","True","True","True","True"
"220","Arena_Filler_01","FinalAlbion\Arena_Filler_01.lev","True","True","True","True"
"221","Darkwood_Filler_31","FinalAlbion\Darkwood_Filler_31.lev","True","True","True","True"
"222","BarrowFields_Filler_07","FinalAlbion\BarrowFields_Filler_07.lev","True","True","True","True"
"223","Greatwood_Filler_01","FinalAlbion\Greatwood_Filler_01.lev","True","True","True","True"
"224","Greatwood_Filler_02","FinalAlbion\Greatwood_Filler_02.lev","True","True","True","True"
"225","Greatwood_Filler_03","FinalAlbion\Greatwood_Filler_03.lev","True","True","True","True"
"226","Greatwood_Filler_04","FinalAlbion\Greatwood_Filler_04.lev","True","True","True","True"
"227","Greatwood_Filler_05","FinalAlbion\Greatwood_Filler_05.lev","True","True","True","True"
"228","Greatwood_Filler_06","FinalAlbion\Greatwood_Filler_06.lev","True","True","True","True"
"229","Greatwood_Filler_07","FinalAlbion\Greatwood_Filler_07.lev","True","True","True","True"
"230","Greatwood_Filler_08","FinalAlbion\Greatwood_Filler_08.lev","True","True","True","True"
"231","Greatwood_Filler_09","FinalAlbion\Greatwood_Filler_09.lev","True","True","True","True"
"232","OrchardFarm_Filler_01","FinalAlbion\OrchardFarm_Filler_01.lev","True","True","True","True"
"233","OrchardFarm_Filler_02","FinalAlbion\OrchardFarm_Filler_02.lev","True","True","True","True"
"234","Witchwood_Filler_30","FinalAlbion\Witchwood_Filler_30.lev","True","True","True","True"
"235","Witchwood_Filler_31","FinalAlbion\Witchwood_Filler_31.lev","True","True","True","True"
"236","Bowerstone_Filler_01","FinalAlbion\Bowerstone_Filler_01.lev","True","True","True","True"
"237","Bowerstone_Filler_02","FinalAlbion\Bowerstone_Filler_02.lev","True","True","True","True"
"238","Bowerstone_Filler_03","FinalAlbion\Bowerstone_Filler_03.lev","True","True","True","True"
"239","Bowerstone_Filler_04","FinalAlbion\Bowerstone_Filler_04.lev","True","True","True","True"
"240","Bowerstone_Filler_05","FinalAlbion\Bowerstone_Filler_05.lev","True","True","True","True"
"241","LookoutPoint_Filler_01","FinalAlbion\LookoutPoint_Filler_01.lev","True","True","True","True"
"242","LookoutPoint_Filler_04","FinalAlbion\LookoutPoint_Filler_04.lev","True","True","True","True"
"243","Hookcoast_Filler_01","FinalAlbion\Hookcoast_Filler_01.lev","True","True","True","True"
"244","Hookcoast_Filler_02","FinalAlbion\Hookcoast_Filler_02.lev","True","True","True","True"
"245","LookoutPoint_Filler_05","FinalAlbion\LookoutPoint_Filler_05.lev","True","True","True","True"
"246","LookoutPoint_Filler_02","FinalAlbion\LookoutPoint_Filler_02.lev","True","True","True","True"
"247","LookoutPoint_Filler_03","FinalAlbion\LookoutPoint_Filler_03.lev","True","True","True","True"
"248","BowerstoneSlums_Filler_01","FinalAlbion\BowerstoneSlums_Filler_01.lev","True","True","True","True"
"249","BowerstoneSlums_Filler_02","FinalAlbion\BowerstoneSlums_Filler_02.lev","True","True","True","True"
"250","BowerstoneSlums_Filler_03","FinalAlbion\BowerstoneSlums_Filler_03.lev","True","True","True","True"
"251","DragonCliff_02","FinalAlbion\DragonCliff_02.lev","True","True","True","True"
"252","LookoutPoint_Filler_06","FinalAlbion\LookoutPoint_Filler_06.lev","True","True","True","True"
"253","DesertedFarm_Leadout_01","FinalAlbion\DesertedFarm_Leadout_01.lev","True","True","True","True"
"254","GibbetWoods_Leadout_01","FinalAlbion\GibbetWoods_Leadout_01.lev","True","True","True","True"
"255","Bowerstone_Filler_06","FinalAlbion\Bowerstone_Filler_06.lev","True","True","True","True"
"256","BowerstoneJail_Filler_01","FinalAlbion\BowerstoneJail_Filler_01.lev","True","True","True","True"
"257","BowerstoneJail_Filler_02","FinalAlbion\BowerstoneJail_Filler_02.lev","True","True","True","True"
"258","DesertedFarm_Filler_01","FinalAlbion\DesertedFarm_Filler_01.lev","True","True","True","True"
"259","DesertedFarm_Filler_02","FinalAlbion\DesertedFarm_Filler_02.lev","True","True","True","True"
"260","ExecutionTree_Filler_01","FinalAlbion\ExecutionTree_Filler_01.lev","True","True","True","True"
"261","DemonDoor_BanditCampPath","FinalAlbion\DemonDoor_BanditCampPath.lev","True","True","True","True"
"262","DemonDoor_Barrowfields","FinalAlbion\DemonDoor_Barrowfields.lev","True","True","True","True"
"263","DemonDoor_DarkwoodSporeSwamp","FinalAlbion\DemonDoor_DarkwoodSporeSwamp.lev","True","True","True","True"
"264","DemonDoor_GreatwoodBanditToll","FinalAlbion\DemonDoor_GreatwoodBanditToll.lev","True","True","True","True"
"265","DemonDoor_GreatwoodCaves","FinalAlbion\DemonDoor_GreatwoodCaves.lev","True","True","True","True"
"266","DemonDoor_GreatwoodGrannysHouse","FinalAlbion\DemonDoor_GreatwoodGrannysHouse.lev","True","True","True","True"
"267","DemonDoor_HauntedHouse","FinalAlbion\DemonDoor_HauntedHouse.lev","True","True","True","True"
"268","DemonDoor_Guild","FinalAlbion\DemonDoor_Guild.lev","True","True","True","True"
"269","DemonDoor_KnotholeGlade","FinalAlbion\DemonDoor_KnotholeGlade.lev","True","True","True","True"
"270","HeroGuild_Filler_01","FinalAlbion\HeroGuild_Filler_01.lev","True","True","True","True"
"271","HeroGuild_Filler_02","FinalAlbion\HeroGuild_Filler_02.lev","True","True","True","True"
"272","HeroGuild_Filler_03","FinalAlbion\HeroGuild_Filler_03.lev","True","True","True","True"
"273","DragonCliff_Filler_01","FinalAlbion\HookCoast_Filler_03.lev","True","True","True","True"
"274","DesertedFarm_Filler_03","FinalAlbion\DesertedFarm_Filler_03.lev","True","True","True","True"
"275","HeroGuild_Filler_04","FinalAlbion\HeroGuild_Filler_04.lev","True","True","True","True"
"276","HeroGuild_Filler_05","FinalAlbion\HeroGuild_Filler_05.lev","True","True","True","True"
"277","PrisonSecretPassageExterior_Filler_01","FinalAlbion\PrisonSecretPassageExterior_Filler_01.lev","True","True","True","True"
"278","HeroGuild_Filler_06","FinalAlbion\HeroGuild_Filler_06.lev","True","True","True","True"
"279","PrisonPath_Leadout_01","FinalAlbion\PrisonPath_Leadout_01.lev","True","True","True","True"
"280","HauntedHouse_Filler_02","FinalAlbion\HauntedHouse_Filler_02.lev","True","True","True","True"
"281","GraveyardFiller03","FinalAlbion\GraveyardFiller03.lev","True","True","True","True"
"282","ExecutionTree_Filler_02","FinalAlbion\ExecutionTree_Filler_02.lev","True","True","True","True"
"283","Darkwood_Filler_32","FinalAlbion\Darkwood_Filler_32.lev","True","True","True","True"
"284","BanditCampPath_Filler_12","FinalAlbion\BanditCampPath_Filler_12.lev","True","True","True","True"
"285","StartOakVale_Filler_02","FinalAlbion\StartOakVale_Filler_02.lev","True","True","True","True"
"286","StartOakVale_Sea_01","FinalAlbion\StartOakVale_Sea_01.lev","True","True","True","True"
"287","StartOakVale_Sea_02","FinalAlbion\StartOakVale_Sea_02.lev","True","True","True","True"
"288","StartOakVale_Sea_03","FinalAlbion\StartOakVale_Sea_03.lev","True","True","True","True"
"289","StartOakVale_Filler_03","FinalAlbion\StartOakVale_Filler_03.lev","True","True","True","True"
"290","StartOakVale_Sea_04","FinalAlbion\StartOakVale_Sea_04.lev","True","True","True","True"
"291","StartOakVale_Filler_04","FinalAlbion\StartOakVale_Filler_04.lev","True","True","True","True"
"292","StartOakVale_Filler_01","FinalAlbion\StartOakVale_Filler_01.lev","True","True","True","True"
"293","StartOakVale_Filler_05","FinalAlbion\StartOakVale_Filler_05.lev","True","True","True","True"
"294","DemonDoor_BanditCampPath_Filler_01","FinalAlbion\DemonDoor_BanditCampPath_Filler_01.lev","True","True","True","True"
"295","DemonDoor_BanditCampPath_Filler_02","FinalAlbion\DemonDoor_BanditCampPath_Filler_02.lev","True","True","True","True"
"296","DemonDoor_BanditCampPath_Filler_03","FinalAlbion\DemonDoor_BanditCampPath_Filler_03.lev","True","True","True","True"
