"file","size","new_things","script_names","definition_types"
"Darkwood_Filler_06.tng","12","0","0","0"
"Darkwood_Filler_07.tng","12","0","0","0"
"Darkwood_Filler_08.tng","12","0","0","0"
"Darkwood_Filler_09.tng","12","0","0","0"
"Darkwood_Filler_10.tng","12","0","0","0"
"Darkwood_Filler_11.tng","12","0","0","0"
"Darkwood_Filler_12.tng","12","0","0","0"
"Darkwood_Filler_13.tng","12","0","0","0"
"Darkwood_Filler_14.tng","12","0","0","0"
"Darkwood_Filler_15.tng","12","0","0","0"
"Darkwood_Filler_16.tng","12","0","0","0"
"Darkwood_Filler_17.tng","12","0","0","0"
"Darkwood_Filler_18.tng","12","0","0","0"
"Darkwood_Filler_19.tng","12","0","0","0"
"Darkwood_Filler_20.tng","12","0","0","0"
"Darkwood_Filler_21.tng","12","0","0","0"
"Darkwood_Filler_22.tng","12","0","0","0"
"Darkwood_Filler_23.tng","12","0","0","0"
"Darkwood_Filler_24.tng","12","0","0","0"
"Darkwood_Filler_25.tng","12","0","0","0"
"Darkwood_Filler_26.tng","12","0","0","0"
"Darkwood_Filler_27.tng","12","0","0","0"
"Darkwood_Filler_28.tng","12","0","0","0"
"Darkwood_Filler_29.tng","12","0","0","0"
"Darkwood_Filler_30.tng","12","0","0","0"
"Darkwood_Filler_31.tng","12","0","0","0"
"Darkwood_Filler_32.tng","12","0","0","0"
"Darkwood_Leadout_01.tng","995","2","2","2"
"Darkwood_Leadout_02.tng","447","1","1","1"
"Darkwood10_Leadout_01.tng","995","2","2","2"
"Darkwood3_Leadout_01.tng","447","1","1","1"
"Darkwood4_Leadout_01.tng","997","2","2","2"
"Darkwood5_Leadout_01.tng","997","2","2","2"
"Darkwood6_Leadout_01.tng","997","2","2","2"
"Darkwood7_Leadout_01.tng","12","0","0","0"
"Darkwood7_Leadout_02.tng","12","0","0","0"
"Darkwood7_Leadout_03.tng","12","0","0","0"
"Darkwood8_Leadout_01.tng","998","2","2","2"
"Darkwood9_Leadout_01.tng","996","2","2","2"
"DarkwoodChapel.tng","43845","67","67","67"
"DarkwoodChapel_Leadout_01.tng","12","0","0","0"
"DemonDoor_BanditCampPath.tng","7708","14","14","14"
"DemonDoor_BanditCampPath_Filler_01.tng","12","0","0","0"
"DemonDoor_BanditCampPath_Filler_02.tng","12","0","0","0"
"DemonDoor_BanditCampPath_Filler_03.tng","12","0","0","0"
"DemonDoor_BanditCampPath_Filler_04.tng","12","0","0","0"
"DemonDoor_Barrowfields.tng","33087","62","62","62"
"DemonDoor_Barrowfields_Filler_01.tng","12","0","0","0"
"DemonDoor_Barrowfields_Filler_02.tng","12","0","0","0"
"DemonDoor_Barrowfields_Filler_03.tng","12","0","0","0"
"DemonDoor_Barrowfields_Filler_04.tng","12","0","0","0"
"DemonDoor_Bordello.tng","21652","42","42","42"
"DemonDoor_Bordello_Filler_01.tng","12","0","0","0"
"DemonDoor_Bordello_Filler_02.tng","12","0","0","0"
"DemonDoor_Bordello_Filler_03.tng","7395","15","15","15"
"DemonDoor_Bordello_Filler_04.tng","12","0","0","0"
"DemonDoor_DarkwoodSporeSwamp.tng","17491","33","33","33"
"DemonDoor_DarkwoodSporeSwamp_Filler_01.tng","12","0","0","0"
"DemonDoor_DarkwoodSporeSwamp_Filler_02.tng","12","0","0","0"
"DemonDoor_DarkwoodSporeSwamp_Filler_03.tng","12","0","0","0"
"DemonDoor_DarkwoodSporeSwamp_Filler_04.tng","12","0","0","0"
"DemonDoor_GreatwoodBanditTol_Filler_01.tng","2521","5","5","5"
"DemonDoor_GreatwoodBanditTol_Filler_02.tng","12","0","0","0"
"DemonDoor_GreatwoodBanditTol_Filler_03.tng","12","0","0","0"
"DemonDoor_GreatwoodBanditTol_Filler_04.tng","5549","11","11","11"
"DemonDoor_GreatwoodBanditToll.tng","30332","56","56","56"
"DemonDoor_GreatwoodCaves.tng","29330","51","51","51"
"DemonDoor_GreatwoodCaves_Filler_01.tng","12","0","0","0"
"DemonDoor_GreatwoodCaves_Filler_02.tng","12","0","0","0"
"DemonDoor_GreatwoodCaves_Filler_03.tng","12","0","0","0"
"DemonDoor_GreatwoodCaves_Filler_04.tng","12","0","0","0"
"DemonDoor_GreatwoodGrannysHouse.tng","15344","28","28","28"
"DemonDoor_Guild.tng","13343","23","23","23"
"DemonDoor_Guild_Filler_01.tng","12","0","0","0"
"DemonDoor_Guild_Filler_02.tng","12","0","0","0"
"DemonDoor_Guild_Filler_03.tng","12","0","0","0"
"DemonDoor_Guild_Filler_04.tng","12","0","0","0"
"DemonDoor_HauntedHouse.tng","23362","42","42","42"
"DemonDoor_HauntedHouse_Filler_01.tng","12","0","0","0"
"DemonDoor_HauntedHouse_Filler_02.tng","12","0","0","0"
"DemonDoor_HauntedHouse_Filler_03.tng","12","0","0","0"
"DemonDoor_HauntedHouse_Filler_04.tng","12","0","0","0"
"DemonDoor_KnotholeGlade.tng","10646","20","20","20"
"DemonDoor_KnotholeGlade_Filler_01.tng","12","0","0","0"
"DemonDoor_KnotholeGlade_Filler_02.tng","12","0","0","0"
"DemonDoor_KnotholeGlade_Filler_03.tng","12","0","0","0"
"DemonDoor_KnotholeGlade_Filler_04.tng","545","1","1","1"
"DemonDoor_LookoutPoint.tng","100468","107","107","107"
"DemonDoor_Necropolis.tng","26231","51","51","51"
"DemonDoor_Necropolis_Filler_01.tng","576","1","1","1"
"DemonDoor_Necropolis_Filler_02.tng","1821","3","3","3"
"DemonDoor_Necropolis_Filler_03.tng","12","0","0","0"
"DemonDoor_Necropolis_Filler_04.tng","4500","9","9","9"
"DesertedFarm.tng","182978","280","280","280"
"DesertedFarm_Filler_01.tng","12","0","0","0"
"DesertedFarm_Filler_02.tng","12","0","0","0"
"DesertedFarm_Filler_03.tng","12","0","0","0"
"DesertedFarm_Filler_04.tng","12","0","0","0"
"DesertedFarm_Leadout_01.tng","12","0","0","0"
"DragonCliff_02.tng","108535","105","105","105"
"DragonCliff_Filler_01.tng","12","0","0","0"
"DragonCliff_Filler_02.tng","12","0","0","0"
"DragonCliff_Filler_03.tng","12","0","0","0"
"DragonCliff_Filler_04.tng","12","0","0","0"
"DragonCliff_Vista_01.tng","12","0","0","0"
"DragonCliff_Vista_02.tng","568","1","1","1"
"ExecutionTree.tng","203583","232","232","232"
"ExecutionTree_Filler_01.tng","12","0","0","0"
"ExecutionTree_Filler_02.tng","12","0","0","0"
"Filler_GrannysHouse_01.tng","12","0","0","0"
"Filler_GrannysHouse_02.tng","12","0","0","0"
"Filler01.tng","1075","2","2","2"
"Fisherman.tng","113042","146","146","146"
"FrescoCaves.tng","5629","8","8","8"
"FrescoDome.tng","339283","413","413","413"
"GibbetWoods.tng","120178","181","181","181"
"GibbetWoods_Leadout_01.tng","12","0","0","0"
"GibbetWoodsFiller01.tng","12","0","0","0"
"GibbetWoodsFiller02.tng","12","0","0","0"
"GrannysHouse.tng","85055","124","124","124"
"Graveyard_1.tng","438712","592","592","592"
"GraveyardCircle.tng","128842","175","175","175"
"GraveyardEntrance.tng","26133","47","47","47"
"GraveyardFiller01.tng","4081","8","8","8"
"GraveyardFiller02.tng","12","0","0","0"
"GraveyardFiller03.tng","12","0","0","0"
"GraveyardPath.tng","112594","161","161","161"
"GraveyardPathFiller01.tng","12","0","0","0"
"GraveyardPathFiller02.tng","12","0","0","0"
"GraveyardPathFiller03.tng","12","0","0","0"
"GraveyardPathFiller04.tng","12","0","0","0"
"GraveyardSecretPassage_1.tng","93244","129","129","129"
"Greatwood_1.tng","195539","313","313","313"
"Greatwood_2.tng","61532","112","112","112"
"Greatwood_3.tng","177373","290","290","290"
"Greatwood_4.tng","142500","267","267","267"
"Greatwood_Filler_01.tng","12","0","0","0"
"Greatwood_Filler_02.tng","12","0","0","0"
"Greatwood_Filler_03.tng","12","0","0","0"
"Greatwood_Filler_04.tng","12","0","0","0"
"Greatwood_Filler_05.tng","12","0","0","0"
"Greatwood_Filler_06.tng","12","0","0","0"
"Greatwood_Filler_07.tng","12","0","0","0"
"Greatwood_Filler_08.tng","12","0","0","0"
"Greatwood_Filler_09.tng","12","0","0","0"
"GreatwoodBanditToll.tng","25723","46","46","46"
"GreatwoodHobbeCave.tng","39044","63","63","63"
"GreatwoodLakeFiller_01.tng","12","0","0","0"
"GreatwoodTeleport.tng","65394","113","113","113"
"GuildExterior.tng","79191","88","88","88"
"GuildWoods.tng","180260","235","235","235"
"HauntedHouse.tng","208032","337","337","337"
"HauntedHouse_Filler_01.tng","12","0","0","0"
"HauntedHouse_Filler_02.tng","12","0","0","0"
"HauntedHouseCellar.tng","41348","46","46","46"
"HeroDualAreaCave.tng","47685","88","88","88"
"HeroGuild_Filler_01.tng","12","0","0","0"
"HeroGuild_Filler_02.tng","12","0","0","0"
"HeroGuild_Filler_03.tng","12","0","0","0"
"HeroGuild_Filler_04.tng","12","0","0","0"
"HeroGuild_Filler_05.tng","12","0","0","0"
"HeroGuild_Filler_06.tng","12","0","0","0"
"HeroGuildComplexInside.tng","787564","1110","1142","1110"
"HobbeCaveEntranceTunnel.tng","48211","78","78","78"
"HobbeCaveLarder.tng","28797","40","40","40"
"HobbeCaveMainChamber.tng","26340","32","32","32"
"HobbeCaveNymphChamber.tng","16277","25","25","25"
"HobbeCaveNymphFocal.tng","75506","78","78","78"
"HobbeCaveSideRoom.tng","31309","36","36","36"
"HookCoast.tng","628461","821","875","821"
"Hookcoast_Filler_01.tng","12","0","0","0"
"Hookcoast_Filler_02.tng","12","0","0","0"
"HookCoast_Filler_03.tng","12","0","0","0"
"HookCoast_Sea_01.tng","12","0","0","0"
"HookCoast_Sea_02.tng","12","0","0","0"
"KnotholeGlade.tng","110587","144","144","144"
"KnotholeGlade_Filler_01.tng","12","0","0","0"
"KnotholeGlade_Filler_02.tng","12","0","0","0"
"KnotholeGlade_Filler_03.tng","12","0","0","0"
"KnotholeGlade_Leadout_01.tng","994","2","2","2"
"KnotholeGlade_Leadout_02.tng","994","2","2","2"
"KnotholeGladeMainTown.tng","539777","728","775","728"
"KrakenChamber.tng","53137","69","69","69"
"LookoutPoint.tng","197526","288","288","288"
"LookoutPoint_Filler_01.tng","12","0","0","0"
"LookoutPoint_Filler_02.tng","12","0","0","0"
"LookoutPoint_Filler_03.tng","12","0","0","0"
"LookoutPoint_Filler_04.tng","12","0","0","0"
"LookoutPoint_Filler_05.tng","12","0","0","0"
"LookoutPoint_Filler_06.tng","12","0","0","0"
"LookoutPoint_Filler_07.tng","12","0","0","0"
"LostBay.tng","118418","191","191","191"
"LostBay_Filler_01.tng","12","0","0","0"
"LostBay_Filler_02.tng","12","0","0","0"
"LostBay_Filler_03.tng","12","0","0","0"
"LostBay_Filler_04.tng","12","0","0","0"
"LostBay_Filler_05.tng","12","0","0","0"
"LostBay_Filler_06.tng","12","0","0","0"
"LostBay_Filler_07.tng","12","0","0","0"
"LostBay_Leadout_01.tng","2012","3","3","3"
"MayorsHouseBedroom.tng","10959","15","15","15"
"MayorsHouseHallway.tng","6359","10","10","10"
"NorthernWastes1.tng","138621","249","249","249"
"NorthernWastes1_Filler_01.tng","12","0","0","0"
"NorthernWastes1_Filler_02.tng","12","0","0","0"
"NorthernWastes1_Filler_03.tng","12","0","0","0"
"NorthernWastes1_Filler_04.tng","12","0","0","0"
"NorthernWastes1_Filler_05.tng","12","0","0","0"
"NorthernWastes1_Filler_06.tng","12","0","0","0"
"NorthernWastes1_Leadout_01.tng","710","1","1","1"
"NorthernWastes2.tng","321433","557","557","557"
"NorthernWastes3.tng","241013","340","340","340"
"NorthernWastes3_Filler_01.tng","12","0","0","0"
"NorthernWastes3_Filler_02.tng","12","0","0","0"
"NorthernWastes3_Filler_03.tng","12","0","0","0"
"NorthernWastes3_Filler_04.tng","12","0","0","0"
"NorthernWastes3_Filler_05.tng","12","0","0","0"
"NorthernWastes3_Filler_06.tng","12","0","0","0"
"NorthernWastes3_Filler_07.tng","12","0","0","0"
"NorthernWastes3_Filler_08.tng","12","0","0","0"
"NorthernWastes3_Filler_09.tng","12","0","0","0"
"NorthernWastes3_Leadout_01.tng","12","0","0","0"
"NorthernWastes3_Leadout_02.tng","2545","4","4","4"
"NorthernWastes3_Leadout_03.tng","707","1","1","1"
"OakVale_Filler_01.tng","1568","3","3","3"
"OakVale_Filler_02.tng","12","0","0","0"
"OakVale_Filler_03.tng","12","0","0","0"
"OakVale_Filler_04.tng","12","0","0","0"
"OakVale_Sea_01.tng","12","0","0","0"
"OakVale_Sea_02.tng","12","0","0","0"
"OakVale_Sea_03.tng","12","0","0","0"
"OakVale_Sea_04.tng","12","0","0","0"
"OakVale_Sea_05.tng","12","0","0","0"
"OakVale_Sea_06.tng","12","0","0","0"
"OakValeEast_v2.tng","319745","495","496","495"
"OakvaleFiller_07.tng","12","0","0","0"
"OakvaleMemorialGarden_v2.tng","159025","233","233","233"
"OakValeWest_v2.tng","554296","836","859","836"
"OrchardFarm.tng","349266","473","473","473"
"OrchardFarm_Filler_01.tng","12","0","0","0"
"OrchardFarm_Filler_02.tng","12","0","0","0"
"OrchardFarmEast.tng","116318","200","200","200"
"OrchardFarmFiller_01.tng","4204","8","8","8"
"PicnicArea.tng","119232","143","143","143"
"PicnicArea_Filler_01.tng","12","0","0","0"
"PicnicArea_Filler_02.tng","12","0","0","0"
"PicnicArea_Filler_03.tng","12","0","0","0"
"PrisonBarracks.tng","16711","27","27","27"
"PrisonCells_1.tng","59582","77","77","77"
"PrisonCells_2.tng","10870","20","20","20"
"PrisonCells_3.tng","22835","42","42","42"
"PrisonCourtyard.tng","136055","196","204","196"
"PrisonIsland.tng","816","1","1","1"
"PrisonOffice.tng","36795","50","50","50"
"PrisonPath.tng","85284","142","142","142"
"PrisonPath_Leadout_01.tng","12","0","0","0"
"PrisonPathFiller01.tng","12","0","0","0"
"PrisonPathFiller02.tng","12","0","0","0"
"PrisonSecretPassage.tng","194558","220","220","220"
"PrisonSecretPassageExterior.tng","62260","109","109","109"
"PrisonSecretPassageExterior_Filler_01.tng","12","0","0","0"
"PrisonTortureChamber.tng","67387","72","72","72"
"SnowspireVillage.tng","480592","735","753","735"
"SnowspireVillage_Filler_01.tng","12","0","0","0"
"SnowspireVillage_Filler_02.tng","12","0","0","0"
"SnowspireVillage_Filler_03.tng","12","0","0","0"
"SnowspireVillage_Vista_01.tng","569","1","1","1"
"StartOakVale_Filler_01.tng","12","0","0","0"
"StartOakVale_Filler_02.tng","12","0","0","0"
"StartOakVale_Filler_03.tng","12","0","0","0"
"StartOakVale_Filler_04.tng","12","0","0","0"
"StartOakVale_Filler_05.tng","12","0","0","0"
"StartOakVale_Sea_01.tng","12","0","0","0"
"StartOakVale_Sea_02.tng","12","0","0","0"
"StartOakVale_Sea_03.tng","12","0","0","0"
"StartOakVale_Sea_04.tng","12","0","0","0"
"StartOakValeEast.tng","64738","106","107","106"
"StartOakvaleMemorialGarden.tng","12","0","0","0"
"StartOakValeWest.tng","576997","874","892","874"
"TeleporterGreatwood.tng","14063","5","5","5"
"Witchwood.tng","39147","64","64","64"
"Witchwood_2.tng","116557","179","179","179"
"Witchwood_3.tng","72900","101","101","101"
"Witchwood_4.tng","121932","177","178","177"
"Witchwood_5.tng","155381","206","209","206"
"Witchwood_6.tng","43222","71","71","71"
"Witchwood_7.tng","130044","193","193","193"
"Witchwood_9.tng","12334","22","22","22"
"Witchwood_Filler_01.tng","12","0","0","0"
"Witchwood_Filler_03.tng","12","0","0","0"
"Witchwood_Filler_04.tng","12","0","0","0"
"Witchwood_Filler_05.tng","12","0","0","0"
"Witchwood_Filler_06.tng","12","0","0","0"
"Witchwood_Filler_07.tng","12","0","0","0"
"Witchwood_Filler_09.tng","12","0","0","0"
"Witchwood_Filler_10.tng","12","0","0","0"
"Witchwood_Filler_11.tng","12","0","0","0"
"Witchwood_Filler_12.tng","12","0","0","0"
"Witchwood_Filler_13.tng","12","0","0","0"
"Witchwood_Filler_14.tng","12","0","0","0"
"Witchwood_Filler_15.tng","12","0","0","0"
"Witchwood_Filler_16.tng","12","0","0","0"
"Witchwood_Filler_18.tng","12","0","0","0"
"Witchwood_Filler_21.tng","12","0","0","0"
"Witchwood_Filler_22.tng","12","0","0","0"
"Witchwood_Filler_24.tng","12","0","0","0"
"Witchwood_Filler_25.tng","12","0","0","0"
"Witchwood_Filler_26.tng","12","0","0","0"
"Witchwood_Filler_27.tng","12","0","0","0"
"Witchwood_Filler_28.tng","12","0","0","0"
"Witchwood_Filler_29.tng","12","0","0","0"
"Witchwood_Filler_30.tng","12","0","0","0"
"Witchwood_Filler_31.tng","12","0","0","0"
"Witchwood_Leadout_01.tng","12","0","0","0"
"Witchwood_Leadout_02.tng","985","2","2","2"
"Witchwood_Leadout_03.tng","987","2","2","2"
"Witchwood_Leadout_04.tng","983","2","2","2"
"Witchwood_Leadout_05.tng","986","2","2","2"
"Witchwood_Leadout_06.tng","997","2","2","2"
"Witchwood_Leadout_08.tng","12","0","0","0"
"WitchwoodCavern.tng","74521","103","103","103"
