004048e0	Identity_ReturnArg	autoname-t6 [medium]: returns param_1 unchanged; trivial identity/passthrough function
004c5c40	StdList_Construct_004c5c40	autoname-t6 [medium]: malloc(0x18) self-linked next/prev sentinel node — std::list ctor
004c67d0	StdTree_Construct_004c67d0	autoname-t6 [medium]: malloc(0x1c) header node: size=0, parent=0, left=right=head — std::_Tree (map/set) ctor
004c6af0	StdTree_Construct_004c6af0	autoname-t6 [medium]: malloc(0x1c) header node with size=0, left=right=head — std::_Tree ctor
004cc200	StdList_Construct_004cc200	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node — std::list ctor
004cc260	StdList_Construct_004cc260	autoname-t6 [medium]: malloc(0x14) self-linked sentinel node — std::list ctor
004cc800	StdList_Construct_004cc800	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node — std::list ctor
004ccc10	StdList_Construct_004ccc10	autoname-t6 [medium]: malloc(0x14) self-linked sentinel node — std::list ctor
005155f0	StdList_ConstructMember	autoname-t6 [medium]: malloc(0x18) self-linked sentinel node stored at param_1+8 — embedded std::list member ctor
005159a0	StdTree_Construct_005159a0	autoname-t6 [medium]: malloc(0x14) header node: size=0, left=right=head — std::_Tree ctor
00516e80	StdList_Construct_00516e80	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node — std::list ctor
00517810	StdTree_Construct_00517810	autoname-t6 [medium]: malloc(0x14) header node: size=0, left=right=head — std::_Tree ctor
0051a040	StdTree_Construct_0051a040	autoname-t6 [medium]: malloc(0x14) header node (size=0, left=right=head) plus extra fields [3..6]=0 — std::_Tree ctor with owner fields
005283a0	StdList_Construct_005283a0	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node — std::list ctor
00528c20	StdList_Construct_00528c20	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node — std::list ctor
00528c60	StdTree_Construct_00528c60	autoname-t6 [medium]: malloc(0x28) header node: size=0, left=right=head — std::_Tree ctor
00528cf0	StdTree_Construct_00528cf0	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
00528d80	StdTree_Construct_00528d80	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
00528dc0	StdTree_Construct_00528dc0	autoname-t6 [medium]: malloc(0x24) header node: size=0, left=right=head — std::_Tree ctor
00528e50	StdTree_Construct_00528e50	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
00567ea0	StdVector_Construct	autoname-t6 [medium]: zeroes three consecutive pointer fields (begin/end/cap) — std::vector default ctor
0056a580	StdTree_Construct_0056a580	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
0056a5c0	StdTree_Destruct	autoname-t6 [medium]: if size!=0 calls TreeNode_DestructWithCCharString to free nodes then free(head) — std::_Tree (map<CCharString,..>) dtor
0056d2c0	StdTree_Construct_0056d2c0	autoname-t6 [medium]: malloc(0x34) header node: size=0, left=right=head — std::_Tree ctor
0056d350	StdTree_Construct_0056d350	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
0056d390	StdTree_Construct_0056d390	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
0056ddc0	StdTree_Construct_0056ddc0	autoname-t6 [medium]: malloc(0x34) header node: size=0, left=right=head — std::_Tree ctor
0059adcd	RBTree_Iterator_SetToMaxNode_0059adcd	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b198d	RBTree_Iterator_SetToMaxNode_005b198d	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b199e	RBTree_Iterator_SetToMaxNode_005b199e	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b19af	RBTree_Iterator_SetToMaxNode_005b19af	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b19c0	RBTree_Iterator_SetToMaxNode_005b19c0	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba88b	RBTree_Iterator_SetToMaxNode_005ba88b	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba89c	RBTree_Iterator_SetToMaxNode_005ba89c	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba8ad	RBTree_Iterator_SetToMaxNode_005ba8ad	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba8be	RBTree_Iterator_SetToMaxNode_005ba8be	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005cbfe9	RBTree_Iterator_SetToMaxNode_005cbfe9	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005cc530	Math_RoundToDecimalPlaces	autoname-t6 [medium]: builds 10^param_1 by repeated multiply of a constant, then ROUND(x*10^n)/10^n — decimal-place rounding
005d839d	RBTree_Iterator_SetToMaxNode_005d839d	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005e0b00	StdTree_Construct_005e0b00	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005e3080	StdTree_Construct_005e3080	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005e8ff0	StdTree_Construct_005e8ff0	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005e9320	StdTree_Construct_005e9320	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005f82d9	RBTree_Iterator_SetToMaxNode_005f82d9	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005f82ea	RBTree_Iterator_SetToMaxNode_005f82ea	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005f8944	StdList_Construct_005f8944	autoname-t6 [medium]: malloc(0xc) self-linked next/prev sentinel node — std::list ctor
005f8f50	LinkedList_PushBack	autoname-t6 [medium]: thiscall calling LinkedList_InsertNodeBefore(&param_2,*param_1,param_2) — insert before head = append
005f8f6f	Lua_PushCClosure_005f8f6f	autoname-t6 [medium]: Thin wrapper forwarding self/args to luaV_Cclosure (Lua C-closure push)
006152c0	StdList_InitEmpty_006152c0	autoname-t6 [medium]: malloc(0x10) then node->next=node->prev=node, store at *param_1: std::list empty-sentinel ctor
00615340	StdList_InitEmpty_00615340	autoname-t6 [medium]: malloc(0xc) circular self-linked sentinel node stored at *param_1: std::list ctor
006153a0	StdList_InitEmpty_006153a0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00615400	StdList_InitEmpty_00615400	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00615460	StdList_InitEmpty_00615460	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006154c0	StdList_InitEmpty_006154c0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616790	StdList_InitEmpty_00616790	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
006167f0	StdList_InitEmpty_006167f0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616820	StdList_InitEmpty_00616820	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616850	StdList_InitEmpty_00616850	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616880	StdList_InitEmpty_00616880	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006168b0	StdList_InitEmpty_006168b0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006168e0	StdList_InitEmpty_006168e0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616930	StdList_CtorWithCount_00616930	autoname-t6 [medium]: int* {head,count}; malloc(0x18) sentinel zeroed and self-linked, count=0: std::list ctor
006169c0	StdList_CtorWithCount_006169c0	autoname-t6 [medium]: {head,count}; malloc(0x6c) sentinel zeroed+self-linked, count=0: std::list ctor
00616a40	StdList_CtorWithCount_00616a40	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00617140	StdList_CtorWithCount_00617140	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00617270	StdList_CtorWithCount_00617270	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00619e30	StdList_CtorWithCount_00619e30	autoname-t6 [medium]: {head,count}; malloc(0x6c) sentinel zeroed+self-linked, count=0: std::list ctor
00624160	StdList_CtorWithCount_00624160	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00624520	StdList_CtorWithCount_00624520	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00630cc0	StdList_CtorWithCount_00630cc0	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00630d50	StdList_CtorWithCount_00630d50	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00630f50	StdList_CtorWithCount_00630f50	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006313e0	StdList_CtorWithCount_006313e0	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0063f340	StdList_InitEmpty_0063f340	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0063f450	StdList_InitEmpty_0063f450	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006579e0	Vector_PushBackInts_1_2_neg1_006579e0	autoname-t6 [medium]: Three push_back sequences via InsertMultipleAndGrow inserting 1,2,-1 into std::vector<int>
00657ac0	Vector_PushBackInts_2_3_1_00657ac0	autoname-t6 [medium]: Three push_back sequences via InsertMultipleAndGrow inserting 2,3,1 into std::vector<int>
00669510	StdList_InitEmpty_00669510	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
0066a1a0	StdList_InitEmpty_0066a1a0	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
00674e50	Object_FreeInnerAndDelete_00674e50	autoname-t6 [high]: Frees *param_1 buffer then operator_delete(param_1): destructor/deallocator
00674e80	Object_FreeInnerAndDelete_00674e80	autoname-t6 [high]: Frees *param_1 buffer then operator_delete(param_1): destructor/deallocator
0067aeb0	StdList_InitEmpty_0067aeb0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0067b570	StdList_InitEmpty_0067b570	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0067b5f0	StdList_CtorWithCount_0067b5f0	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067b680	StdList_CtorWithCount_0067b680	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067b710	StdList_CtorWithCount_0067b710	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067bc70	StdList_InitEmpty_0067bc70	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0067bd30	StdList_CtorWithCount_0067bd30	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067bdc0	StdList_CtorWithCount_0067bdc0	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067be50	StdList_CtorWithCount_0067be50	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00685ba0	StdList_InitEmpty_00685ba0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006864c0	StdList_InitEmpty_006864c0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node stored at *param_1 (void ret): std::list empty ctor
00687480	StdList_InitEmpty_00687480	autoname-t6 [medium]: malloc(0x60) self-linked sentinel node: std::list empty ctor
00687910	StdList_InitEmpty_00687910	autoname-t6 [medium]: malloc(0x60) self-linked sentinel node: std::list empty ctor
00696590	StdList_CtorWithCount_00696590	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
006965d0	StdList_CtorWithCount_006965d0	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00696de0	StdList_CtorWithCount_00696de0	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00696e70	StdList_CtorWithCount_00696e70	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
006db170	StdList_InitEmpty_006db170	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
006db230	StdList_CtorWithCount_006db230	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006db5a0	StdList_CtorWithCount_006db5a0	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006db730	StdList_CtorWithCount_006db730	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006db770	StdList_CtorWithCount_006db770	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006dbc00	StdList_CtorHeadAtField1_006dbc00	autoname-t6 [medium]: head stored at param_1[1], param_1[2]=0, malloc(0x18) sentinel self-linked: std::list ctor variant
006dbc50	StdList_CtorHeadAtField1_006dbc50	autoname-t6 [medium]: head stored at param_1[1], param_1[2]=0, malloc(0x18) sentinel self-linked: std::list ctor variant
006dbfe0	StdList_CtorWithCount_006dbfe0	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006dc1b0	StdList_CtorWithCount_006dc1b0	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006e4b30	StdList_InitEmpty_006e4b30	autoname-t6 [medium]: malloc(0x20) self-linked sentinel node: std::list empty ctor
006e4e10	StdList_InitEmpty_006e4e10	autoname-t6 [medium]: malloc(0x20) self-linked sentinel node: std::list empty ctor
006e6ae0	StdList_CtorWithCount_006e6ae0	autoname-t6 [medium]: {head,count}; malloc(0x40) sentinel zeroed+self-linked, count=0: std::list ctor
006e7030	StdList_CtorWithCount_006e7030	autoname-t6 [medium]: {head,count}; malloc(0x40) sentinel zeroed+self-linked, count=0: std::list ctor
006f09b0	StdList_InitEmpty_006f09b0	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006f18f0	ListHead_InitCircular_0xc_006f18f0	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
006f1a50	TreeHeader_InitSentinel_0x20_006f1a50	autoname-t6 [medium]: malloc(0x20), size=0 (param_1[1]), node [0]=[4]=0, [8]=[c]=self: RB-tree/list header sentinel init
006f1ae0	TreeHeader_InitSentinel_0x88_006f1ae0	autoname-t6 [medium]: malloc(0x88) header-sentinel init (size=0, left/right self-linked)
006f1b20	TreeHeader_InitSentinel_0x18_006f1b20	autoname-t6 [medium]: malloc(0x18) header-sentinel init (size=0, left/right self-linked)
006f1b60	TreeHeader_InitSentinel_0x18_006f1b60	autoname-t6 [medium]: malloc(0x18) header-sentinel init (size=0, left/right self-linked)
006f23a0	TreeHeader_InitSentinel_0x20_006f23a0	autoname-t6 [medium]: malloc(0x20) header-sentinel init (size=0, left/right self-linked)
006f8aa0	Func_IdentityReturnArg	autoname-t6 [medium]: 3-byte function returns its single argument unchanged (identity/getter thunk)
00718e80	ListHead_InitCircular_0x10_00718e80	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00718ea0	ListHead_InitCircular_0x10_00718ea0	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00719180	ListHead_InitCircular_0x10_00719180	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00719690	ListHead_InitCircular_0x10_00719690	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
007298e0	ListHead_InitCircular_0x1c_007298e0	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
00729940	ListHead_InitCircular_0x1c_00729940	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
0072d480	ListHead_InitCircular_0x1c_0072d480	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
0072d8f0	ListHead_InitCircular_0x1c_0072d8f0	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
0073db00	ListHead_InitCircular_0x10_0073db00	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00743200	ListHead_InitCircular_0x10_00743200	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00758ae0	ListHead_InitCircular_0x4c_00758ae0	autoname-t6 [medium]: malloc(0x4c) node with next/prev self-linked = empty circular-list head init
00758d90	ListHead_InitCircular_0x4c_00758d90	autoname-t6 [medium]: malloc(0x4c) node with next/prev self-linked = empty circular-list head init
0075f780	ListHead_InitCircular_0xc_0075f780	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
0075f830	ObjHolder_FreeAndDelete_0075f830	autoname-t6 [high]: Null-checks then free(*param_1) and operator_delete(param_1): holder destructor
00769f30	TreeHeader_InitSentinel_0x20_00769f30	autoname-t6 [medium]: malloc(0x20) header-sentinel init (size=0, left/right self-linked)
0076acf0	TreeHeader_InitSentinel_0x20_0076acf0	autoname-t6 [medium]: malloc(0x20) header-sentinel init (size=0, left/right self-linked)
0076c710	Vector_PushBack_Elem0xc	autoname-t6 [medium]: Vector push_back: if end!=cap advance by 0xc via Array_MoveBackwardCopy else Vector_InsertRange_Mixed grow; 12-byte element
0076f9e0	ListHead_InitCircular_0x24_0076f9e0	autoname-t6 [medium]: malloc(0x24) node with next/prev self-linked = empty circular-list head init
0076fbf0	ListHead_InitCircular_0x24_0076fbf0	autoname-t6 [medium]: malloc(0x24) node with next/prev self-linked = empty circular-list head init
00771b30	ObjHolder_FreeAndDelete_00771b30	autoname-t6 [high]: Null-checks then free(*param_1) and operator_delete(param_1): holder destructor
00777520	TreeHeader_InitSentinel_0x30_00777520	autoname-t6 [medium]: malloc(0x30) header-sentinel init (size=0, left/right self-linked)
00777a00	TreeHeader_InitSentinel_0x30_00777a00	autoname-t6 [medium]: malloc(0x30) header-sentinel init (size=0, left/right self-linked)
0077ffe0	ListHead_InitCircular_0x14_0077ffe0	autoname-t6 [medium]: malloc(0x14) node with next/prev self-linked = empty circular-list head init
00780040	ListHead_InitCircular_0x14_00780040	autoname-t6 [medium]: malloc(0x14) node with next/prev self-linked = empty circular-list head init
00783d50	TreeHeader_InitSentinel_0x20_00783d50	autoname-t6 [medium]: malloc(0x20) header-sentinel init (size=0, left/right self-linked)
00783fb0	TreeHeader_InitSentinel_0x20_00783fb0	autoname-t6 [medium]: malloc(0x20) header-sentinel init (size=0, left/right self-linked)
00784fb0	ListHead_InitCircular_0xc_00784fb0	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
00785d00	ListHead_InitCircular_0xc_00785d00	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
00792220	ListHead_InitCircular_0xc_00792220	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
007926f0	TreeHeader_InitSentinel_0x2c_007926f0	autoname-t6 [medium]: malloc(0x2c) header-sentinel init (size=0, left/right self-linked)
00792b30	TreeHeader_InitSentinel_0x2c_00792b30	autoname-t6 [medium]: malloc(0x2c) header-sentinel init (size=0, left/right self-linked)
00797ae0	TreeHeader_InitSentinel_0x2c_00797ae0	autoname-t6 [medium]: malloc(0x2c) header-sentinel init (size=0, left/right self-linked)
00797e30	TreeHeader_InitSentinel_0x2c_00797e30	autoname-t6 [medium]: malloc(0x2c) header-sentinel init (size=0, left/right self-linked)
0079f2a0	TreeHeader_InitSentinel_0x14_0079f2a0	autoname-t6 [medium]: malloc(0x14) header-sentinel init (size=0, left/right self-linked)
0079f410	TreeHeader_InitSentinel_0x14_0079f410	autoname-t6 [medium]: malloc(0x14) header-sentinel init (size=0, left/right self-linked)
007a35b0	ListHead_InitCircular_0x10_007a35b0	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
007a3c60	ListHead_InitCircular_0x10_007a3c60	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
007a6170	ListHead_InitCircular_0xc_007a6170	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
007a6320	ListHead_InitCircular_0xc_007a6320	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
007acde0	TreeHeader_InitSentinel_0x18_007acde0	autoname-t6 [medium]: malloc(0x18) header-sentinel init (size=0, left/right self-linked)
007b7c30	List_AppendNode_IfFlag25	autoname-t6 [medium]: If flag at *(this+0x18)+0x25 set, allocs 0x10 node {ftol2(val),param_2} and links into list at this+0xc
007b7c80	List_AppendNode_IfFlag26	autoname-t6 [medium]: If flag at *(this+0x18)+0x26 set, allocs 0x10 node {ftol2(val),param_2} and links into list at this+0x10
0080eb40	Vector_PushBack_U32	autoname-t6 [medium]: Vector push_back of 4-byte element: if end!=cap write and advance 4 else Vector_InsertN grow
00824b40	ListHead_InitCircular_0x5c_00824b40	autoname-t6 [medium]: malloc(0x5c) node with next/prev self-linked = empty circular-list head init
00824bc0	ListHead_InitCircular_0x10_00824bc0	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
008254a0	ListHead_InitCircular_0x5c_008254a0	autoname-t6 [medium]: malloc(0x5c) node with next/prev self-linked = empty circular-list head init
00825540	ListHead_InitCircular_0x10_00825540	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00827e20	ListHead_InitCircular_0xc_00827e20	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
00828c20	ListHead_InitCircular_0xc_00828c20	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
0082c570	ListHead_InitCircular_0x18_0082c570	autoname-t6 [medium]: malloc(0x18) node with next/prev self-linked = empty circular-list head init
0082c900	ListHead_InitCircular_0x18_0082c900	autoname-t6 [medium]: malloc(0x18) node with next/prev self-linked = empty circular-list head init
0086c5c0	CPersistInfo_InsertionSortStep_0086c5c0	autoname-t6 [medium]: Calls _Move_backward<pair<u64,CRuntimeScriptedEntityPersist::CPersistInfo>> and std__pair_insertion_sort_shift; insertion-sort shift step for pair sequence
0086f600	PriorityQueue_PushSift_0086f600	autoname-t6 [medium]: Appends 0xc-byte element via Vector_Reallocate at (this+4), then toggles flag +0xd and calls std__make_heap_Sift_3 = heap/priority_queue push
0086fa00	CPersistInfo_InsertionSortStep_0086fa00	autoname-t6 [medium]: Identical to 0086c5c0: _Move_backward<pair<u64,CPersistInfo>> + pair_insertion_sort_shift insertion-sort shift step
008709c0	CWorldDriver_FindClosestMeshVolume_DefaultCall_008709c0	autoname-t6 [medium]: Thin wrapper zeroing a local then calling CWorldDriver_FindClosestMeshVolume(local,&out)
00874ca0	ListSentinel_Ctor_sz10_00874ca0	autoname-t6 [medium]: malloc(0x10); node.next=node.prev=node (self-ref +0/+4) = empty circular doubly-linked list sentinel
00874d30	ListSentinel_Ctor_sz10_00874d30	autoname-t6 [medium]: malloc(0x10) with self-referential next/prev = empty circular list sentinel ctor
00876e10	Vector_ComputePotentialGradient_00876e10	autoname-t6 [medium]: Walks linked list of point nodes, sums 1/(dist-param5) over sample offsets (DAT_01385d2c table), outputs finite-difference gradient vector to param_1[0..2]
00883280	ListSentinel_Ctor_sz68_00883280	autoname-t6 [medium]: malloc(0x68); self-referential next/prev = empty circular list sentinel ctor
00883300	ListSentinel_Ctor_sz28_00883300	autoname-t6 [medium]: malloc(0x28); self-referential next/prev = empty circular list sentinel ctor
00883340	ListSentinel_Ctor_sz44_00883340	autoname-t6 [medium]: malloc(0x44); self-referential next/prev = empty circular list sentinel ctor
00883be0	ListSentinel_Ctor_sz68_00883be0	autoname-t6 [medium]: malloc(0x68); self-referential next/prev = empty circular list sentinel ctor
00883c60	ListSentinel_Ctor_sz28_00883c60	autoname-t6 [medium]: malloc(0x28); self-referential next/prev = empty circular list sentinel ctor
00883ca0	ListSentinel_Ctor_sz44_00883ca0	autoname-t6 [medium]: malloc(0x44); self-referential next/prev = empty circular list sentinel ctor
00884180	ListSentinel_Ctor_sz68_00884180	autoname-t6 [medium]: malloc(0x68); self-referential next/prev = empty circular list sentinel ctor (void return)
008841a0	ListSentinel_Ctor_sz28_008841a0	autoname-t6 [medium]: malloc(0x28); self-referential next/prev = empty circular list sentinel ctor (void return)
008841c0	ListSentinel_Ctor_sz44_008841c0	autoname-t6 [medium]: malloc(0x44); self-referential next/prev = empty circular list sentinel ctor (void return)
