address	current_name	category	disposition	proposed_name	rationale
004c5c40	StdList_Construct_004c5c40	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004c6680	Object_AllocAndStorePtr_004c6680	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004c67d0	StdTree_Construct_004c67d0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004c6af0	StdTree_Construct_004c6af0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004c72a0	Stub_ReturnVoid_004c72a0	thunk-stub-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004cc200	StdList_Construct_004cc200	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004cc260	StdList_Construct_004cc260	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004cc800	StdList_Construct_004cc800	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004ccc10	StdList_Construct_004ccc10	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004fe7f0	CollectSoundThemeSwitchDefs	field-accessor	semantic-review		semantic owner or behavior still needs stronger evidence
00507070	RebuildStringPairTableFromTree	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005159a0	StdTree_Construct_005159a0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00516e80	StdList_Construct_00516e80	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00517810	StdTree_Construct_00517810	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0051a040	StdTree_Construct_0051a040	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005283a0	StdList_Construct_005283a0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528410	Object_AllocAndStorePtr_00528410	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528480	Object_AllocAndStorePtr_00528480	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005284b0	Object_AllocAndStorePtr_005284b0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528520	Object_AllocAndStorePtr_00528520	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528590	Object_AllocAndStorePtr_00528590	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528c20	StdList_Construct_00528c20	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528c60	StdTree_Construct_00528c60	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528cf0	StdTree_Construct_00528cf0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528d80	StdTree_Construct_00528d80	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528dc0	StdTree_Construct_00528dc0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00528e50	StdTree_Construct_00528e50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005297a0	Stub_ReturnZero	thunk-stub-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00553490	Object_AllocAndStorePtr_00553490	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00566b70	Object_AllocAndStorePtr_00566b70	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00566be0	Object_AllocAndStorePtr_00566be0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00566ca0	Object_AllocAndStorePtr_00566ca0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056a580	StdTree_Construct_0056a580	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056cf70	Object_AllocAndStorePtr_0056cf70	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056cfa0	Object_AllocAndStorePtr_0056cfa0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056d010	Object_AllocAndStorePtr_0056d010	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056d2c0	StdTree_Construct_0056d2c0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056d350	StdTree_Construct_0056d350	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056d390	StdTree_Construct_0056d390	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0056ddc0	StdTree_Construct_0056ddc0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0059adcd	RBTree_Iterator_SetToMaxNode_0059adcd	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005b198d	RBTree_Iterator_SetToMaxNode_005b198d	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005b199e	RBTree_Iterator_SetToMaxNode_005b199e	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005b19af	RBTree_Iterator_SetToMaxNode_005b19af	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005b19c0	RBTree_Iterator_SetToMaxNode_005b19c0	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005ba88b	RBTree_Iterator_SetToMaxNode_005ba88b	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005ba89c	RBTree_Iterator_SetToMaxNode_005ba89c	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005ba8ad	RBTree_Iterator_SetToMaxNode_005ba8ad	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005ba8be	RBTree_Iterator_SetToMaxNode_005ba8be	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005cbfe9	RBTree_Iterator_SetToMaxNode_005cbfe9	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005d839d	RBTree_Iterator_SetToMaxNode_005d839d	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005e0200	Object_AllocAndStorePtr_005e0200	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005e0b00	StdTree_Construct_005e0b00	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005e3080	StdTree_Construct_005e3080	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005e8e50	Object_AllocAndStorePtr_005e8e50	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005e8ff0	StdTree_Construct_005e8ff0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005e9320	StdTree_Construct_005e9320	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005f82d9	RBTree_Iterator_SetToMaxNode_005f82d9	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005f82ea	RBTree_Iterator_SetToMaxNode_005f82ea	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005f8944	StdList_Construct_005f8944	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
005f8f6f	Lua_PushCClosure_005f8f6f	thunk-stub-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006152c0	StdList_InitEmpty_006152c0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00615340	StdList_InitEmpty_00615340	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006153a0	StdList_InitEmpty_006153a0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00615400	StdList_InitEmpty_00615400	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00615460	StdList_InitEmpty_00615460	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006154c0	StdList_InitEmpty_006154c0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00615580	Ptr_AllocStore_00615580	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006155b0	Ptr_AllocStore_006155b0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00615650	Ptr_AllocStore_00615650	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00616790	StdList_InitEmpty_00616790	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006167f0	StdList_InitEmpty_006167f0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00616820	StdList_InitEmpty_00616820	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00616850	StdList_InitEmpty_00616850	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00616880	StdList_InitEmpty_00616880	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006168b0	StdList_InitEmpty_006168b0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006168e0	StdList_InitEmpty_006168e0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00616930	StdList_CtorWithCount_00616930	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006169c0	StdList_CtorWithCount_006169c0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00616a40	StdList_CtorWithCount_00616a40	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00617140	StdList_CtorWithCount_00617140	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00617270	StdList_CtorWithCount_00617270	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00619e30	StdList_CtorWithCount_00619e30	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00623a80	Ptr_AllocStore_00623a80	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00624160	StdList_CtorWithCount_00624160	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00624520	StdList_CtorWithCount_00624520	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00630b60	Ptr_AllocStore_00630b60	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00630b90	Ptr_AllocStore_00630b90	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00630cc0	StdList_CtorWithCount_00630cc0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00630d50	StdList_CtorWithCount_00630d50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00630f50	StdList_CtorWithCount_00630f50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006313e0	StdList_CtorWithCount_006313e0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0063ec80	Return_Identity_0063ec80	thunk-stub-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0063f340	StdList_InitEmpty_0063f340	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0063f450	StdList_InitEmpty_0063f450	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006579e0	Vector_PushBackInts_1_2_neg1_006579e0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00657ac0	Vector_PushBackInts_2_3_1_00657ac0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00662020	Getter_FieldE0_FC	field-accessor	semantic-review		semantic owner or behavior still needs stronger evidence
00669510	StdList_InitEmpty_00669510	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0066a1a0	StdList_InitEmpty_0066a1a0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00674e50	Object_FreeInnerAndDelete_00674e50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00674e80	Object_FreeInnerAndDelete_00674e80	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067aeb0	StdList_InitEmpty_0067aeb0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067af60	Ptr_AllocStore_0067af60	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067afd0	Ptr_AllocStore_0067afd0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067b040	Ptr_AllocStore_0067b040	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067b570	StdList_InitEmpty_0067b570	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067b5f0	StdList_CtorWithCount_0067b5f0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067b680	StdList_CtorWithCount_0067b680	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067b710	StdList_CtorWithCount_0067b710	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067bc70	StdList_InitEmpty_0067bc70	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067bd30	StdList_CtorWithCount_0067bd30	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067bdc0	StdList_CtorWithCount_0067bdc0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0067be50	StdList_CtorWithCount_0067be50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00685ba0	StdList_InitEmpty_00685ba0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006864c0	StdList_InitEmpty_006864c0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00687480	StdList_InitEmpty_00687480	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00687910	StdList_InitEmpty_00687910	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006960a0	Ptr_AllocStore_006960a0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006960d0	Ptr_AllocStore_006960d0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00696590	StdList_CtorWithCount_00696590	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006965d0	StdList_CtorWithCount_006965d0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00696de0	StdList_CtorWithCount_00696de0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00696e70	StdList_CtorWithCount_00696e70	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006db170	StdList_InitEmpty_006db170	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006db230	StdList_CtorWithCount_006db230	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006db5a0	StdList_CtorWithCount_006db5a0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006db730	StdList_CtorWithCount_006db730	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006db770	StdList_CtorWithCount_006db770	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006dbc00	StdList_CtorHeadAtField1_006dbc00	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006dbc50	StdList_CtorHeadAtField1_006dbc50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006dbfe0	StdList_CtorWithCount_006dbfe0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006dc1b0	StdList_CtorWithCount_006dc1b0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006e4b30	StdList_InitEmpty_006e4b30	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006e4e10	StdList_InitEmpty_006e4e10	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006e6930	Ptr_AllocStore_006e6930	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006e6ae0	StdList_CtorWithCount_006e6ae0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006e7030	StdList_CtorWithCount_006e7030	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f09b0	StdList_InitEmpty_006f09b0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f0af0	ObjHolder_AllocStore_0x20_006f0af0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f0b60	ObjHolder_AllocStore_0x88_006f0b60	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f0b90	ObjHolder_AllocStore_0x18_006f0b90	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f0c00	ObjHolder_AllocStore_0x18_006f0c00	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f18f0	ListHead_InitCircular_0xc_006f18f0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f1a50	TreeHeader_InitSentinel_0x20_006f1a50	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f1ae0	TreeHeader_InitSentinel_0x88_006f1ae0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f1b20	TreeHeader_InitSentinel_0x18_006f1b20	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f1b60	TreeHeader_InitSentinel_0x18_006f1b60	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
006f23a0	TreeHeader_InitSentinel_0x20_006f23a0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00718e80	ListHead_InitCircular_0x10_00718e80	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00718ea0	ListHead_InitCircular_0x10_00718ea0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00719180	ListHead_InitCircular_0x10_00719180	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00719690	ListHead_InitCircular_0x10_00719690	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0071f860	ObjHolder_AllocStore_0x34_0071f860	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
007298e0	ListHead_InitCircular_0x1c_007298e0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00729940	ListHead_InitCircular_0x1c_00729940	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0072d480	ListHead_InitCircular_0x1c_0072d480	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0072d8f0	ListHead_InitCircular_0x1c_0072d8f0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00737f50	ObjHolder_AllocStore_0x24_00737f50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0073db00	ListHead_InitCircular_0x10_0073db00	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00743200	ListHead_InitCircular_0x10_00743200	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00755e50	ObjHolder_AllocStore_0x1c_00755e50	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00758ae0	ListHead_InitCircular_0x4c_00758ae0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00758d90	ListHead_InitCircular_0x4c_00758d90	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0075f780	ListHead_InitCircular_0xc_0075f780	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0075f830	ObjHolder_FreeAndDelete_0075f830	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
007602f0	Math_PolygonAngleSumClosureCheck	semantic-logic	semantic-review		semantic owner or behavior still needs stronger evidence
007695f0	ObjHolder_AllocStore_0x20_007695f0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00769f30	TreeHeader_InitSentinel_0x20_00769f30	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0076acf0	TreeHeader_InitSentinel_0x20_0076acf0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0076f9e0	ListHead_InitCircular_0x24_0076f9e0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0076fbf0	ListHead_InitCircular_0x24_0076fbf0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00771b30	ObjHolder_FreeAndDelete_00771b30	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00776f30	ObjHolder_AllocStore_0x30_00776f30	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00777520	TreeHeader_InitSentinel_0x30_00777520	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00777a00	TreeHeader_InitSentinel_0x30_00777a00	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0077ffe0	ListHead_InitCircular_0x14_0077ffe0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00780040	ListHead_InitCircular_0x14_00780040	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00782fb0	ObjHolder_AllocStore_0x20_00782fb0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00783d50	TreeHeader_InitSentinel_0x20_00783d50	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00783fb0	TreeHeader_InitSentinel_0x20_00783fb0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00784fb0	ListHead_InitCircular_0xc_00784fb0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00785d00	ListHead_InitCircular_0xc_00785d00	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00792220	ListHead_InitCircular_0xc_00792220	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
007922a0	ObjHolder_AllocStore_0x2c_007922a0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
007926f0	TreeHeader_InitSentinel_0x2c_007926f0	allocator-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
