address	current_name	confidence	address_suffixed	category	comment
004c67d0	StdTree_Construct_004c67d0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x1c) header node: size=0, parent=0, left=right=head — std::_Tree (map/set) ctor
004c6af0	StdTree_Construct_004c6af0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x1c) header node with size=0, left=right=head — std::_Tree ctor
004c72a0	Stub_ReturnVoid_004c72a0	low	1	thunk-stub-wrapper	autoname-t6 [low]: empty body, just returns
004cc200	StdList_Construct_004cc200	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node — std::list ctor
004cc260	StdList_Construct_004cc260	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x14) self-linked sentinel node — std::list ctor
004cc800	StdList_Construct_004cc800	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node — std::list ctor
004ccc10	StdList_Construct_004ccc10	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x14) self-linked sentinel node — std::list ctor
004fe7f0	CollectSoundThemeSwitchDefs	low	0	field-accessor	"autoname-t6 [low]: iterates entity list, builds a set, uses CCharString ""SOUND_THEME"" + CDefinitionManager::GetDef<CThingPhysicalSwitchDef> and tree walk — gathers sound-theme switch defs"
00507070	RebuildStringPairTableFromTree	low	0	initializer-destructor	autoname-t6 [low]: thiscall rebuilds a vector<pair<CCharString,CCharString>> via _Copy_impl/InsertMultipleAndGrow and tree-traversal reconstruction
005159a0	StdTree_Construct_005159a0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x14) header node: size=0, left=right=head — std::_Tree ctor
00516e80	StdList_Construct_00516e80	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node — std::list ctor
00517810	StdTree_Construct_00517810	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x14) header node: size=0, left=right=head — std::_Tree ctor
0051a040	StdTree_Construct_0051a040	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x14) header node (size=0, left=right=head) plus extra fields [3..6]=0 — std::_Tree ctor with owner fields
005283a0	StdList_Construct_005283a0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node — std::list ctor
00528410	Object_AllocAndStorePtr_00528410	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x28) stored to *param_1, no field init
00528480	Object_AllocAndStorePtr_00528480	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x20) stored to *param_1, no field init
005284b0	Object_AllocAndStorePtr_005284b0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x20) stored to *param_1, no field init
00528520	Object_AllocAndStorePtr_00528520	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x24) stored to *param_1, no field init
00528590	Object_AllocAndStorePtr_00528590	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x20) stored to *param_1, no field init
00528c20	StdList_Construct_00528c20	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node — std::list ctor
00528c60	StdTree_Construct_00528c60	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x28) header node: size=0, left=right=head — std::_Tree ctor
00528cf0	StdTree_Construct_00528cf0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
00528d80	StdTree_Construct_00528d80	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
00528dc0	StdTree_Construct_00528dc0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x24) header node: size=0, left=right=head — std::_Tree ctor
00528e50	StdTree_Construct_00528e50	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
005297a0	Stub_ReturnZero	low	0	thunk-stub-wrapper	autoname-t6 [low]: 3-byte function returning constant 0
00553490	Object_AllocAndStorePtr_00553490	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x1c) stored to *param_1, no field init
00566b70	Object_AllocAndStorePtr_00566b70	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x1c) stored to *param_1, no field init
00566be0	Object_AllocAndStorePtr_00566be0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored to *param_1, no field init
00566ca0	Object_AllocAndStorePtr_00566ca0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x20) stored to *param_1, no field init
0056a580	StdTree_Construct_0056a580	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
0056cf70	Object_AllocAndStorePtr_0056cf70	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x34) stored to *param_1, no field init
0056cfa0	Object_AllocAndStorePtr_0056cfa0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x20) stored to *param_1, no field init
0056d010	Object_AllocAndStorePtr_0056d010	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored to *param_1, no field init
0056d2c0	StdTree_Construct_0056d2c0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x34) header node: size=0, left=right=head — std::_Tree ctor
0056d350	StdTree_Construct_0056d350	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) header node: size=0, left=right=head — std::_Tree ctor
0056d390	StdTree_Construct_0056d390	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
0056ddc0	StdTree_Construct_0056ddc0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x34) header node: size=0, left=right=head — std::_Tree ctor
0059adcd	RBTree_Iterator_SetToMaxNode_0059adcd	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b198d	RBTree_Iterator_SetToMaxNode_005b198d	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b199e	RBTree_Iterator_SetToMaxNode_005b199e	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b19af	RBTree_Iterator_SetToMaxNode_005b19af	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005b19c0	RBTree_Iterator_SetToMaxNode_005b19c0	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba88b	RBTree_Iterator_SetToMaxNode_005ba88b	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba89c	RBTree_Iterator_SetToMaxNode_005ba89c	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba8ad	RBTree_Iterator_SetToMaxNode_005ba8ad	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005ba8be	RBTree_Iterator_SetToMaxNode_005ba8be	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005cbfe9	RBTree_Iterator_SetToMaxNode_005cbfe9	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005d839d	RBTree_Iterator_SetToMaxNode_005d839d	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005e0200	Object_AllocAndStorePtr_005e0200	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored to *param_1, no field init
005e0b00	StdTree_Construct_005e0b00	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005e3080	StdTree_Construct_005e3080	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005e8e50	Object_AllocAndStorePtr_005e8e50	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored to *param_1, no field init
005e8ff0	StdTree_Construct_005e8ff0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005e9320	StdTree_Construct_005e9320	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) header node: size=0, left=right=head — std::_Tree ctor
005f82d9	RBTree_Iterator_SetToMaxNode_005f82d9	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005f82ea	RBTree_Iterator_SetToMaxNode_005f82ea	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores back — rightmost-node iterator step
005f8944	StdList_Construct_005f8944	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked next/prev sentinel node — std::list ctor
005f8f6f	Lua_PushCClosure_005f8f6f	medium	1	thunk-stub-wrapper	autoname-t6 [medium]: Thin wrapper forwarding self/args to luaV_Cclosure (Lua C-closure push)
006152c0	StdList_InitEmpty_006152c0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x10) then node->next=node->prev=node, store at *param_1: std::list empty-sentinel ctor
00615340	StdList_InitEmpty_00615340	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) circular self-linked sentinel node stored at *param_1: std::list ctor
006153a0	StdList_InitEmpty_006153a0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00615400	StdList_InitEmpty_00615400	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00615460	StdList_InitEmpty_00615460	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006154c0	StdList_InitEmpty_006154c0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00615580	Ptr_AllocStore_00615580	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored at *param_1, no linking: opaque block allocation
006155b0	Ptr_AllocStore_006155b0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x6c) stored at *param_1, no linking: opaque block allocation
00615650	Ptr_AllocStore_00615650	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x1c) stored at *param_1, no linking: opaque block allocation
00616790	StdList_InitEmpty_00616790	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
006167f0	StdList_InitEmpty_006167f0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616820	StdList_InitEmpty_00616820	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616850	StdList_InitEmpty_00616850	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616880	StdList_InitEmpty_00616880	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006168b0	StdList_InitEmpty_006168b0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006168e0	StdList_InitEmpty_006168e0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
00616930	StdList_CtorWithCount_00616930	medium	1	initializer-destructor	autoname-t6 [medium]: int* {head,count}; malloc(0x18) sentinel zeroed and self-linked, count=0: std::list ctor
006169c0	StdList_CtorWithCount_006169c0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x6c) sentinel zeroed+self-linked, count=0: std::list ctor
00616a40	StdList_CtorWithCount_00616a40	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00617140	StdList_CtorWithCount_00617140	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00617270	StdList_CtorWithCount_00617270	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00619e30	StdList_CtorWithCount_00619e30	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x6c) sentinel zeroed+self-linked, count=0: std::list ctor
00623a80	Ptr_AllocStore_00623a80	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored at *param_1, no linking: opaque block allocation
00624160	StdList_CtorWithCount_00624160	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00624520	StdList_CtorWithCount_00624520	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00630b60	Ptr_AllocStore_00630b60	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored at *param_1, no linking: opaque block allocation
00630b90	Ptr_AllocStore_00630b90	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored at *param_1, no linking: opaque block allocation
00630cc0	StdList_CtorWithCount_00630cc0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00630d50	StdList_CtorWithCount_00630d50	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00630f50	StdList_CtorWithCount_00630f50	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006313e0	StdList_CtorWithCount_006313e0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0063ec80	Return_Identity_0063ec80	low	1	thunk-stub-wrapper	autoname-t6 [low]: Returns its single argument unchanged (identity/stub)
0063f340	StdList_InitEmpty_0063f340	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0063f450	StdList_InitEmpty_0063f450	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006579e0	Vector_PushBackInts_1_2_neg1_006579e0	medium	1	initializer-destructor	autoname-t6 [medium]: Three push_back sequences via InsertMultipleAndGrow inserting 1,2,-1 into std::vector<int>
00657ac0	Vector_PushBackInts_2_3_1_00657ac0	medium	1	initializer-destructor	autoname-t6 [medium]: Three push_back sequences via InsertMultipleAndGrow inserting 2,3,1 into std::vector<int>
00662020	Getter_FieldE0_FC	low	0	field-accessor	autoname-t6 [low]: single deref *(*(this+0xe0)+0xfc), no callers/callees; opaque accessor
00669510	StdList_InitEmpty_00669510	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
0066a1a0	StdList_InitEmpty_0066a1a0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
00674e50	Object_FreeInnerAndDelete_00674e50	high	1	initializer-destructor	autoname-t6 [high]: Frees *param_1 buffer then operator_delete(param_1): destructor/deallocator
00674e80	Object_FreeInnerAndDelete_00674e80	high	1	initializer-destructor	autoname-t6 [high]: Frees *param_1 buffer then operator_delete(param_1): destructor/deallocator
0067aeb0	StdList_InitEmpty_0067aeb0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0067af60	Ptr_AllocStore_0067af60	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored at *param_1, no linking: opaque block allocation
0067afd0	Ptr_AllocStore_0067afd0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored at *param_1, no linking: opaque block allocation
0067b040	Ptr_AllocStore_0067b040	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x18) stored at *param_1, no linking: opaque block allocation
0067b570	StdList_InitEmpty_0067b570	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0067b5f0	StdList_CtorWithCount_0067b5f0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067b680	StdList_CtorWithCount_0067b680	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067b710	StdList_CtorWithCount_0067b710	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067bc70	StdList_InitEmpty_0067bc70	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
0067bd30	StdList_CtorWithCount_0067bd30	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067bdc0	StdList_CtorWithCount_0067bdc0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
0067be50	StdList_CtorWithCount_0067be50	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
00685ba0	StdList_InitEmpty_00685ba0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006864c0	StdList_InitEmpty_006864c0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node stored at *param_1 (void ret): std::list empty ctor
00687480	StdList_InitEmpty_00687480	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x60) self-linked sentinel node: std::list empty ctor
00687910	StdList_InitEmpty_00687910	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x60) self-linked sentinel node: std::list empty ctor
006960a0	Ptr_AllocStore_006960a0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x1c) stored at *param_1, no linking: opaque block allocation
006960d0	Ptr_AllocStore_006960d0	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x1c) stored at *param_1, no linking: opaque block allocation
00696590	StdList_CtorWithCount_00696590	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
006965d0	StdList_CtorWithCount_006965d0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00696de0	StdList_CtorWithCount_00696de0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
00696e70	StdList_CtorWithCount_00696e70	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x1c) sentinel zeroed+self-linked, count=0: std::list ctor
006db170	StdList_InitEmpty_006db170	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x10) self-linked sentinel node: std::list empty ctor
006db230	StdList_CtorWithCount_006db230	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006db5a0	StdList_CtorWithCount_006db5a0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006db730	StdList_CtorWithCount_006db730	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006db770	StdList_CtorWithCount_006db770	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006dbc00	StdList_CtorHeadAtField1_006dbc00	medium	1	initializer-destructor	autoname-t6 [medium]: head stored at param_1[1], param_1[2]=0, malloc(0x18) sentinel self-linked: std::list ctor variant
006dbc50	StdList_CtorHeadAtField1_006dbc50	medium	1	initializer-destructor	autoname-t6 [medium]: head stored at param_1[1], param_1[2]=0, malloc(0x18) sentinel self-linked: std::list ctor variant
006dbfe0	StdList_CtorWithCount_006dbfe0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006dc1b0	StdList_CtorWithCount_006dc1b0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x18) sentinel zeroed+self-linked, count=0: std::list ctor
006e4b30	StdList_InitEmpty_006e4b30	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) self-linked sentinel node: std::list empty ctor
006e4e10	StdList_InitEmpty_006e4e10	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) self-linked sentinel node: std::list empty ctor
006e6930	Ptr_AllocStore_006e6930	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x40) stored at *param_1, no linking: opaque block allocation
006e6ae0	StdList_CtorWithCount_006e6ae0	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x40) sentinel zeroed+self-linked, count=0: std::list ctor
006e7030	StdList_CtorWithCount_006e7030	medium	1	initializer-destructor	autoname-t6 [medium]: {head,count}; malloc(0x40) sentinel zeroed+self-linked, count=0: std::list ctor
006f09b0	StdList_InitEmpty_006f09b0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked sentinel node: std::list empty ctor
006f0af0	ObjHolder_AllocStore_0x20_006f0af0	low	1	initializer-destructor	autoname-t6 [low]: Zeroes holder then stores malloc(0x20) pointer; opaque object-holder ctor, no callers/type context
006f0b60	ObjHolder_AllocStore_0x88_006f0b60	low	1	initializer-destructor	autoname-t6 [low]: Zeroes holder then stores malloc(0x88) pointer; opaque object-holder ctor
006f0b90	ObjHolder_AllocStore_0x18_006f0b90	low	1	initializer-destructor	autoname-t6 [low]: Zeroes holder then stores malloc(0x18) pointer; opaque object-holder ctor
006f0c00	ObjHolder_AllocStore_0x18_006f0c00	low	1	initializer-destructor	autoname-t6 [low]: Zeroes holder then stores malloc(0x18) pointer; opaque object-holder ctor
006f18f0	ListHead_InitCircular_0xc_006f18f0	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0xc) node with next/prev self-linked = empty circular-list head init
006f1a50	TreeHeader_InitSentinel_0x20_006f1a50	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x20), size=0 (param_1[1]), node [0]=[4]=0, [8]=[c]=self: RB-tree/list header sentinel init
006f1ae0	TreeHeader_InitSentinel_0x88_006f1ae0	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x88) header-sentinel init (size=0, left/right self-linked)
006f1b20	TreeHeader_InitSentinel_0x18_006f1b20	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x18) header-sentinel init (size=0, left/right self-linked)
006f1b60	TreeHeader_InitSentinel_0x18_006f1b60	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x18) header-sentinel init (size=0, left/right self-linked)
006f23a0	TreeHeader_InitSentinel_0x20_006f23a0	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x20) header-sentinel init (size=0, left/right self-linked)
00718e80	ListHead_InitCircular_0x10_00718e80	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00718ea0	ListHead_InitCircular_0x10_00718ea0	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00719180	ListHead_InitCircular_0x10_00719180	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00719690	ListHead_InitCircular_0x10_00719690	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
0071f860	ObjHolder_AllocStore_0x34_0071f860	low	1	initializer-destructor	autoname-t6 [low]: Zeroes holder then stores malloc(0x34) pointer; opaque object-holder ctor
007298e0	ListHead_InitCircular_0x1c_007298e0	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
00729940	ListHead_InitCircular_0x1c_00729940	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
0072d480	ListHead_InitCircular_0x1c_0072d480	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
0072d8f0	ListHead_InitCircular_0x1c_0072d8f0	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x1c) node with next/prev self-linked = empty circular-list head init
00737f50	ObjHolder_AllocStore_0x24_00737f50	low	1	initializer-destructor	autoname-t6 [low]: Zeroes holder then stores malloc(0x24) pointer; opaque object-holder ctor
0073db00	ListHead_InitCircular_0x10_0073db00	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00743200	ListHead_InitCircular_0x10_00743200	medium	1	allocator-wrapper	autoname-t6 [medium]: malloc(0x10) node with next/prev self-linked = empty circular-list head init
00755e50	ObjHolder_AllocStore_0x1c_00755e50	low	1	initializer-destructor	autoname-t6 [low]: Zeroes holder then stores malloc(0x1c) pointer; opaque object-holder ctor
