class	vtable_va	slot	func_va
CDefPointeeBase	01230ba0	6	0042d970
CDefPointeeBase	01230ba0	7	0042d980
CDefPointeeBase	01230ba0	0	0042d9a0
CDefClassBase	01230bcc	10	0042da10
CDefClassBase	01230bcc	11	0042da20
CDefClassBase	01230bcc	12	0042da30
CDefClassBase	01230bcc	13	0042da40
CDefClassBase	01230bcc	15	0042da50
CDefClassBase	01230bcc	14	0042da60
CDefClassBase	01230bcc	16	0042da70
CDefClassBase	01230bcc	17	0042da80
CDefClassBase	01230bcc	23	0042da90
CDefClassBase	01230bcc	24	0042daa0
CDefClassBase	01230bcc	0	0042dab0
CXMVPlayerBuffers	01230c34	0	0042db60
CNewFrontendGameComponent	01230ca0	3	0042dc5c
CNewFrontendGameComponent	01230c94	0	0042dc5f
CNewFrontendGameComponent	01230c94	1	0042dc60
CNewFrontendGameComponent	01230ca0	2	0042ec7c
CNewFrontendGameComponent	01230ca0	1	0042f75e
NPlayerGui::CAutoPickupBar	0125a768	10	00430053
CNewFrontendGameComponent	01230ca0	4	00430340
CParentDefClassBase	01230cbc	10	004303b0
CParentDefClassBase	01230cbc	11	004303c0
CParentDefClassBase	01230cbc	16	004303d0
CParentDefClassBase	01230cbc	24	004303e0
CParentDefClassBase	01230cbc	0	004303f0
CControlsDef	01230e84	20	00430470
CControlsDef	01230e84	0	00430480
NUISystem::CUIMiscThingsDef	01230eec	20	004308f0
NUISystem::CUIMiscThingsDef	01230eec	18	00430900
NUISystem::CUIMiscThingsDef	01230eec	0	004317b0
NUISystem::CUIIconsDef	01230f54	20	00431c20
NUISystem::CUIIconsDef	01230f54	18	00431c30
NUISystem::CUIIconsDef	01230f54	0	00431dd0
CFrontEndDef	01230fbc	20	00431e30
CFrontEndDef	01230fbc	0	00431e40
CControlsDef	01230e84	19	00431e70
NUISystem::CUIMiscThingsDef	01230eec	19	004321e0
NUISystem::CUIIconsDef	01230f54	19	00432c60
CFrontEndDef	01230fbc	19	00432e50
CNewFrontendGameComponent	01230ca0	0	004330d2
CControlsDef	01230e84	18	004330f0
CFrontEndDef	01230fbc	18	004331c0
CStartupDefinitionManager	0123117c	2	0043368b
CStartupDefinitionManager	0123117c	0	00433d19
CEngineDef	0123118c	20	00433fd0
CEngineDef	0123118c	18	00433fe0
CEngineDef	0123118c	0	004340b0
CEngineVideoOptionsDef	012311f4	20	00434110
CEngineVideoOptionsDef	012311f4	18	00434120
CEngineVideoOptionsDef	012311f4	0	00434220
CConfigOptionsDefaultsDef	0123125c	20	00434280
CConfigOptionsDefaultsDef	0123125c	18	00434290
CConfigOptionsDefaultsDef	0123125c	0	00434340
CEngineDef	0123118c	19	00434360
CEngineVideoOptionsDef	012311f4	19	00434440
CConfigOptionsDefaultsDef	0123125c	19	00434590
CDisplayEngine	01231574	1	00435190
CDisplayEngine	01231574	2	004354a0
CTBaseSingleton	0123156c	0	004360f0
CEngineManager	01231584	0	00437020
CDisplayEngine	01231574	0	00437070
CBaseClass	01231710	0	004371f0
CTBaseSingletonNoDefaultAlloc	01231720	0	0043cb60
CWStringParser	01231718	0	0043e520
NUISystem::CRedefinerList	0124a994	152	00440045
NUISystem::CRedefinerList	0124a994	149	0044004e
CMiniMapDisplay	01231768	0	004426e0
NPlayerGui::CDrawNPCName	01231770	1	00442760
NCreatureMode::CModeSad	01267720	12	00444153
CThing	01239abc	46	00444e45
CPlayerGui	0123177c	0	00444f20
CInputTypeBase	01231784	0	004455d0
CInputTypeXboxPadButtonEvent	012317a8	1	00445620
CInputTypeXboxPadButtonEvent	012317a8	6	00445630
CInputTypeXboxPadButtonEvent	012317a8	7	00445650
CInputTypeXboxPadLeftStickEvent	012317cc	1	00445670
CInputTypeXboxPadLeftStickEvent	012317cc	6	00445680
CInputTypeXboxPadLeftStickEvent	012317cc	7	00445690
CInputTypeXboxPadRightStickEvent	012317f0	1	004456b0
CInputTypeXboxPadRightStickEvent	012317f0	6	004456c0
CInputTypeXboxPadRightStickEvent	012317f0	7	004456d0
CInputTypeMouseMovementEvent	01231814	1	004456f0
CInputTypeMouseMovementEvent	01231814	6	00445700
CInputTypeMouseMovementEvent	01231814	7	00445710
CInputTypeMouseWheelMovementEvent	01231838	1	00445730
CInputTypeMouseWheelMovementEvent	01231838	6	00445740
CInputTypeMouseWheelMovementEvent	01231838	7	00445750
CInputTypeMouseWheelMovementUpEvent	0123185c	1	00445770
CInputTypeMouseWheelMovementUpEvent	0123185c	6	00445780
CInputTypeMouseWheelMovementUpEvent	0123185c	7	00445790
CInputTypeMouseWheelMovementDownEvent	01231880	1	004457b0
CInputTypeMouseWheelMovementDownEvent	01231880	6	004457c0
CInputTypeMouseWheelMovementDownEvent	01231880	7	004457d0
CGamePlayerInterface	01231bdc	1	00446a30
CInputTypeKeyboardKeyEvent	012318a4	1	004479f0
CInputTypeKeyboardKeyEvent	012318a4	6	00447a00
CInputTypeKeyboardKeyEvent	012318a4	7	00447a10
CInputTypeKeyboardKeyEvent	012318a4	0	00447a20
CInputTypeMouseButtonEvent	012318c8	1	00447a70
CInputTypeMouseButtonEvent	012318c8	6	00447a80
CInputTypeMouseButtonEvent	012318c8	7	00447a90
CInputTypeMouseButtonEvent	012318c8	0	00447ab0
CInputTypeXboxPadButtonEvent	012317a8	0	00447ad0
CInputTypeXboxPadLeftStickEvent	012317cc	0	00447af0
CInputTypeXboxPadRightStickEvent	012317f0	0	00447b10
CInputTypeMouseMovementEvent	01231814	0	00447b30
CInputTypeMouseWheelMovementEvent	01231838	0	00447b50
CInputTypeMouseWheelMovementUpEvent	0123185c	0	00447b70
CInputTypeMouseWheelMovementDownEvent	01231880	0	00447b90
CGamePlayerInterface	01231bdc	0	00449420
CIntelligentPointer	01231c4c	0	0044aa60
CPersistContext_TransferableComponent	01231c80	1	0044b7e0
CPersistContext_TransferableComponent	01231c80	0	0044b800
CPlayer	01231cc4	0	0044be30
CPlayerManager	01231cd0	0	0044c030
CInventoryItemDef	01231dbc	20	0044c12f
CPhysicsDef	01231e34	20	0044c158
CTCNoiseDef	01231e9c	20	0044c1cd
CCarrySlotDef	01231f04	20	0044c1f6
CSmashableDef	01231f7c	20	0044c229
CActionUseDef	0123200c	20	0044c269
CHeroMarriageDef	01232074	20	0044c2e2
CSpecialAbilitiesDrainLifeDataDef	012320dc	20	0044c313
CSpecialAbilitiesForcePushDataDef	01232144	20	0044c329
CCreatureStatsDef	012321ac	20	0044c33f
CCoopSpiritDef	01232214	20	0044c364
CContextSensitiveItemDef	0123227c	20	0044c37a
CBonusItemDef	012322e4	20	0044c390
CHeroTitleDef	0123234c	20	0044c3a6
CTattooDef	012323b4	20	0044c3d4
CHairCardDef	0123241c	20	0044c3ea
CCombatAbilityData	01232484	2	0044c41e
CCombatAbilityData	01232484	3	0044c45b
CCombatAbilityData	01232484	0	0044c45e
CCombatAbilityMeleeAttackData	01232498	3	0044c4a0
CCombatAbilityStrafingData	012324ac	3	0044c4ca
CCombatAbilityProjectileAttackData	012324c0	3	0044c4f8
CCombatAbilityBlockCounterAttackDef	0123253c	20	0044c549
CCombatAbilityFlourishCounterAttackDef	012325a4	20	0044c561
CCombatAbilityGetHitCounterAttackDef	0123260c	20	0044c579
CCombatAbilityStrafeDef	01232674	20	0044c599
CCombatAbilityUseProjectileWeaponDef	012326dc	20	0044c5b9
CDragonActionSwoopDef	01232744	20	0044c5cf
CDragonActionNapalmDef	012327ac	20	0044c5e5
CDragonActionHoverDef	01232814	20	0044c5fb
CAugmentationDef	0123287c	20	0044c611
CAbilityDef	012328e4	20	0044c627
CJackDragonDef	0123294c	20	0044c63d
CBriarRoseDef	012329b4	20	0044c653
CSnowTrollDef	01232a1c	20	0044c669
CGuildMasterDef	01232a84	20	0044c67f
CSummonerDef	01232aec	20	0044c695
CExplosiveTrailDef	01232b54	20	0044c6ab
CGameDefinitionManager	01232c24	2	0044c72b
CThingMultiArrowShotDef	01232bbc	20	0044f619
CSubDefClassBase	01231d54	0	0044f620
CInventoryItemDef	01231dbc	0	0044f65a
CPhysicsDef	01231e34	0	0044f6ba
CTCNoiseDef	01231e9c	0	0044f71b
CCarrySlotDef	01231f04	0	0044f753
CSmashableDef	01231f7c	0	0044f78b
CActionUseDef	0123200c	0	0044f7c3
CHeroMarriageDef	01232074	0	0044f7fe
CSpecialAbilitiesDrainLifeDataDef	012320dc	0	0044f883
CSpecialAbilitiesForcePushDataDef	01232144	0	0044f8c9
CCreatureStatsDef	012321ac	0	0044f90f
CCoopSpiritDef	01232214	0	0044f947
CContextSensitiveItemDef	0123227c	0	0044f98d
CBonusItemDef	012322e4	0	0044f9d3
CHeroTitleDef	0123234c	0	0044fa19
CTattooDef	012323b4	0	0044fa51
CHairCardDef	0123241c	0	0044faba
CCombatAbilityData	01232484	1	0044fadc
CCombatAbilityMeleeAttackData	01232498	0	0044fc80
CCombatAbilityStrafingData	012324ac	0	0044fc9d
CCombatAbilityProjectileAttackData	012324c0	0	0044fcba
CCombatAbilityAttackBase	012324d4	0	0044fcd7
CCombatAbilityBlockCounterAttackDef	0123253c	0	0044fd16
CCombatAbilityFlourishCounterAttackDef	012325a4	0	0044fd55
CCombatAbilityGetHitCounterAttackDef	0123260c	0	0044fd94
CCombatAbilityStrafeDef	01232674	0	0044fdd3
CCombatAbilityUseProjectileWeaponDef	012326dc	0	0044fe12
CDragonActionSwoopDef	01232744	0	0044fe5f
CDragonActionNapalmDef	012327ac	0	0044fea5
CDragonActionHoverDef	01232814	0	0044feeb
CAugmentationDef	0123287c	0	0044ff31
CAbilityDef	012328e4	0	0044ff77
CJackDragonDef	0123294c	0	0044ffbd
CBriarRoseDef	012329b4	0	00450003
CSnowTrollDef	01232a1c	0	00450049
NPlayerGui::CAutoPickupBar	0125a768	11	00450052
NUISystem::CRedefinerList	0124a994	142	00450054
CGuildMasterDef	01232a84	0	0045008f
CSummonerDef	01232aec	0	004500d5
CExplosiveTrailDef	01232b54	0	0045011b
CThingMultiArrowShotDef	01232bbc	0	00450b79
CGameDefinitionManager	01232c24	0	00450be3
CThingMultiArrowShotDef	01232bbc	18	00451ca2
CInventoryItemDef	01231dbc	18	00451d28
CPhysicsDef	01231e34	18	0045212a
CTCNoiseDef	01231e9c	18	00452184
CCarrySlotDef	01231f04	18	00452256
CSmashableDef	01231f7c	18	004522c6
CHeroMarriageDef	01232074	18	00452398
CSpecialAbilitiesDrainLifeDataDef	012320dc	18	00452593
CSpecialAbilitiesForcePushDataDef	01232144	18	004525a3
CVillagePeopleDef	01232c4c	20	004525e3
CCreatureStatsDef	012321ac	18	004525e9
CHitLocationsDef	01232cb4	20	0045266b
CCoopSpiritDef	01232214	18	0045266f
CContextSensitiveItemDef	0123227c	18	004526b3
CBonusItemDef	012322e4	18	0045279b
CHeroTitleDef	0123234c	18	00452884
CTattooDef	012323b4	18	004529ae
CHairCardDef	0123241c	18	00452b04
CCombatAbilityAttackBase	012324d4	18	00452b14
CCombatAbilityStrafeDef	01232674	18	00452b93
CCombatAbilityUseProjectileWeaponDef	012326dc	18	00452bb4
CDragonActionSwoopDef	01232744	18	00452be2
CDragonActionNapalmDef	012327ac	18	00452c94
CDragonActionHoverDef	01232814	18	00452ccd
CAugmentationDef	0123287c	18	00452cdd
CAbilityDef	012328e4	18	00452df1
CJackDragonDef	0123294c	18	00452ea5
CBriarRoseDef	012329b4	18	00452f8e
CSnowTrollDef	01232a1c	18	00453014
CGuildMasterDef	01232a84	18	004530bb
CSummonerDef	01232aec	18	004530dc
CExplosiveTrailDef	01232b54	18	00453178
CThingMultiArrowShotDef	01232bbc	19	004536a9
CInventoryItemDef	01231dbc	19	00453705
CPhysicsDef	01231e34	19	004537a0
CTCNoiseDef	01231e9c	19	004537e4
CCarrySlotDef	01231f04	19	00453810
CSmashableDef	01231f7c	19	00453842
CDegradableDef	01232d1c	20	00453884
CActionUseDef	0123200c	19	00453899
CTargetingDef	01232d84	20	004538e5
CHeroMarriageDef	01232074	19	0045390c
CSpecialAbilitiesDrainLifeDataDef	012320dc	19	00453aae
CSpecialAbilitiesForcePushDataDef	01232144	19	00453ac7
CVillagePeopleDef	01232c4c	0	00453af9
CCreatureStatsDef	012321ac	19	00453b48
CHitLocationsDef	01232cb4	0	00453ba8
CCoopSpiritDef	01232214	19	00453be3
CContextSensitiveItemDef	0123227c	19	00453c1b
CBonusItemDef	012322e4	19	00453c53
CHeroTitleDef	0123234c	19	00453ce5
CTattooDef	012323b4	19	00453d41
CHairCardDef	0123241c	19	00453dc7
CCombatAbilityBlockingData	01232dec	3	00453e16
CCombatAbilityBlockUnarmedAttackDef	01232e6c	20	00453e80
CCombatAbilityBlockLightWeaponAttackDef	01232ed4	20	00453e9a
CCombatAbilityBlockHeavyWeaponAttackDef	01232f3c	20	00453eb4
CCombatAbilityBlockProjectileWeaponAttackDef	01232fa4	20	00453ece
CCombatAbilityFlourishCounterAttackDef	012325a4	19	00453ed2
CCombatAbilityGetHitCounterAttackDef	0123260c	19	00453f3f
CCombatAbilityStrafeDef	01232674	19	00453f5e
CCombatAbilityUseProjectileWeaponDef	012326dc	19	00453f8e
CDragonActionSwoopDef	01232744	19	00453fc4
CDragonActionNapalmDef	012327ac	19	00454038
CDragonActionHoverDef	01232814	19	0045406a
CAugmentationDef	0123287c	19	00454083
CAbilityDef	012328e4	19	004540d3
CJackDragonDef	0123294c	19	004540ec
CBriarRoseDef	012329b4	19	0045417e
CSnowTrollDef	01232a1c	19	004541da
CGuildMasterDef	01232a84	19	00454248
CSummonerDef	01232aec	19	00454267
CExplosiveTrailDef	01232b54	19	004542cf
CDegradableDef	01232d1c	19	0045442f
CDegradableDef	01232d1c	0	004545ee
CSpecialEffectsDef	0123300c	20	00454643
CSpecialEffectsDef	0123300c	0	00454647
CTextureReplacementDef	01233074	20	00454690
CAppearanceModifierDef	012330dc	20	004546d5
CTargetingDef	01232d84	0	0045470e
CVillagePeopleDef	01232c4c	19	0045473a
CHitLocationsDef	01232cb4	19	00454993
CCombatAbilityBlockingData	01232dec	0	004549b2
CCombatAbilityBlockDefBase	01232e04	0	004549ce
CCombatAbilityBlockUnarmedAttackDef	01232e6c	0	00454a00
CCombatAbilityBlockLightWeaponAttackDef	01232ed4	0	00454a32
CCombatAbilityBlockHeavyWeaponAttackDef	01232f3c	0	00454a64
CCombatAbilityBlockProjectileWeaponAttackDef	01232fa4	0	00454a96
CCombatAbilityBlockCounterAttackDef	0123253c	19	00454ab2
CThingBuildingDef	01233144	20	00454b88
CThingBuildingDef	01233144	18	00454b8e
CThingHolySiteDef	012331fc	20	00454dc5
CThingHolySiteDef	012331fc	18	00454dcb
CThingMarkerDef	01233264	20	00454e1b
CThingMarkerDef	01233264	18	00454e21
CThingSwitchDef	012332cc	20	00454f11
CThingSwitchDef	012332cc	18	00454f15
CThingVillageDef	01233334	20	00454f59
CThingVillageDef	01233334	18	00454f5f
CThingPhysicalSwitchDef	0123339c	20	00454fbd
CThingPhysicalSwitchDef	0123339c	18	00454fc3
CInventoryDef	01233404	20	004554a4
CInventoryDef	01233404	0	004554aa
CInventoryCategoryDef	0123346c	20	00455584
CInventoryCategoryDef	0123346c	18	00455588
CInventoryCategoryDef	0123346c	0	0045569c
CMessageEventDef	012334d4	20	004556ca
CMessageEventDef	012334d4	18	004556ce
CMessageEventDef	012334d4	0	0045585a
CSkyDef	0123353c	20	00455893
CSkyDef	0123353c	0	00455899
CEnvironmentDef	012335a4	20	004558d9
CEnvironmentDef	012335a4	18	004558df
CEnvironmentDef	012335a4	0	00455c1d
CEnvironmentThemeDaySetDef	0123360c	20	00455c60
CEnvironmentThemeDaySetDef	0123360c	0	00455c64
CEngineLocalDetailGeneratorDef	01233674	20	00455ca7
CEngineLocalDetailGeneratorDef	01233674	0	00455cab
CMaterialDef	012336dc	20	00455d22
CMaterialDef	012336dc	0	00455d28
CCombatTypeDef	01233744	20	00455ddd
CCombatTypeDef	01233744	0	00455de3
CSimVoicesDef	012337bc	20	00455e8c
CSimVoice	012337ac	0	00455e90
CSoundThemeDef	01233824	20	00455ec6
CSoundThemeDef	01233824	0	00455eca
CThingNoiseDef	0123388c	20	00455f14
CThingNoiseDef	0123388c	18	00455f1a
CPersistContext_TransferableSubComponent	012338fc	0	00455fa0
CPersistContext_TransferableSubComponent	012338fc	1	00455fa8
CPersistContext_TransferableSubComponent	012338fc	2	00455fb4
CCreatureGenerationFamilyDef	0123390c	20	00455ff0
CCreatureGenerationFamilyDef	0123390c	0	00455ff4
CHeroAbilityDef	01233974	20	00456087
CHeroAbilityDef	01233974	0	0045608d
CHeroStatsDef	012339dc	20	0045617c
CHeroStatsDef	012339dc	0	00456182
CTextureReplacementDef	01233074	19	00456244
CTextureReplacementDef	01233074	0	004563ad
CAppearanceModifierDef	012330dc	0	004563fe
CEntitySoundDef	01233a44	20	004564b1
CRegionDef	01233aac	20	004564e5
CFactionDef	01233b14	20	00456511
CFactionDef	01233b14	0	00456515
CCameraModeDef	01233b7c	20	0045655e
CCameraModeDef	01233b7c	18	00456564
CCameraModeDef	01233b7c	0	00456779
CCameraManagerDef	01233be4	20	004567bb
CCameraManagerDef	01233be4	0	004567bf
CCameraManagerSetDef	01233c4c	20	00456814
CCameraManagerSetDef	01233c4c	18	00456818
CCameraManagerSetDef	01233c4c	0	00456851
CHeroPostcardGeneratorDef	01233cb4	20	0045687f
CHeroPostcardGeneratorDef	01233cb4	18	00456883
CHeroPostcardGeneratorDef	01233cb4	0	00456948
CExpressionDef	01233d1c	20	004569a1
CExpressionDef	01233d1c	18	004569a7
CExpressionDef	01233d1c	0	00456cc5
COpinionReactionMaskDef	01233d84	20	00456cfb
COpinionReactionMaskDef	01233d84	0	00456cff
COpinionDeedMaskDef	01233dec	20	00456d3f
COpinionDeedMaskDef	01233dec	0	00456d43
COpinionDeedEffectsDef	01233e54	20	00456d9e
COpinionDeedEffectsDef	01233e54	0	00456da4
CCombatDialogueDef	01233ebc	20	00456df5
CCombatDialogueDef	01233ebc	18	00456dfb
CCombatDialogueDef	01233ebc	0	00456eed
CVillagerInteractionsDef	01233f24	20	00456f23
CVillagerInteractionsDef	01233f24	18	00456f27
CVillagerInteractionsDef	01233f24	0	00456f55
COpinionPersonalityDef	01233f8c	20	00456fb8
COpinionPersonalityDef	01233f8c	0	00456fbc
COpinionSourceDef	01233ff4	20	00457028
COpinionSourceDef	01233ff4	0	0045702e
CSpecialAbilitiesAssassinRushDef	0123405c	20	00457095
CSpecialAbilitiesAssassinRushDef	0123405c	0	0045709b
CSpecialAbilitiesBattleChargeDef	012340c4	20	00457110
CSpecialAbilitiesBattleChargeDef	012340c4	0	00457116
CSpecialAbilitiesMultiStrikeDef	0123412c	20	004571e8
CSpecialAbilitiesMultiStrikeDef	0123412c	0	004571ee
CSpecialAbilitiesMultiArrowDef	01234194	20	00457285
CSpecialAbilitiesMultiArrowDef	01234194	0	0045728b
CSpecialAbilitiesBerserkDef	012341fc	20	004573db
CSpecialAbilitiesBerserkDef	012341fc	0	004573e1
CSpecialAbilitiesBulletTimeDef	01234264	20	004575da
CSpecialAbilitiesBulletTimeDef	01234264	0	004575e0
CSpecialAbilitiesForcePushDef	012342cc	20	004576b9
CSpecialAbilitiesForcePushDef	012342cc	0	004576bf
CSpecialAbilitiesEnflameDef	01234334	20	00457738
CSpecialAbilitiesEnflameDef	01234334	0	0045773e
CSpecialAbilitiesPhysicalShieldDef	0123439c	20	00457829
CSpecialAbilitiesPhysicalShieldDef	0123439c	0	0045782f
CSpecialAbilitiesDrainLifeDef	01234404	20	00457916
CSpecialAbilitiesDrainLifeDef	01234404	0	0045791a
CSpecialAbilitiesHealLifeDef	0123446c	20	004579a2
CSpecialAbilitiesHealLifeDef	0123446c	0	004579a6
