address	name	module	calling_convention	return_type	parameter_count	parameter_types	evidence
0044c6b0	CGameDefinitionManager::Get	CGameDefinitionManager	__fastcall	CGameDefinitionManager &	0		exact donor signature hash beecacd95ec05f6d and decorated ?Get@CGameDefinitionManager@@SIAAV1@XZ; retail returns DAT_013b879c
00493b5b	CMessageEventManager::RemoveMessage	CMessageEventManager	__thiscall	void	2	CMessageEventManager *,CMessageEvent const *	retail walks the manager list at +4 and erases the node whose embedded event address matches; donor PDB ?RemoveMessage@CMessageEventManager@@QAEXPBVCMessageEvent@@@Z
004af990	CQuestManager::SetObjectiveAsFailed	CQuestManager	__thiscall	void	2	CQuestManager *,ulong	retail body stores objective state 2; TellHeroQuestObjectiveFailed at 00891810 tail-jumps here, versus completed state 1 at 004af960
004b1720	CQuestManager::AddBoast	CQuestManager	__thiscall	void	8	CQuestManager *,CCharString const &,CCharString const &,long,long,long,bool,long	retail wrapper 00893060 calls this on DAT_013b89fc; donor PDB ?AddBoast@CQuestManager@@QAEXABVCCharString@@0JJJ_NJ@Z
004b3900	CQuestManager::AddQuestRegion	CQuestManager	__thiscall	void	3	CQuestManager *,CCharString const &,CRegion const *	retail wrapper 00891820 tail-jumps here; donor PDB ?AddQuestRegion@CQuestManager@@QAEXABVCCharString@@PBVCRegion@@@Z
004fc180	CWorldMap::GetRegion	CWorldMap	__thiscall	CRegion &	2	CWorldMap *,long	retail returns regions-base + index*0x58; AddQuestRegion wrapper obtains the region number then calls this method
0063a9e0	CWorldMap::SetThemeBlendAtBlock	CWorldMap	__thiscall	void	5	CWorldMap *,C2DCoordI const &,uchar,ulong,EThemePaintType	Ego_r PDB ?SetThemeBlendAtBlock@CWorldMap@@QAEXABVC2DCoordI@@EKW4EThemePaintType@@@Z plus retail call to CMap::SetEngineBlendAt
00644e80	NPlayerGui::CDrawQuestInfo::UpdateCounterList	CDrawQuestInfo	__thiscall	void	4	CDrawQuestInfo *,long,long,long	UpdateQuestInfoCounterList at 00891be0 tail-jumps here; donor PDB names the corresponding CDrawQuestInfo method UpdateCounterList
006b3800	CEnvironment::TransitionToTheme	CEnvironment	__thiscall	void	5	CEnvironment *,long,long,long,float	retail ret 0x10 body consumes internal/channel/theme/blend arguments; donor PDB overload ?TransitionToTheme@CEnvironment@@QAEXJJJM@Z
008aea40	AddGossipFactionToCategory_Impl	_global	__stdcall	void	2	CCharString,CCharString	retail wrapper 008a9e60 constructs two 4-byte CCharString value arguments; callee consumes both with ret 8 and inserts into the gossip-faction category map
00beaaa0	CEngineScreenEffectOutlineGlow::~CEngineScreenEffectOutlineGlow	CEngineScreenEffectOutlineGlow	__thiscall	void	1	CEngineScreenEffectOutlineGlow *	retail body plus scalar-deleting wrapper at 00beb4d0
00beb4d0	CEngineScreenEffectOutlineGlow::ScalarDeletingDestructor	CEngineScreenEffectOutlineGlow	__thiscall	CEngineScreenEffectOutlineGlow *	2	CEngineScreenEffectOutlineGlow *,uint	retail flag test/free/return-this deleting-destructor shape
00bebed0	CEnginePrimitiveManagerMeshBase::GetComposedTexture	CEnginePrimitiveManagerMeshBase					generated qualified definition agrees with static/fastcall engine helper cluster
00bec000	CEnginePrimitiveManagerMeshBase::PreloadDiffuseTexture	CEnginePrimitiveManagerMeshBase					generated qualified definition agrees with static/fastcall engine helper cluster
00bec470	CEnginePrimitiveManagerMeshBase::PreloadBumpTexture	CEnginePrimitiveManagerMeshBase					generated qualified definition agrees with static/fastcall engine helper cluster
00bec950	CEnginePrimitiveManagerMeshBase::GetOverlaidTextures	CEnginePrimitiveManagerMeshBase					generated qualified definition agrees with static/fastcall engine helper cluster
00bf5c20	CEngineLandscapeRenderer::GetForegroundVertexShader	CEngineLandscapeRenderer	__thiscall	CVertexShader &	2	CEngineLandscapeRenderer *,long	retail embedded-vector body matches the donor PDB GetForegroundVertexShader family member
00bf5c60	CEngineLandscapeRenderer::GetForegroundSpotLightVertexShader	CEngineLandscapeRenderer	__thiscall	CVertexShader &	2	CEngineLandscapeRenderer *,long	retail embedded-vector body matches the donor PDB GetForegroundSpotLightVertexShader family member
00bf5ca0	CEngineLandscapeRenderer::GetForegroundShadowedVertexShader	CEngineLandscapeRenderer	__thiscall	CVertexShader &	2	CEngineLandscapeRenderer *,long	retail pointer-vector body at first consecutive field matches donor PDB GetForegroundShadowedVertexShader
00bf5cd0	CEngineLandscapeRenderer::GetForegroundBumpShadowedVertexShader	CEngineLandscapeRenderer	__thiscall	CVertexShader &	2	CEngineLandscapeRenderer *,long	retail pointer-vector body at second consecutive field matches donor PDB GetForegroundBumpShadowedVertexShader
00bf5d00	CEngineLandscapeRenderer::GetForegroundSpotShadowedVertexShader	CEngineLandscapeRenderer	__thiscall	CVertexShader &	2	CEngineLandscapeRenderer *,long	retail pointer-vector body at third consecutive field matches donor PDB GetForegroundSpotShadowedVertexShader
00a65d30	CMemoryAllocatorFixedSize::ConsolidateFreeAreas	CMemoryAllocatorFixedSize	__thiscall	void	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?ConsolidateFreeAreas@CMemoryAllocatorFixedSize@@UAEXXZ
00a65d40	CMemoryAllocatorFixedSize::GetAllocationSize	CMemoryAllocatorFixedSize	__thiscall	ulong	2	CMemoryAllocatorFixedSize *,void *	MSVC decorated symbol ?GetAllocationSize@CMemoryAllocatorFixedSize@@UAEKPAX@Z
00a65d50	CMemoryAllocatorFixedSize::GetTotalMemoryControlledByAllocator	CMemoryAllocatorFixedSize	__thiscall	ulong	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?GetTotalMemoryControlledByAllocator@CMemoryAllocatorFixedSize@@UAEKXZ
00a65d70	CMemoryAllocatorFixedSize::GetHeaderOverhead	CMemoryAllocatorFixedSize	__thiscall	ulong	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?GetHeaderOverhead@CMemoryAllocatorFixedSize@@UAEKXZ
00a65da0	CMemoryAllocatorFixedSize::GetTotalMemoryAllocated	CMemoryAllocatorFixedSize	__thiscall	ulong	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?GetTotalMemoryAllocated@CMemoryAllocatorFixedSize@@UAEKXZ
00a65de0	CMemoryAllocatorFixedSize::GetAllocationSizeIncludingHeader	CMemoryAllocatorFixedSize	__thiscall	ulong	2	CMemoryAllocatorFixedSize *,void *	MSVC decorated symbol ?GetAllocationSizeIncludingHeader@CMemoryAllocatorFixedSize@@UAEKPAX@Z
00a65df0	CMemoryAllocatorFixedSize::GetLargestFreeAreaSize	CMemoryAllocatorFixedSize	__thiscall	ulong	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?GetLargestFreeAreaSize@CMemoryAllocatorFixedSize@@UAEKXZ
00a65e20	CMemoryAllocatorFixedSize::GetNoFreeAreas	CMemoryAllocatorFixedSize	__thiscall	ulong	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?GetNoFreeAreas@CMemoryAllocatorFixedSize@@UAEKXZ
00a65e50	CMemoryAllocatorFixedSize::GetNoAllocatedAreas	CMemoryAllocatorFixedSize	__thiscall	ulong	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?GetNoAllocatedAreas@CMemoryAllocatorFixedSize@@UAEKXZ
00a65ff0	CMemoryAllocatorFixedSize::CMemoryAllocatorFixedSize	CMemoryAllocatorFixedSize	__thiscall	void	7	CMemoryAllocatorFixedSize *,void *,ulong,ulong,ulong,ulong,ulong	constructor identity plus existing recovered thiscall parameter list
00a662a0	CMemoryAllocatorFixedSize::Deallocate	CMemoryAllocatorFixedSize	__thiscall	void	2	CMemoryAllocatorFixedSize *,void *	MSVC decorated symbol ?Deallocate@CMemoryAllocatorFixedSize@@UAEXPAX@Z
00a66450	CMemoryAllocatorFixedSize::Allocate	CMemoryAllocatorFixedSize	__thiscall	void *	2	CMemoryAllocatorFixedSize *,ulong	MSVC decorated symbol ?Allocate@CMemoryAllocatorFixedSize@@UAEPAXK@Z
00a66550	CMemoryAllocatorFixedSize::GetFragmentation	CMemoryAllocatorFixedSize	__thiscall	float	1	CMemoryAllocatorFixedSize *	MSVC decorated symbol ?GetFragmentation@CMemoryAllocatorFixedSize@@UAEMXZ
00ab5d00	CMouseDX::CMouseDX	CMouseDX	__thiscall	void	3	CMouseDX *,CInputManagerDX *,bool	constructor identity plus existing recovered thiscall parameter list
00b676a0	CEngineLandscapeRenderer::OnReleaseDefaultPoolResources	CEngineLandscapeRenderer	__thiscall	void	1	CEngineLandscapeRenderer *	MSVC decorated symbol ?OnReleaseDefaultPoolResources@CEngineLandscapeRenderer@@UAEXXZ
00b6b0b0	CEngineLandscapeRenderer::Render	CEngineLandscapeRenderer	__thiscall	void	2	CEngineLandscapeRenderer *,CEngineComponentRenderParams const &	MSVC decorated symbol ?Render@CEngineLandscapeRenderer@@UAEXABVCEngineComponentRenderParams@@@Z
00b6ca10	CEngineLandscapeRenderer::PeekSceneFilterFlags	CEngineLandscapeRenderer	__thiscall	ulong	1	CEngineLandscapeRenderer *	MSVC decorated symbol ?PeekSceneFilterFlags@CEngineLandscapeRenderer@@UBEKXZ
00bdc130	CEngineLandscapeMap::RelocateData	CEngineLandscapeMap	__thiscall	void	5	CEngineLandscapeMap *,long,void *,void *,long	MSVC decorated symbol ?RelocateData@CEngineLandscapeMap@@EAEXJPAX0J@Z
00bf3840	CEngineLandscapePatch::CanRelocateData	CEngineLandscapePatch	__thiscall	bool	2	CEngineLandscapePatch *,long	MSVC decorated symbol ?CanRelocateData@CEngineLandscapePatch@@EBE_NJ@Z
00bf3980	CEngineLandscapePatch::RelocateData	CEngineLandscapePatch	__thiscall	void	5	CEngineLandscapePatch *,long,void *,void *,long	MSVC decorated symbol ?RelocateData@CEngineLandscapePatch@@EAEXJPAX0J@Z
00b891b0	CEngineScreenEffectOutlineGlow::CEngineScreenEffectOutlineGlow	CEngineScreenEffectOutlineGlow	__thiscall	void	2	CEngineScreenEffectOutlineGlow *,CEngineInit *	constructor identity plus existing recovered thiscall parameter list
00bdc140	CEngineLandscapeMap::CanRelocateData	CEngineLandscapeMap	__thiscall	bool	2	CEngineLandscapeMap *,long	MSVC decorated symbol ?CanRelocateData@CEngineLandscapeMap@@EBE_NJ@Z
00bdd2f0	CEngineLandscapeMap::CEngineLandscapeMap	CEngineLandscapeMap	__thiscall	void	3	CEngineLandscapeMap *,CEngineMap *,long	constructor identity plus existing recovered thiscall parameter list
00be5d80	CLandscapeBackgroundPatch::OnPostRelocation	CLandscapeBackgroundPatch	__thiscall	void	1	CLandscapeBackgroundPatch *	MSVC decorated symbol ?OnPostRelocation@CLandscapeBackgroundPatch@@UAEXXZ
00be5e50	CLandscapeBackgroundPatch::CanRelocateData	CLandscapeBackgroundPatch	__thiscall	bool	2	CLandscapeBackgroundPatch *,long	MSVC decorated symbol ?CanRelocateData@CLandscapeBackgroundPatch@@UBE_NJ@Z
00be5e70	CLandscapeBackgroundPatch::CLandscapeBackgroundPatch	CLandscapeBackgroundPatch	__thiscall	void	16	CLandscapeBackgroundPatch *,CLandscapeBackgroundTreeNode *,float,float,long,long,long,long,long,long,long,CSubPatchTreeLODLockElement *,CSubPatchTreeLODLockElement *,long,long,long	constructor identity plus existing recovered thiscall parameter list
00be5fa0	CLandscapeBackgroundPatch::CLandscapeBackgroundPatch	CLandscapeBackgroundPatch	__thiscall	void	2	CLandscapeBackgroundPatch *,CLandscapeBackgroundTreeNode *	constructor identity plus existing recovered thiscall parameter list
00be61b0	CLandscapeBackgroundPatch::UpdateTesselation	CLandscapeBackgroundPatch	__thiscall	void	1	CLandscapeBackgroundPatch *	MSVC decorated symbol ?UpdateTesselation@CLandscapeBackgroundPatch@@UAEXXZ
00be63f0	CLandscapeBackgroundPatch::InvalidateEdge	CLandscapeBackgroundPatch	__thiscall	void	5	CLandscapeBackgroundPatch *,long,long,long,LANDSCAPE_EDGE_STRIP_SIDE	MSVC decorated symbol ?InvalidateEdge@CLandscapeBackgroundPatch@@UAEXJJJW4LANDSCAPE_EDGE_STRIP_SIDE@@@Z
00be8db0	CLandscapeBackgroundPatch::OnPostParentRelocation	CLandscapeBackgroundPatch	__thiscall	void	2	CLandscapeBackgroundPatch *,CLandscapeBackgroundTreeNode *	MSVC decorated symbol ?OnPostParentRelocation@CLandscapeBackgroundPatch@@UAEXPAVCLandscapeBackgroundTreeNode@@@Z
00be8dc0	CLandscapeBackgroundPatch::IsPatch	CLandscapeBackgroundPatch	__thiscall	bool	1	CLandscapeBackgroundPatch *	MSVC decorated symbol ?IsPatch@CLandscapeBackgroundPatch@@EAE_NXZ
00bf6b40	CLandscapeBackgroundTreeNode::RelocateData	CLandscapeBackgroundTreeNode	__thiscall	void	5	CLandscapeBackgroundTreeNode *,long,void *,void *,long	MSVC decorated symbol ?RelocateData@CLandscapeBackgroundTreeNode@@EAEXJPAX0J@Z
00bf6b50	CLandscapeBackgroundTreeNode::CanRelocateData	CLandscapeBackgroundTreeNode	__thiscall	bool	2	CLandscapeBackgroundTreeNode *,long	MSVC decorated symbol ?CanRelocateData@CLandscapeBackgroundTreeNode@@EBE_NJ@Z
00bf6e20	CLandscapeBackgroundTreeNode::CLandscapeBackgroundTreeNode	CLandscapeBackgroundTreeNode	__thiscall	void	4	CLandscapeBackgroundTreeNode *,CEngineLandscapeMap *,CLandscapeBackgroundTreeNode *,long	constructor identity plus existing recovered thiscall parameter list
00401296	__onexit	_global	__cdecl	void	1	_onexit_t	retail 38-byte CRT dispatch body plus checker PASS and focused branch oracle
0040135c	__setdefaultprecision	_global	__cdecl	void	0		retail _controlfp(0x10000,0x30000) body plus focused control-word oracle
00406770	$E2	_global	__stdcall	void	1	void *	retail c2 04 00 body is a byte-identical stdcall cleanup thunk
0040e170	Array_LinearSearchInt	_global	__fastcall	int *	3	int *,int *,int *	retail unrolled linear-search body plus exhaustive 0-to-9 element behavior oracle
00401356	initterm	_global	__cdecl	void	2	void *,void *	MSVCR71 _initterm import-thunk ABI plus byte-identical ff 25 90 01 44 01 body
004013c7	__SEH_epilog	_global	__cdecl	void	0		retail internal SEH epilog semantics plus byte-identical 17-byte naked body
004013de	__dllonexit	_global	__cdecl	_onexit_t	3	_onexit_t,_onexit_t **,_onexit_t **	MSVCR71 __dllonexit import-thunk ABI plus byte-identical ff 25 74 01 44 01 body
0040e130	Vector_FreeElements	_global	__stdcall	void	2	void **,void **	retail loop/free semantics plus focused allocation oracle and 43-byte relocation-masked match
004012ce	__RTC_Initialize	_global	__cdecl	void	0		retail initializer-range loop plus ordered sparse-callback behavior oracle
00403c60	MemCmp_Unsigned16	_global	__cdecl	int	3	ushort const *,ushort const *,ulong	retail unsigned-16 comparison loop plus equal/less/greater behavior oracle
00404280	WideString_EqualsLen	_global	__cdecl	int	2	WideStringRange const *,ushort const *	retail length and MemCmp_Unsigned16 call shape plus length/match/mismatch oracle
00404690	std_list_node_Init	_global	__fastcall	void **	3	void **,void *,void *	retail ECX nodeRef plus one ignored EDX and one ignored stack slot proven by ret 4; circular-node oracle
004046f0	ListNode_Create_Circular	_global	__fastcall	void **	3	void **,void *,void *	retail ECX nodeRef plus one ignored EDX and one ignored stack slot proven by ret 4; circular-node oracle
00405ba0	Std_Move_Backward	_global	__fastcall	void *	3	void *,void *,void *	retail memmove/end-pointer semantics plus empty/copy/overlap oracle
0040138c	__SEH_prolog	_global	__cdecl	void	2	ulong,long	Visual Studio library-function identity plus byte-exact naked SEH frame setup
00404310	CCharString_ComputeCRC32	_global	__fastcall	ulong	1	CCharStringOverlay *	retail ECX string overlay, zero-seed CCRC::Calc forwarding, and preserved EAX CRC result
00404a90	$E2	_global	__cdecl	void	0		retail 19-store static initializer plus complete global-value behavior oracle
0040bb90	CUserProfileManager_SaveAndCleanup	_global	__fastcall	void	1	CUserProfileManager *	retail offset flow plus save, cursor-advance, block-rollover, and free behavior oracle
00a77480	JoinNavigationLayers	CNavQuadTree	__thiscall	void	1	CNavQuadTree *	Ego_r private PDB exact symbol; curated VC7.1 body is 117-byte relocation-normalized retail match
00a77500	VerifyTransitionPoints	CNavQuadTree	__thiscall	void	1	CNavQuadTree *	Ego_r private PDB exact symbol; curated VC7.1 body is 53-byte relocation-normalized retail match
00a793d0	ConnectVerticalMapEdge	CNavQuadTree	__thiscall	void	4	CNavQuadTree *,float,float,CNavigatorManager const &	Decorated donor symbol AAEXMMABVCNavigatorManager proves const reference; parameter names this_map_x/adjacent_map_x/nav_manager
00a79680	ConnectVerticalMapEdge	CNavQuadTree	__thiscall	void	4	CNavQuadTree *,float,float,CNavigatorManager const &	Decorated donor symbol AAEXMMABVCNavigatorManager proves const reference; parameter names this_map_x/adjacent_map_x/nav_manager
00a7a650	LinkToNeighbouringMaps	CNavQuadTree	__thiscall	void	2	CNavQuadTree *,CNavigatorManager const &	Decorated retail/donor symbol QAEXABVCNavigatorManager proves const reference; llvm-pdbutil pretty output drops this qualifier
00a7a8d0	Initialise	CNavQuadTree	__thiscall	void	2	CNavQuadTree *,CNavigationAreaInit &	Ego_r private PDB exact symbol: void CNavQuadTree::Initialise(CNavigationAreaInit& init)
00a76f30	IsAreaBlockedByLines	CNavQuadTree	__thiscall	bool	3	CNavQuadTree *,C2DBoxF &,vector<std::list<C2DLineF,std::allocator<C2DLineF> > const *,std::allocator<std::list<C2DLineF,std::allocator<C2DLineF> > const *> > &	Ego_r private PDB exact symbol and reference-qualified parameters
00a781a0	UpdateLines	CNavQuadTree	__thiscall	void	4	CNavQuadTree *,vector<std::list<C2DLineF,std::allocator<C2DLineF> >,std::allocator<std::list<C2DLineF,std::allocator<C2DLineF> > > > &,vector<C2DLineF,std::allocator<C2DLineF> > &,C2DBoxI &	Ego_r private PDB exact symbol and reference-qualified parameters
