class	offset	donor_type	donor_name	donor_size	retail_type	retail_name	retail_size	verdict	evidence
CAIBrain	0x28	CVectorMap<long,CAIStateGroupBase_*,CKeyPairCompareGreater<long,CAIStateGroupBase_*>_>	StateGroupList	20	CAIStateGroupEntry*	StateGroupListBegin	4	CONTAINED	CAIBrain_SetAllStateGroupsEnabled_0088b8c0.cpp
CAIBrain	0x2c	CVectorMap<long,CAIStateGroupBase_*,CKeyPairCompareGreater<long,CAIStateGroupBase_*>_>	StateGroupList	20	CAIStateGroupEntry*	StateGroupListEnd	4	CONTAINED	CAIBrain_SetAllStateGroupsEnabled_0088b8c0.cpp
CAIStateGroupBase	0x4	CAIBrain*	PBrain	4	CHolder*	holder	4	AGREE	CAIStateGroupBase_PeekWorldMap_008fcff0.cpp
CAIStateGroupBase	0x4	CAIBrain*	PBrain	4	Inner*	p	4	AGREE	CAIStateGroupBase_GetPWorldSeed_008fcfd0.cpp
CAIStateGroup_ApprenticeHero	0x14	long	NextFramePractice	4	int	f14	4	AGREE	CAIStateGroupApprenticeHero_InitStateGroup_00929e80.cpp
CAIStateGroup_ApprenticeHero	0x18	CThingGameObject*	PDummy	4	int	f18	4	AGREE_KIND_SOFT	CAIStateGroupApprenticeHero_InitStateGroup_00929e80.cpp
CAIStateGroup_ApprenticeHero	0x20	CThingAICreature*	PracticeOpponent	4	int	f20	4	AGREE_KIND_SOFT	CAIStateGroupApprenticeHero_InitStateGroup_00929e80.cpp
CAIStateGroup_ApprenticeHero	0x2d	bool	Critical	1	unsigned char	b2d	1	AGREE	CAIStateGroupApprenticeHero_InitStateGroup_00929e80.cpp
CAIStateGroup_BalverineCornered	0x24	unsigned long	TimeOfLastJump	4	unsigned long	f	4	AGREE	CAIStateGroupBalverineCornered_InitStateGroup_0094f080.cpp
CAIStateGroup_BalverineJumpAtFleeingEnemy	0x1c	long	WaitUntilWorldFrameForNextAttempt	4	unsigned long	f	4	AGREE	CAIStateGroupBalverineJumpAtFleeingEnemy_InitStateGroup_0094f170.cpp
CAIStateGroup_BanditGossip	0x24	bool	WasCarryingWeapon	1	char	flag	1	AGREE	CAIStateGroupBanditGossip_OnReplaceCAIStateGroupBanditGossipMAEXXZ_0090e590.cpp
CAIStateGroup_BanditGossip	0x4	unsigned char	_pad_0x04	4	long	owner	4	RETAIL_ONLY	previous header
CAIStateGroup_BanditGossip	0x4	unsigned char	_pad_0x04	4	void**	owner	4	RETAIL_ONLY	CAIStateGroupBanditGossip_OnReplaceCAIStateGroupBanditGossipMAEXXZ_0090e590.cpp
CAIStateGroup_BanditKingLunge	0x1c	long	TimeOfLastLunge	4	long	TimeOfLastLunge	4	AGREE	CAIStateGroupBanditKingLunge_BanditKingLungeInitialise_009612e0.cpp
CAIStateGroup_BirdGroundWander	0x14	unsigned long	FrameLastFinishedWalking	4	int	f14	4	AGREE	CAIStateGroupBirdGround_Cleanup_009143c0.cpp
CAIStateGroup_BuyFromSeller	0x14	long	FrameLastBought	4	int	field14	4	AGREE	CAIStateGroupBuyFromSeller_ShouldBuyFromSeller_00919a10.cpp
CAIStateGroup_Clean	0x14	bool	Cleaning	1	unsigned char	b14	1	AGREE	CAIStateGroupClean_InitStateGroup_009174d0.cpp
CAIStateGroup_Clean	0x15	bool	KneelingIntoCleaning	1	unsigned char	b15	1	AGREE	CAIStateGroupClean_InitStateGroup_009174d0.cpp
CAIStateGroup_Clean	0x20	float	GroundFloorZPos	4	int	f20	4	CONFLICT	CAIStateGroupClean_InitStateGroup_009174d0.cpp
CAIStateGroup_Clean	0x24	bool	Initialised	1	unsigned char	b24	1	AGREE	CAIStateGroupClean_InitStateGroup_009174d0.cpp
CAIStateGroup_CleanHouse	0x4	unsigned char	_base_0x04	36	P*	f4	4	RETAIL_ONLY	CAIStateGroupCleanHouse_GetBuilding_00917ad0.cpp
CAIStateGroup_CleanHouse	0x4	unsigned char	_base_0x04	36	long	f4	4	RETAIL_ONLY	previous header
CAIStateGroup_CreatureRangedCombat2	0x1c	bool	AddedStrafe	1	unsigned char	m_flag	1	AGREE	CAIStateGroupCreatureRangedCombat2_InitStateGroup_0091e970.cpp
CAIStateGroup_CreatureUseCoverBase	0x1e	bool	TimingCritical	1	char	flag1e	1	AGREE	CAIStateGroupCreatureUseCoverBase_CreatureUseCoverBaseInit_00970600.cpp
CAIStateGroup_CreatureUseCoverBase	0x34	vector<CIntelligentPointer<CThing>,std::allocator<CIntelligentPointer<CThing>_>_>	CoverList	16	char	flag34	1	CONTAINED	CAIStateGroupCreatureUseCoverBase_CreatureUseCoverBaseInit_00970600.cpp
CAIStateGroup_CreatureUseCoverBase	0x38	bool	FailedToFindCover	1	unsigned long	value38	4	CONFLICT	CAIStateGroupCreatureUseCoverBase_CreatureUseCoverBaseInit_00970600.cpp
CAIStateGroup_Drunk	0x14	long	FrameToNextTalkToSelf	4	unsigned long	f	4	AGREE	CAIStateGroupDrunk_InitStateGroup_00922530.cpp
CAIStateGroup_EatAtHome	0x4	unsigned char	_base_0x04	72	P*	f4	4	RETAIL_ONLY	CAIStateGroupEatAtHome_GetBuilding_0096cb20.cpp
CAIStateGroup_EatAtHome	0x4	unsigned char	_base_0x04	72	long	f4	4	RETAIL_ONLY	previous header
CAIStateGroup_EatAtTable	0x48	float	Duration	4	unsigned long	f	4	CONFLICT	CAIStateGroupEatAtTable_InitStateGroup_0096c870.cpp
CAIStateGroup_FollowPlayer	0x18	CIntelligentPointer<CThingPlayerCreature>	Player	8	float	f1c	4	CONTAINED	CAIStateGroupFollowPlayer_OnActivateCAIStateGroupFollowPlayerUAEXXZ_0094ef70.cpp
CAIStateGroup_GameMaster	0x0	void*	__vftable	4	char	p	4	AGREE_KIND_SOFT	CAIStateGroupGameMaster_OnActivate_0094c7b0.cpp
CAIStateGroup_GameMaster	0x4	unsigned char	_pad_0x04	4	A*	f4	4	RETAIL_ONLY	CAIStateGroupGameMaster_OnActivate_0094c7b0.cpp
CAIStateGroup_GameMaster	0x8	unsigned char	_pad_0x08	4	char	pac	164	CONFLICT	CAIStateGroupGameMaster_OnActivate_0094c7b0.cpp
CAIStateGroup_GameMaster	0xac	bool	WasAllowedToFollowPlayer	1	unsigned char	fac	1	AGREE	CAIStateGroupGameMaster_OnActivate_0094c7b0.cpp
CAIStateGroup_GazeAtHome	0x4	unsigned char	_base_0x04	44	P*	f4	4	RETAIL_ONLY	CAIStateGroupGazeAtHome_GetOwner_00919000.cpp
CAIStateGroup_GazeAtHome	0x4	unsigned char	_base_0x04	44	long	f4	4	RETAIL_ONLY	previous header
CAIStateGroup_GazeAtWork	0x4	unsigned char	_base_0x04	44	P*	f4	4	RETAIL_ONLY	CAIStateGroupGazeAtWork_GetOwner_00919020.cpp
CAIStateGroup_GazeAtWork	0x4	unsigned char	_base_0x04	44	long	f4	4	RETAIL_ONLY	previous header
CAIStateGroup_HoverHornetQueen	0x60	vector<CIntelligentPointer<CThing>,std::allocator<CIntelligentPointer<CThing>_>_>	CircleMarkers	16	unsigned char	f	1	CONTAINED	CAIStateGroupHoverHornetQueen_IsTimingCritical_0090313b.cpp
CAIStateGroup_HoverHornetQueenTakeDamage	0x20	long	RangeAttackCount	4	unsigned long	f	4	AGREE	CAIStateGroupHoverHornetQueenTakeDamage_OnReplace_0095a3b0.cpp
CAIStateGroup_JackDragon	0x4c	long	FrameOfLastSlam	4	int	timerA	4	AGREE	CAIStateGroupJackDragon_ResetTimers_0094f9e0.cpp
CAIStateGroup_JackDragon	0x50	long	FrameWhenLastInRange	4	int	timerB	4	AGREE	CAIStateGroupJackDragon_ResetTimers_0094f9e0.cpp
CAIStateGroup_JackDragon	0x58	long	FramesInSnapRange	4	int	flag	4	AGREE	CAIStateGroupJackDragon_ResetTimers_0094f9e0.cpp
CAIStateGroup_KidHurtSelfRunToMother	0x14	bool	AddedSadMode	1	unsigned char	f	1	AGREE	CAIStateGroupKidHurtSelfRunToMother_OnActivate_00914ef0.cpp
CAIStateGroup_KidWatchHopscotch	0x0	void*	__vftable	4	char	p	48	CONFLICT	CAIStateGroupKidWatchHopscotch_OnActivateCAIStateGroupKidWatchHopscotchMAEXXZ_00940bd0.cpp
CAIStateGroup_KidWatchHopscotch	0x30	long	StartFrame	4	int	f30	4	AGREE	CAIStateGroupKidWatchHopscotch_OnActivateCAIStateGroupKidWatchHopscotchMAEXXZ_00940bd0.cpp
CAIStateGroup_KidWatchHopscotch	0x34	long	FramesPerMin	4	char	p2	8	CONFLICT	CAIStateGroupKidWatchHopscotch_OnActivateCAIStateGroupKidWatchHopscotchMAEXXZ_00940bd0.cpp
CAIStateGroup_KidWatchHopscotch	0x3c	long	ActivationCount	4	int	f3c	4	AGREE	CAIStateGroupKidWatchHopscotch_OnActivateCAIStateGroupKidWatchHopscotchMAEXXZ_00940bd0.cpp
CAIStateGroup_LightHomeCandle	0x4	unsigned char	_pad_0x04	4	P*	f4	4	RETAIL_ONLY	CAIStateGroupLightHomeCandle_GetBuilding_00946650.cpp
CAIStateGroup_LightHomeCandle	0x4	unsigned char	_pad_0x04	4	long	f4	4	RETAIL_ONLY	previous header
CAIStateGroup_LightWorkCandle	0x4	unsigned char	_base_0x04	24	P*	f4	4	RETAIL_ONLY	CAIStateGroupLightWorkCandle_GetBuilding_00946670.cpp
CAIStateGroup_LightWorkCandle	0x4	unsigned char	_base_0x04	24	long	f4	4	RETAIL_ONLY	previous header
CAIStateGroup_MazeBase	0x0	void*	__vftable	4	char	p	20	CONFLICT	CAIStateGroupMazeBase_HasEnemyBeenKnockedDown_00954130.cpp
CAIStateGroup_MazeBase	0x14	CIntelligentPointer<CThing>	PTargetThing	8	char	s14	1	CONTAINED	CAIStateGroupMazeBase_HasEnemyBeenKnockedDown_00954130.cpp
CAIStateGroup_MinionBehaviourPodiumEmoteNeutral	0x44	float	TriggerTime	4	unsigned long	f	4	CONFLICT	CAIStateGroupMinionBehaviourPodiumEmoteNeutral_InitLeaf_0096f490.cpp
CAIStateGroup_MinionBehaviourSad	0x0	void*	__vftable	4	char	p24	36	CONFLICT	CAIStateGroupMinionBehaviourSad_CleanupLeafCAIStateGroupMinionBehaviourSadUAEXXZ_0096f030.cpp
CAIStateGroup_MinionBehaviourSad	0x24	unsigned char	_pad_0x24	4	Sub*	f24	4	RETAIL_ONLY	CAIStateGroupMinionBehaviourSad_CleanupLeafCAIStateGroupMinionBehaviourSadUAEXXZ_0096f030.cpp
CAIStateGroup_MinionBehaviourSad	0x28	unsigned char	_pad_0x28	4	char	p28	20	CONFLICT	CAIStateGroupMinionBehaviourSad_CleanupLeafCAIStateGroupMinionBehaviourSadUAEXXZ_0096f030.cpp
CAIStateGroup_MinionBehaviourSad	0x3c	bool	Mourning	1	bool	m_ran	1	AGREE	CAIStateGroupMinionBehaviourSad_IsRunnableLeafCAIStateGroupMinionBehaviourSadUAE_0096f240.cpp
CAIStateGroup_MinionBehaviourSad	0x3c	bool	Mourning	1	char	f3c	1	AGREE	CAIStateGroupMinionBehaviourSad_CleanupLeafCAIStateGroupMinionBehaviourSadUAEXXZ_0096f030.cpp
CAIStateGroup_MinionGossip	0x18	bool	Critical	1	char	field	1	AGREE	CAIStateGroupMinionGossip_IsTimingCritical_008fd3dc.cpp
CAIStateGroup_MinionGuardReactToBribe	0x1c	long	FrameLastReactedToReceiveing	4	unsigned long	f	4	AGREE	CAIStateGroupMinionGuardReactToBribe_InitStateGroup_00933300.cpp
CAIStateGroup_MinionGuardReactToCriminal	0x14	CIntelligentPointer<CThingPlayerCreature>	PHero	8	char	sub	4	CONTAINED	CAIStateGroupMinionGuardReactToCriminal_IsStillValid_00932980.cpp
CAIStateGroup_MinionKidGroupTag	0x18	CTCCreatureGroupTag*	PTCGroupTag	4	Inner*	inner	4	AGREE	CAIStateGroupMinionKidGroupTag_IsStillValid_00934100.cpp
CAIStateGroup_MinionReactToCrime	0x14	long	OpinionDeedHandle	4	int	f14	4	AGREE	CAIStateGroupMinionReactToCrime_InitStateGroup_00958760.cpp
CAIStateGroup_MinionReactToCrime	0x18	bool	GuardTold	1	unsigned char	b18	1	AGREE	CAIStateGroupMinionReactToCrime_InitStateGroup_00958760.cpp
CAIStateGroup_MinionReactToCrime	0x19	bool	AllowDuplicateReactToCrime	1	unsigned char	b19	1	AGREE	CAIStateGroupMinionReactToCrime_InitStateGroup_00958760.cpp
CAIStateGroup_MinionReactToCriminal	0x24	long	FrameLastLeftStategroup	4	unsigned long	f24	4	AGREE	CAIStateGroupMinionReactToCriminal_InitStateGroup_00930d70.cpp
CAIStateGroup_MinionReactToCriminal	0x2c	bool	OverrodeLocking	1	unsigned char	f2c	1	AGREE	CAIStateGroupMinionReactToCriminal_InitStateGroup_00930d70.cpp
CAIStateGroup_MinionReactToCriminal	0x2d	bool	HeroInsideHouse	1	unsigned char	f2d	1	AGREE	CAIStateGroupMinionReactToCriminal_InitStateGroup_00930d70.cpp
CAIStateGroup_MinionReactToCriminal	0x2e	bool	MeInsideHouse	1	unsigned char	f2e	1	AGREE	CAIStateGroupMinionReactToCriminal_InitStateGroup_00930d70.cpp
CAIStateGroup_MinionReactToNoise	0x20	bool	InvestigatingNoise	1	unsigned char	m_f20	1	AGREE	CAIStateGroupMinionReactToNoise_Initialise_0091cc90.cpp
CAIStateGroup_MinionReactToNoise	0x21	bool	FoundNoiseMaker	1	unsigned char	m_f21	1	AGREE	CAIStateGroupMinionReactToNoise_Initialise_0091cc90.cpp
CAIStateGroup_MinionReactToNoise	0x24	long	FrameOfLastInteraction	4	long	m_f24	4	AGREE	CAIStateGroupMinionReactToNoise_Initialise_0091cc90.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x14	unsigned long[5]	NextReactionFrame	20	unsigned int	m_14	4	CONTAINED	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x18	unsigned long[5]	NextReactionFrame	20	unsigned int	m_18	4	CONTAINED	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x1c	unsigned long[5]	NextReactionFrame	20	unsigned int	m_1c	4	CONTAINED	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x20	unsigned long[5]	NextReactionFrame	20	unsigned int	m_20	4	CONTAINED	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x24	unsigned long[5]	NextReactionFrame	20	unsigned int	m_24	4	CONTAINED	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x28	EInteractionReactionType	ReactionType	4	unsigned int	m_28	4	CONTAINED	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x2c	bool	WaitingForConfirmation	1	unsigned char	m_2c	1	AGREE	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionReactToPlayerInteraction	0x2d	bool	DidTraderInteraction	1	unsigned char	m_2d	1	AGREE	CAIStateGroupMinionReactToPlayerInteraction_InitStateGroup_0092eca0.cpp
CAIStateGroup_MinionSitAtHome	0x0	void*	__vftable	4	char	p	60	CONFLICT	CAIStateGroupMinionSitAtHome_IsStateGroupStillValidCAIStateGroupMinionSitAtHo_00938ed0.cpp
CAIStateGroup_MinionSitAtHome	0x3c	long	FrameToStopSitting	4	int	f3c	4	AGREE	CAIStateGroupMinionSitAtHome_IsStateGroupStillValidCAIStateGroupMinionSitAtHo_00938ed0.cpp
CAIStateGroup_MinionWander	0x0	void*	__vftable	4	char	p	4	AGREE_KIND_SOFT	CAIStateGroupMinionWander_IsRunnable_0092bf30.cpp
CAIStateGroup_MinionWander	0x4	unsigned char	_base_0x04	16	B*	f4	4	RETAIL_ONLY	CAIStateGroupMinionWander_IsRunnable_0092bf30.cpp
CAIStateGroup_MinionWander	0x4	unsigned char	_base_0x04	16	long	f4	4	RETAIL_ONLY	previous header
CAIStateGroup_MoveGoodsBase	0x14	bool	DroppingGoods	1	unsigned char	f	1	AGREE	CAIStateGroupMoveGoodsBase_OnActivate_00915880.cpp
CAIStateGroup_OpinionReactionRoot	0x18	EOpinionReactionType	CurrentReactionType	4	int	field_18	4	CONTAINED	CAIStateGroupOpinionReactionRoot_InitStateGroup_0095ed60.cpp
CAIStateGroup_OpinionReactionRoot	0x18	EOpinionReactionType	CurrentReactionType	4	unsigned long	f18	4	CONTAINED	CAIStateGroupOpinionReactionRoot_GetDebugText_0095ede0.cpp
CAIStateGroup_OpinionReactionRoot	0x1c	bool[79]	ReactionFlags	79	unsigned char	states	79	AGREE	CAIStateGroupOpinionReactionRoot_InitStateGroup_0095ed60.cpp
CAIStateGroup_ServeFood	0x0	void*	__vftable	4	char	a	20	CONFLICT	CAIStateGroupServeFood_InitStateGroup_00922fa0.cpp
CAIStateGroup_ServeFood	0x14	long	CarriedFoodItems	4	int	f14	4	AGREE	CAIStateGroupServeFood_InitStateGroup_00922fa0.cpp
CAIStateGroup_ServeFood	0x18	CThing*	Table	4	char	b	4	AGREE_KIND_SOFT	CAIStateGroupServeFood_InitStateGroup_00922fa0.cpp
CAIStateGroup_ServeFood	0x1c	long	Seat	4	int	f1c	4	AGREE	CAIStateGroupServeFood_InitStateGroup_00922fa0.cpp
CAIStateGroup_ServeFood	0x20	float	ServePos_X	4	char	c	36	CONFLICT	CAIStateGroupServeFood_InitStateGroup_00922fa0.cpp
CAIStateGroup_ServeFood	0x44	long	ServeActionPoint	4	int	f44	4	AGREE	CAIStateGroupServeFood_InitStateGroup_00922fa0.cpp
CAIStateGroup_ServeFoodAtHome	0x4	unsigned char	_base_0x04	72	CStateGroupOwner*	m_pOwner	4	RETAIL_ONLY	CAIStateGroupServeFoodAtHome_GetBuilding_00902ca7.cpp
CAIStateGroup_ServeFoodAtHome	0x4	unsigned char	_base_0x04	72	CStateGroupOwner*	m_pOwner	4	RETAIL_ONLY	previous header
CAIStateGroup_ServeFoodAtTavern	0x4	unsigned char	_base_0x04	72	CStateGroupOwner*	m_pOwner	4	RETAIL_ONLY	CAIStateGroupServeFoodAtTavern_GetBuilding_00902cdc.cpp
CAIStateGroup_ServeFoodAtTavern	0x4	unsigned char	_base_0x04	72	CStateGroupOwner*	m_pOwner	4	RETAIL_ONLY	previous header
CAIStateGroup_StandStill	0x0	void*	__vftable	4	int	x	4	AGREE_KIND_SOFT	CAIStateGroupStandStill_Update_0091bcf0.cpp
CAIStateGroup_TavernServer	0x34	CIntelligentPointer<CThingBuilding>	PPub	8	Sub	sub	4	CONTAINED	CAIStateGroupTavernServer_WanderWithinTavern_00966ad0.cpp
CAIStateGroup_WifeGiveYouGift	0x14	long	FrameToSpeakNext	4	int	f14	4	AGREE	CAIStateGroupWifeGiveYouGift_InitStateGroup_00925f80.cpp
CAIStateGroup_WifeGiveYouGift	0x18	long	GiftToGiveDef	4	int	f18	4	AGREE	CAIStateGroupWifeGiveYouGift_InitStateGroup_00925f80.cpp
CAIStateGroup_WifeGiveYouGift	0x1c	bool	DeliveredGiveSpeech	1	unsigned char	b1c	1	AGREE	CAIStateGroupWifeGiveYouGift_InitStateGroup_00925f80.cpp
CAIStateGroup_WorkHammerAnvil	0x14	bool	TookActionPoint	1	unsigned char	b14	1	AGREE	CAIStateGroupWorkHammerAnvil_InitStateGroup_00944cd0.cpp
CAIStateGroup_WorkHammerAnvil	0x44	long	ActionPointIndex	4	int	f44	4	AGREE	CAIStateGroupWorkHammerAnvil_InitStateGroup_00944cd0.cpp
CAIStateGroup_WorkHammerAnvil	0x48	long	NextFrameHammer	4	int	f48	4	AGREE	CAIStateGroupWorkHammerAnvil_InitStateGroup_00944cd0.cpp
CAIStateGroup_WorkSawingWood	0x14	bool	TookActionPoint	1	unsigned char	f14	1	AGREE	CAIStateGroupWorkSawingWood_InitStateGroup_009445b0.cpp
CAIStateGroup_WorkSawingWood	0x44	long	ActionPointIndex	4	unsigned long	f44	4	AGREE	CAIStateGroupWorkSawingWood_InitStateGroup_009445b0.cpp
CAInputProcess	0x0	void*	__vftable	4	int	x	4	AGREE_KIND_SOFT	CAInputProcess_IsInputEventToBeSentToThisInputProcess_00a0d400.cpp
CASuspendableProcess	0x4	bool	Running	1	unsigned char	active	1	AGREE	CASuspendableProcess_TerminateProcess_00a4b200.cpp
CASuspendableProcess	0x5	bool	StopRunning	1	unsigned char	terminateRequested	1	AGREE	CASuspendableProcess_TerminateProcess_00a4b200.cpp
CAbilityButtonGuiDef	size			96	sizeof	GetSizeofClass	92	SIZE_CONFLICT	GetSizeofClass
CAbilityDef	0x0	void*	__vftable	4	unsigned char	_tail	44	CONFLICT	CAbilityDef_Copy_004540d3.cpp
CAbilityTrackDef	size			88	sizeof	GetSizeofClass	80	SIZE_CONFLICT	GetSizeofClass
CAbilityTrackLevelDef	0x3c	unsigned char	_pad_0x3c	4	int	fieldA	4	RETAIL_ONLY	CAbilityTrackLevelDef_TransferCAbilityTrackLevelDefUAEXAAVCPersistCont_00478827.cpp
CAbilityTrackLevelDef	0x40	long	ExperienceCost	4	int	fieldB	4	AGREE	CAbilityTrackLevelDef_TransferCAbilityTrackLevelDefUAEXAAVCPersistCont_00478827.cpp
CAbilityTrackLevelDef	0x44	EHeroAbility	AbilityUnlocked	4	int	fieldC	4	CONTAINED	CAbilityTrackLevelDef_TransferCAbilityTrackLevelDefUAEXAAVCPersistCont_00478827.cpp
CAbilityTrackLevelDef	size			76	sizeof	GetSizeofClass	72	SIZE_CONFLICT	GetSizeofClass
CAnimComponentCombatComboChain	0x4	unsigned char	_pad_0x04	4	long	f4	4	RETAIL_ONLY	previous header
CAnimComponentCombatComboChain	0x4	unsigned char	_pad_0x04	4	void*	f4	4	RETAIL_ONLY	CAnimComponentCombatComboChain_CloneCAnimComponentCombatComboChainUBEPAVCAnimCo_005db2c0.cpp
CAnimComponentCombatComboChain	0x8	long	ComboStage	4	long	ComboStage	4	AGREE	CAnimComponentCombatComboChain_TransferBinaryOut_005db2e0.cpp
CAnimComponentCombatComboChain	0x8	long	ComboStage	4	void*	f8	4	AGREE_KIND_SOFT	CAnimComponentCombatComboChain_CloneCAnimComponentCombatComboChainUBEPAVCAnimCo_005db2c0.cpp
