class	header	size	named_members	status	note
CAIStateGroup_MazeTeleport	CAIStateGroup_MazeTeleport.h	32	0	OK	0 retail files
CAIStateGroup_MazeTutorialBattle	CAIStateGroup_MazeTutorialBattle.h	36	1	OK	0 retail files
CAIStateGroup_MazeTutorialBattleRespondToLightning	CAIStateGroup_MazeTutorialBattleRespondToLightning.h	36	1	OK	0 retail files
CAIStateGroup_MazeTutorialBattleTeleport	CAIStateGroup_MazeTutorialBattleTeleport.h	48	4	OK	0 retail files
CAIStateGroup_MazeTutorialBattleUseShield	CAIStateGroup_MazeTutorialBattleUseShield.h	36	1	OK	0 retail files
CAIStateGroup_MeleeCombatNearby	CAIStateGroup_MeleeCombatNearby.h	32	1	OK	0 retail files
CAIStateGroup_MeleeCombatNearby2	CAIStateGroup_MeleeCombatNearby2.h	32	1	OK	0 retail files
CAIStateGroup_MeleeCombatNearbyAttackWhenVeryClose	CAIStateGroup_MeleeCombatNearbyAttackWhenVeryClose.h	28	0	OK	0 retail files
CAIStateGroup_MeleeCombatNearbyBase	CAIStateGroup_MeleeCombatNearbyBase.h	28	1	OK	0 retail files
CAIStateGroup_MinionBehaviourPodiumEmoteNeutral	_quarantine/CAIStateGroup_MinionBehaviourPodiumEmoteNeutral.h	72	3	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_MinionBehaviourSad	_quarantine/CAIStateGroup_MinionBehaviourSad.h	68	5	QUARANTINED	2 conflict(s) in 1 file(s) vs 1 agreeing
CAIStateGroup_MinionFollowThing	CAIStateGroup_MinionFollowThing.h	40	7	OK	0 retail files
CAIStateGroup_MinionGossip	CAIStateGroup_MinionGossip.h	36	5	OK	0 retail files
CAIStateGroup_MinionGuardGreetPlayer	CAIStateGroup_MinionGuardGreetPlayer.h	20	0	OK	0 retail files
CAIStateGroup_MinionGuardReactToBribe	CAIStateGroup_MinionGuardReactToBribe.h	36	3	OK	0 retail files
CAIStateGroup_MinionGuardReactToCriminal	CAIStateGroup_MinionGuardReactToCriminal.h	52	7	OK	1 retail files
CAIStateGroup_MinionHasInformation	CAIStateGroup_MinionHasInformation.h	36	4	OK	0 retail files
CAIStateGroup_MinionKidAnnoy	CAIStateGroup_MinionKidAnnoy.h	28	1	OK	0 retail files
CAIStateGroup_MinionKidCalledToMother	CAIStateGroup_MinionKidCalledToMother.h	20	0	OK	0 retail files
CAIStateGroup_MinionKidGroupTag	CAIStateGroup_MinionKidGroupTag.h	48	7	OK	0 retail files
CAIStateGroup_MinionLeaveRegion	CAIStateGroup_MinionLeaveRegion.h	32	3	OK	0 retail files
CAIStateGroup_MinionListenToStory	CAIStateGroup_MinionListenToStory.h	20	0	OK	0 retail files
CAIStateGroup_MinionReactToCrime	CAIStateGroup_MinionReactToCrime.h	36	5	OK	0 retail files
CAIStateGroup_MinionReactToCriminal	CAIStateGroup_MinionReactToCriminal.h	48	8	OK	0 retail files
CAIStateGroup_MinionReactToNoise	CAIStateGroup_MinionReactToNoise.h	40	6	OK	0 retail files
CAIStateGroup_MinionReactToPlayerInteraction	CAIStateGroup_MinionReactToPlayerInteraction.h	60	5	OK	1 retail files
CAIStateGroup_MinionReactToTrespassing	CAIStateGroup_MinionReactToTrespassing.h	32	2	OK	0 retail files
CAIStateGroup_MinionSitAtHome	_quarantine/CAIStateGroup_MinionSitAtHome.h	64	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_MinionSitAtInn	CAIStateGroup_MinionSitAtInn.h	60	0	OK	0 retail files
CAIStateGroup_MinionSitOnSeat	CAIStateGroup_MinionSitOnSeat.h	64	1	OK	0 retail files
CAIStateGroup_MinionSitOnSeatBase	CAIStateGroup_MinionSitOnSeatBase.h	60	1	OK	0 retail files
CAIStateGroup_MinionSitOutside	CAIStateGroup_MinionSitOutside.h	68	1	OK	0 retail files
CAIStateGroup_MinionSleep	CAIStateGroup_MinionSleep.h	100	1	OK	0 retail files
CAIStateGroup_MinionWander	CAIStateGroup_MinionWander.h	20	1	OK	1 retail files
CAIStateGroup_MinionWatchFires	CAIStateGroup_MinionWatchFires.h	28	1	OK	0 retail files
CAIStateGroup_MoveGoodsBase	CAIStateGroup_MoveGoodsBase.h	28	2	OK	0 retail files
CAIStateGroup_OpinionReactionRoot	CAIStateGroup_OpinionReactionRoot.h	152	11	OK	2 retail files
CAIStateGroup_PerformAction	CAIStateGroup_PerformAction.h	24	0	OK	0 retail files
CAIStateGroup_PrepareMeal	CAIStateGroup_PrepareMeal.h	68	6	OK	0 retail files
CAIStateGroup_RangedCombatUsePreferredFirePoint	CAIStateGroup_RangedCombatUsePreferredFirePoint.h	40	3	OK	0 retail files
CAIStateGroup_ReactToDeadLeader	CAIStateGroup_ReactToDeadLeader.h	32	2	OK	0 retail files
CAIStateGroup_RecoverStealableItem	CAIStateGroup_RecoverStealableItem.h	64	8	OK	0 retail files
CAIStateGroup_RockTroll	CAIStateGroup_RockTroll.h	52	0	OK	0 retail files
CAIStateGroup_ScorpionKing	CAIStateGroup_ScorpionKing.h	68	7	OK	0 retail files
CAIStateGroup_SeekEnemy	CAIStateGroup_SeekEnemy.h	28	1	OK	0 retail files
CAIStateGroup_SeekPerceivedThing	CAIStateGroup_SeekPerceivedThing.h	24	1	OK	0 retail files
CAIStateGroup_SeekScriptTarget	CAIStateGroup_SeekScriptTarget.h	28	1	OK	0 retail files
CAIStateGroup_ServeFood	_quarantine/CAIStateGroup_ServeFood.h	76	9	QUARANTINED	2 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_ServeFoodAtHome	CAIStateGroup_ServeFoodAtHome.h	76	1	OK	1 retail files
CAIStateGroup_ServeFoodAtTavern	CAIStateGroup_ServeFoodAtTavern.h	76	1	OK	1 retail files
CAIStateGroup_SitInPub	CAIStateGroup_SitInPub.h	60	1	OK	0 retail files
CAIStateGroup_SitRoundCampfire	CAIStateGroup_SitRoundCampfire.h	40	5	OK	0 retail files
CAIStateGroup_StandStill	CAIStateGroup_StandStill.h	20	0	OK	1 retail files
CAIStateGroup_StealStealableItem	CAIStateGroup_StealStealableItem.h	60	8	OK	0 retail files
CAIStateGroup_StealthSeekEnemy	CAIStateGroup_StealthSeekEnemy.h	40	4	OK	0 retail files
CAIStateGroup_SummonerCharge	CAIStateGroup_SummonerCharge.h	36	3	OK	0 retail files
CAIStateGroup_SummonerLightningAttack	CAIStateGroup_SummonerLightningAttack.h	36	3	OK	0 retail files
CAIStateGroup_SummonerSummon	CAIStateGroup_SummonerSummon.h	28	1	OK	0 retail files
CAIStateGroup_TavernKeeper	CAIStateGroup_TavernKeeper.h	104	12	OK	0 retail files
CAIStateGroup_TavernServer	CAIStateGroup_TavernServer.h	156	19	OK	1 retail files
CAIStateGroup_TestTestTest	CAIStateGroup_TestTestTest.h	20	0	OK	0 retail files
CAIStateGroup_ThrowLogsOnFire	CAIStateGroup_ThrowLogsOnFire.h	28	0	OK	0 retail files
CAIStateGroup_Thunder	CAIStateGroup_Thunder.h	44	4	OK	0 retail files
CAIStateGroup_TrollBase	CAIStateGroup_TrollBase.h	52	7	OK	0 retail files
CAIStateGroup_VersusEnemyBase	CAIStateGroup_VersusEnemyBase.h	28	1	OK	0 retail files
CAIStateGroup_VersusScorpionKing	CAIStateGroup_VersusScorpionKing.h	40	2	OK	0 retail files
CAIStateGroup_VillageTaskPickCrops	CAIStateGroup_VillageTaskPickCrops.h	28	1	OK	0 retail files
CAIStateGroup_WanderAroundShops	CAIStateGroup_WanderAroundShops.h	40	3	OK	0 retail files
CAIStateGroup_WhisperPotionCombat	CAIStateGroup_WhisperPotionCombat.h	60	5	OK	0 retail files
CAIStateGroup_WhisperRetreat	CAIStateGroup_WhisperRetreat.h	48	4	OK	0 retail files
CAIStateGroup_WifeGiveYouGift	CAIStateGroup_WifeGiveYouGift.h	32	3	OK	0 retail files
CAIStateGroup_WorkAtSchool	CAIStateGroup_WorkAtSchool.h	20	0	OK	0 retail files
CAIStateGroup_WorkHammerAnvil	CAIStateGroup_WorkHammerAnvil.h	76	8	OK	0 retail files
CAIStateGroup_WorkSawingWood	CAIStateGroup_WorkSawingWood.h	72	7	OK	0 retail files
CAInputProcess	CAInputProcess.h	20	4	OK	1 retail files
CANavQuadTreeNode	CANavQuadTreeNode.h	16	6	OK	0 retail files
CAProgressDisplay	CAProgressDisplay.h	4	0	OK	0 retail files
CASuspendableProcess	CASuspendableProcess.h	16	5	OK	0 retail files
CAbilityButtonGuiDef	_quarantine/CAbilityButtonGuiDef.h	96	8	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAbilityDef	_quarantine/CAbilityDef.h	44	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAbilityTrackDef	_quarantine/CAbilityTrackDef.h	88	3	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAbilityTrackLevelDef	_quarantine/CAbilityTrackLevelDef.h	76	4	QUARANTINED	1 conflict(s) in 1 file(s) vs 1 agreeing
CActionDoCreatureAction	CActionDoCreatureAction.h	28	4	OK	0 retail files
CActionUseDef	CActionUseDef.h	52	4	OK	0 retail files
CActivateQuestDef	CActivateQuestDef.h	48	2	OK	1 retail files
CActiveFile	CActiveFile.h	200	21	OK	0 retail files; dup_donor
CAnimComponentCombatComboChain	CAnimComponentCombatComboChain.h	16	3	OK	1 retail files
CAnimComponentCombatFlourishTargetOffset	CAnimComponentCombatFlourishTargetOffset.h	17	3	OK	0 retail files
CAnimComponentCombatHandedness	CAnimComponentCombatHandedness.h	16	3	OK	1 retail files
CAnimComponentCombatMisc	CAnimComponentCombatMisc.h	10	2	OK	0 retail files
CAnimComponentCombatRecoil	CAnimComponentCombatRecoil.h	12	1	OK	1 retail files
CAnimComponentDelayTime	CAnimComponentDelayTime.h	12	1	OK	1 retail files
CAnimComponentFlags	CAnimComponentFlags.h	12	1	OK	1 retail files
CAnimComponentFollowingOnAnim	CAnimComponentFollowingOnAnim.h	12	1	OK	2 retail files
CAnimComponentFollowingOnAnimFilter	CAnimComponentFollowingOnAnimFilter.h	12	1	OK	1 retail files
CAnimComponentSetCreatureMode	CAnimComponentSetCreatureMode.h	12	1	OK	2 retail files
CAnimComponentStrikeResponseAnim	CAnimComponentStrikeResponseAnim.h	12	1	OK	0 retail files
CAnimComponentStrikeSpeedMultiplier	_quarantine/CAnimComponentStrikeSpeedMultiplier.h	12	2	QUARANTINED	4 conflict(s) in 4 file(s) vs 0 agreeing
CAnimComponentTransitionInTime	CAnimComponentTransitionInTime.h	12	1	OK	1 retail files
CAnimFilterAnyGroup	CAnimFilterAnyGroup.h	4	0	OK	1 retail files
CAnimFilterNoGroup	CAnimFilterNoGroup.h	4	0	OK	0 retail files
CAnimatingObjectDef	_quarantine/CAnimatingObjectDef.h	76	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 1 agreeing
CAppearanceDef	_quarantine/CAppearanceDef.h	124	15	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAppearanceModifierDef	_quarantine/CAppearanceModifierDef.h	120	14	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAppearanceModifierScalingDef	_quarantine/CAppearanceModifierScalingDef.h	76	4	QUARANTINED	3 conflict(s) in 2 file(s) vs 0 agreeing
CApprenticeSpeedTest	CApprenticeSpeedTest.h	32	3	OK	0 retail files
CAreaOfEffectAttackDef	_quarantine/CAreaOfEffectAttackDef.h	80	5	QUARANTINED	2 conflict(s) in 2 file(s) vs 0 agreeing
CArmourDef	_quarantine/CArmourDef.h	124	8	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAttackPatternDef	_quarantine/CAttackPatternDef.h	80	2	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAugmentationDef	CAugmentationDef.h	76	9	OK	0 retail files
CBalverineBattleDef	_quarantine/CBalverineBattleDef.h	76	4	QUARANTINED	3 conflict(s) in 2 file(s) vs 0 agreeing
CBankFile	CBankFile.h	372	37	OK	1 retail files
CBankFileManager		0	0	HAND_OWNED	
CBaseObject	CBaseObject.h	8	1	OK	0 retail files
CBedDef	_quarantine/CBedDef.h	60	5	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CBettingDef	CBettingDef.h	88	12	OK	0 retail files
CBlurredAttitudesDef	_quarantine/CBlurredAttitudesDef.h	80	2	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CBoastingPodiumDef	_quarantine/CBoastingPodiumDef.h	44	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CBonusItemDef	CBonusItemDef.h	116	20	OK	0 retail files
CBossDef	_quarantine/CBossDef.h	96	5	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CBrainDef	_quarantine/CBrainDef.h	112	3	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CBriarRoseDef	CBriarRoseDef.h	84	11	OK	0 retail files
CBrushLibraryDialog	CBrushLibraryDialog.h	300	1	OK	0 retail files
CBufferedFileDataOutputStream	CBufferedFileDataOutputStream.h	36	7	OK	0 retail files
CBulletTimeManager	CBulletTimeManager.h	32	6	OK	0 retail files
CBuyHouseDef	CBuyHouseDef.h	38	1	OK	0 retail files
CBuyableHouseDef	_quarantine/CBuyableHouseDef.h	84	8	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCachedFile	_quarantine/CCachedFile.h	44	8	QUARANTINED	3 conflict(s) in 2 file(s) vs 2 agreeing
CCameraCollisionDef	CCameraCollisionDef.h	44	1	OK	0 retail files
CCameraManagerDef	_quarantine/CCameraManagerDef.h	128	10	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCameraManagerSetDef	_quarantine/CCameraManagerSetDef.h	80	5	QUARANTINED	1 conflict(s) in 1 file(s) vs 1 agreeing
CCameraModeDef	_quarantine/CCameraModeDef.h	220	41	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCardDef	_quarantine/CCardDef.h	72	3	QUARANTINED	1 conflict(s) in 1 file(s) vs 2 agreeing
CCardPositionsDef	_quarantine/CCardPositionsDef.h	80	2	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCarriedReadableDef	CCarriedReadableDef.h	48	2	OK	0 retail files
CCarrySlotDef	_quarantine/CCarrySlotDef.h	56	4	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCarryableDef	CCarryableDef.h	80	10	OK	0 retail files
CCarryingDef	_quarantine/CCarryingDef.h	60	2	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCategory	CCategory.h	48	9	OK	3 retail files; suspect=CCategory_GetHighlightedItemCountInCategory_00713290.cpp
CCharString		0	0	HAND_OWNED	
CChestDef	CChestDef.h	60	6	OK	0 retail files
CChunkedFileChunk	CChunkedFileChunk.h	16	2	OK	0 retail files
CChunkedFileRawDataChunk	CChunkedFileRawDataChunk.h	24	2	OK	0 retail files
CChunkedFileSuperChunk	CChunkedFileSuperChunk.h	52	3	OK	0 retail files
CClass	CClass.h	17	3	OK	0 retail files
CClassFactory	CClassFactory.h	40	4	OK	0 retail files
CClockDef	_quarantine/CClockDef.h	60	2	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCoinGameObstacleDef	_quarantine/CCoinGameObstacleDef.h	44	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAbility	CCombatAbility.h	8	2	OK	0 retail files
CCombatAbilityAttackBase	CCombatAbilityAttackBase.h	72	1	OK	0 retail files
CCombatAbilityBlockCounterAttackDef	CCombatAbilityBlockCounterAttackDef.h	72	0	OK	0 retail files
CCombatAbilityBlockHeavyWeaponAttackDef	_quarantine/CCombatAbilityBlockHeavyWeaponAttackDef.h	92	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAbilityBlockLightWeaponAttackDef	_quarantine/CCombatAbilityBlockLightWeaponAttackDef.h	92	0	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CCombatAbilityBlockProjectileWeaponAttackDef	_quarantine/CCombatAbilityBlockProjectileWeaponAttackDef.h	92	1	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
